Data Point Number, Analog Reading 1, Analog Reading 2, Analog Reading 3, Current Milliseconds, Microseconds Write Time
0,479,454,433,161,1284
1,478,485,479,163,1180
2,478,493,496,164,1176
3,478,486,490,165,1192
4,479,474,469,167,1176
5,478,459,442,168,1176
6,478,449,422,171,1184
7,479,447,417,172,1176
8,479,452,424,173,1176
9,478,462,441,175,1184
10,478,473,463,176,1216
11,478,486,489,178,1232
12,478,497,511,179,1216
13,478,502,522,180,1224
14,479,497,514,182,1216
15,479,485,494,183,1216
16,478,399,345,192,8380
17,478,451,414,193,1220
18,478,481,468,194,1228
19,479,497,503,196,1220
20,479,500,514,197,1216
21,479,492,503,199,1224
22,478,479,481,200,1220
23,478,462,451,201,1228
24,478,449,426,203,1220
25,478,446,417,204,1216
26,478,450,422,206,1224
27,479,461,438,207,1220
28,479,472,461,209,1228
29,478,485,486,210,1220
30,479,497,509,211,1220
31,478,502,521,214,1220
32,479,498,516,215,1216
33,478,486,497,217,1224
34,478,471,467,218,1220
35,478,455,439,219,1232
36,478,446,420,221,4080
37,479,436,414,225,1216
38,478,465,451,226,1228
39,479,486,487,228,1220
40,478,497,512,229,1216
41,479,500,519,231,1228
42,479,492,506,232,1220
43,478,480,484,233,1228
44,478,463,453,235,1220
45,479,450,428,236,1216
46,479,446,417,238,1220
47,479,449,421,239,1216
48,479,460,437,241,1224
49,478,470,458,242,1220
50,478,484,484,243,1220
51,478,496,506,245,1220
52,478,502,521,246,1216
53,478,499,517,248,1224
54,478,487,499,249,1220
55,478,472,470,250,1232
56,478,456,440,252,1220
57,478,429,404,256,2816
58,478,446,420,257,1216
59,478,461,441,259,1224
60,478,477,469,260,1220
61,478,491,497,261,1228
62,478,499,516,263,1220
63,479,501,521,264,1216
64,479,492,506,266,1228
65,478,480,483,267,1220
66,478,463,452,269,1228
67,478,450,428,270,1220
68,479,446,418,271,1224
69,479,450,422,273,1220
70,478,460,438,274,1216
71,479,471,459,276,1228
72,479,485,485,277,1220
73,478,496,508,278,1232
74,478,502,521,280,1220
75,478,498,515,281,1216
76,478,486,497,283,1224
77,478,471,468,286,3100
78,478,430,411,287,1216
79,479,441,412,289,1220
80,479,454,429,290,1216
81,479,466,450,292,1232
82,478,481,478,293,1220
83,478,494,503,294,1224
84,478,501,520,296,1220
85,478,500,519,297,1216
86,478,489,502,300,1228
87,478,475,476,301,1220
88,478,459,445,302,1232
89,479,448,422,304,1220
90,479,446,417,305,1216
91,479,451,425,307,1228
92,479,462,441,308,1220
93,478,474,465,309,1232
94,478,488,492,311,1220
95,479,498,513,312,1216
96,478,502,523,314,1216
97,478,496,512,315,1216
98,478,468,466,318,3112
99,479,452,434,320,1216
100,479,446,420,321,1256
101,478,449,422,323,1264
102,478,460,439,324,1260
103,478,472,462,326,1264
104,478,486,489,327,1260
105,478,498,512,328,1268
106,478,503,524,330,1260
107,478,496,513,331,1272
108,478,483,492,333,1260
109,478,466,460,334,1256
110,478,451,431,336,1260
111,478,445,417,337,1256
112,479,448,418,339,1264
113,478,458,434,340,1260
114,479,469,456,343,1268
115,478,484,483,344,1260
116,478,496,507,345,1268
117,478,503,522,347,1260
118,478,501,513,350,1256
119,478,473,472,352,1268
120,478,454,438,353,1256
121,478,446,420,355,1264
122,478,449,421,356,1260
123,478,459,437,357,1272
124,478,471,459,359,1256
125,478,485,486,360,1268
126,478,497,509,362,1260
127,478,503,522,363,1256
128,478,498,515,365,1260
129,478,485,495,366,1256
130,478,469,465,368,1264
131,478,453,435,369,1260
132,478,445,418,371,1268
133,479,448,418,372,1260
134,479,457,432,373,1272
135,478,468,453,375,1260
136,478,482,480,376,1260
137,478,495,504,380,3220
138,479,519,532,381,1256
139,478,494,506,384,1264
140,478,472,469,385,1260
141,478,454,438,387,1272
142,478,447,421,388,1260
143,479,449,422,389,1272
144,478,459,436,391,1260
145,479,469,456,392,1264
146,478,483,482,394,1256
147,478,495,504,395,1256
148,478,501,518,397,1264
149,478,497,513,398,1256
150,478,485,495,400,1260
151,478,470,467,401,1260
152,478,455,438,402,1268
153,478,447,422,404,1260
154,478,449,421,405,1268
155,478,457,434,407,1260
156,479,467,452,408,1256
157,478,483,472,421,12556
158,478,466,455,422,1256
159,479,467,457,424,1256
160,478,473,470,425,1256
161,478,484,489,428,1264
162,478,494,506,429,1256
163,478,498,516,431,1272
164,478,493,506,432,1256
165,478,482,488,433,1272
166,478,467,461,435,1256
167,478,455,437,436,1264
168,478,449,424,438,1256
169,478,452,425,439,1256
170,478,460,438,441,1264
171,478,469,456,442,1256
172,478,481,480,444,1264
173,478,492,501,445,1256
174,478,498,514,446,1272
175,478,495,510,448,1256
176,478,484,493,449,1272
177,478,425,425,459,1268
178,478,465,464,461,1260
179,478,487,493,462,1260
180,478,492,503,464,1260
181,478,485,493,465,1256
182,478,475,473,467,1260
183,478,461,447,468,1256
184,478,451,427,471,1268
185,478,450,423,472,1260
186,478,455,431,473,1272
187,478,464,446,475,1256
188,478,475,468,476,1272
189,478,487,492,478,1256
190,478,495,509,479,1256
191,478,497,514,481,1260
192,478,489,501,482,1256
193,478,478,481,484,1264
194,478,464,454,485,1260
195,478,452,431,487,1264
196,478,450,424,490,3212
197,478,450,430,491,1268
198,478,470,459,493,1260
199,478,485,487,494,1256
200,478,495,507,496,1260
201,478,496,512,497,1256
202,478,488,499,499,1264
203,478,477,479,500,1260
204,478,463,452,502,1272
205,478,452,430,503,1260
206,478,450,424,504,1268
207,478,454,431,506,1260
208,478,463,445,507,1264
209,478,474,466,509,1260
210,478,485,488,510,1256
211,478,494,506,513,1260
212,478,497,513,514,1256
213,478,490,502,516,1264
214,478,480,484,517,1256
215,478,466,458,518,1272
216,478,435,401,521,2852
217,478,447,415,523,1260
218,478,460,436,524,1272
219,478,471,459,526,1256
220,478,483,482,527,1256
221,478,492,502,529,1260
222,478,497,512,530,1256
223,478,492,504,532,1264
224,478,481,487,533,1256
225,478,468,462,535,1268
226,478,456,438,536,1260
227,478,450,426,537,1272
228,478,453,428,539,1260
229,478,461,441,540,1272
230,478,470,458,542,1256
231,478,482,480,543,1256
232,478,492,499,545,1260
233,478,497,512,546,1256
234,478,494,508,548,1264
235,478,483,492,549,1256
236,478,451,441,552,1268
237,478,448,427,555,1256
238,479,452,428,556,1256
239,478,461,442,558,1260
240,478,471,460,559,1256
241,478,482,482,561,1260
242,479,492,501,562,1260
243,479,497,512,564,1272
244,479,493,507,565,1256
245,478,482,489,566,1268
246,478,468,463,568,1260
247,478,459,445,569,1260
248,479,459,442,571,1260
249,478,465,451,572,1256
250,478,472,463,574,1256
251,478,477,473,575,1256
252,478,483,486,577,1260
253,478,490,500,578,1260
254,479,492,505,579,1272
255,479,486,496,581,3180
256,478,466,462,584,1256
257,478,455,438,586,1256
258,478,450,424,587,1256
259,478,453,425,589,1268
260,478,461,439,590,1260
261,478,470,457,592,1272
262,478,481,479,593,1256
263,478,492,500,594,1272
264,478,497,513,596,1256
265,478,493,508,598,1264
266,478,482,491,600,1256
267,479,470,467,601,1256
268,479,458,442,603,1256
269,479,451,425,604,1256
270,478,452,426,606,1268
271,479,459,437,607,1260
272,479,469,455,608,1272
273,478,480,477,610,1256
274,478,491,498,611,1272
275,478,497,527,615,3176
276,479,486,499,616,1256
277,479,472,471,618,1264
278,479,459,446,619,1256
279,478,453,432,621,1272
280,479,455,432,622,1256
281,479,462,444,623,1272
282,479,470,459,625,1256
283,479,481,479,626,1264
284,479,491,500,628,1256
285,479,497,513,629,1256
286,479,495,511,631,1256
287,479,484,495,632,1256
288,479,473,471,634,1264
289,479,460,445,635,1256
290,479,451,425,636,1272
291,479,451,424,638,1256
292,479,457,434,640,1268
293,479,467,450,642,1260
294,479,478,473,643,1256
295,478,515,526,647,3152
296,479,502,519,648,1256
297,479,486,496,649,1268
298,479,469,467,651,1260
299,479,459,445,652,1268
300,478,457,438,654,1260
301,478,463,445,655,1256
302,479,470,458,657,1260
303,479,475,468,658,1256
304,479,481,482,660,1264
305,479,490,500,661,1260
306,479,494,510,663,1268
307,479,490,504,664,1260
308,479,480,486,665,1268
309,478,470,465,667,1260
310,479,459,442,668,1268
