time,input,output,voltage
0,-0.3,0,-1.5
0.002,-0.3,0,-1.518
0.004,-0.3,0,-1.536
0.006,-0.3,-0.00306796157577128,-1.40060192121144
0.008,-0.3,-0.00613592315154256,-1.30643724600124
0.01,-0.3,-0.00920388472731385,-1.24108072998753
0.012,-0.3,-0.0122718463030851,-1.19583470210301
0.014,-0.3,-0.0184077694546277,-1.01121271381198
0.016,-0.3,-0.0245436926061703,-0.8775843886584
0.018,-0.3,-0.0306796157577128,-0.779541181084304
0.02,-0.3,-0.0368155389092554,-0.706297109199119
0.022,-0.3,-0.0490873852123405,-0.343505828102317
0.024,-0.3,-0.0552233083638831,-0.381941328978503
0.026,-0.3,-0.0644271930911969,-0.250392487753042
0.028,-0.3,-0.0736310778185108,-0.148356219170059
0.03,-0.3,-0.0828349625458246,-0.0668130815117203
0.032,-0.3,-0.0920388472731385,0.000550534424459848
0.034,-0.3,-0.098174770424681,-0.0952439237083433
0.036,-0.3,-0.107378655151995,-0.0030732262454185
0.038,-0.3,-0.116582539879309,0.0721714680208825
0.04,-0.3,-0.122718463030851,-0.0176644488139253
0.042,-0.3,-0.131922347758165,0.0791190140245066
0.044,-0.3,-0.138058270909708,0.00463635173201049
0.046,-0.3,-0.147262155637022,0.11244320929188
0.048,-0.3,-0.153398078788564,0.04595303984621
0.05,-0.3,-0.159534001940107,0.00623268015211353
0.052,-0.3,-0.168737886667421,0.13875971268941
0.054,-0.3,-0.174873809818963,0.0899602288864851
0.056,-0.3,-0.181009732970506,0.0630099123008578
0.058,-0.3,-0.187145656122048,0.0514644593840672
0.06,-0.3,-0.193281579273591,0.0508128576521879
0.062,-0.3,-0.199417502425133,0.0578973983664756
0.064,-0.3,-0.205553425576676,0.0705076854098088
0.066,-0.3,-0.211689348728218,0.0870964415002006
0.068,-0.3,-0.217825271879761,0.106580572540263
0.07,-0.3,-0.223961195031304,0.128201912661817
0.072,-0.3,-0.230097118182846,0.15142974575715
0.074,-0.3,-0.233165079758617,0.0224944917622866
0.076,-0.3,-0.23930100291016,0.0891656609399442
0.078,-0.3,-0.245436926061703,0.144204490916363
0.08,-0.3,-0.248504887637474,0.0378130512800827
0.082,-0.3,-0.254640810789016,0.120541007050566
0.084,-0.3,-0.257708772364788,0.0336976253952176
0.086,-0.3,-0.26384469551633,0.130274891677444
0.088,-0.3,-0.266912657092102,0.0532916973054139
0.09,-0.3,-0.269980618667873,0.00353868582248629
0.092,-0.3,-0.276116541819415,0.126300104458865
0.094,-0.3,-0.279184503395187,0.0678667099681928
0.096,-0.3,-0.282252464970958,0.0313194516356742
0.098,-0.3,-0.285320426546729,0.0101477119222305
0.1,-0.3,-0.288388388122501,-0.000205941449499814
0.102,-0.3,-0.294524311274043,0.150466367714895
0.104,-0.3,-0.297592272849814,0.111901936444019
0.106,-0.3,-0.300660234425586,0.0895942922155419
0.108,-0.3,-0.303728196001357,0.0787216222251126
0.11,-0.3,-0.306796157577128,0.0759086575096692
0.112,-0.3,-0.3098641191529,0.0787927097950892
0.114,-0.3,-0.312932080728671,0.0857198972894737
0.116,-0.3,-0.312932080728671,-0.057865576050063
0.118,-0.3,-0.316000042304442,-0.00474455114606004
0.12,-0.3,-0.319068003880213,0.0374589637980615
0.122,-0.3,-0.322135965455985,0.0720754450786302
0.124,-0.3,-0.325203927031756,0.101436226103071
0.126,-0.3,-0.328271888607527,0.127173240256595
0.128,-0.3,-0.328271888607527,-0.00296923787972869
0.13,-0.3,-0.331339850183298,0.0598380002083438
0.132,-0.3,-0.33440781175907,0.109097980923133
0.134,-0.3,-0.33440781175907,-0.00446797400357496
0.136,-0.3,-0.337475773334841,0.0700532769479564
0.138,-0.3,-0.340543734910612,0.127623513283894
0.14,-0.3,-0.340543734910612,0.0199851839087172
0.142,-0.3,-0.343611696486384,0.0987662193630457
0.144,-0.3,-0.343611696486384,0.00603067267910917
0.146,-0.3,-0.346679658062155,0.0952988793256732
0.148,-0.3,-0.346679658062155,0.00995957578466106
0.15,-0.3,-0.349747619637926,0.104460375939633
0.152,-0.3,-0.349747619637926,0.0228391111628755
0.154,-0.3,-0.352815581213697,0.11999776176119
0.156,-0.3,-0.352815581213697,0.0402922156031324
0.158,-0.3,-0.355883542789469,0.138847092542902
0.16,-0.3,-0.355883542789469,0.0601741281322257
0.162,-0.3,-0.355883542789469,0.00610895681496448
0.164,-0.3,-0.35895150436524,0.122667319451654
0.166,-0.3,-0.35895150436524,0.0566520183371896
0.168,-0.3,-0.35895150436524,0.0115024346356376
0.17,-0.3,-0.362019465941011,0.134356931911688
0.172,-0.3,-0.362019465941011,0.0728041483531371
0.174,-0.3,-0.362019465941011,0.0308335502490892
0.176,-0.3,-0.362019465941011,0.00257048196319552
0.178,-0.3,-0.362019465941011,-0.0160973154499927
0.18,-0.3,-0.362019465941011,-0.0280484232522858
0.182,-0.3,-0.365087427516783,0.118100230461612
0.184,-0.3,-0.365087427516783,0.0729085797179175
0.186,-0.3,-0.365087427516783,0.0424459978926316
0.188,-0.3,-0.365087427516783,0.0222937643102341
0.19,-0.3,-0.365087427516783,0.00935877449786053
0.192,-0.3,-0.365087427516783,0.00147585532449793
0.194,-0.3,-0.365087427516783,-0.00287061440155465
0.196,-0.3,-0.365087427516783,-0.00474156951448595
0.198,-0.3,-0.365087427516783,-0.00487966439823535
0.2,-0.3,-0.365087427516783,-0.00380475712156189
0.202,-0.3,-0.365087427516783,-0.00188074833258496
0.204,-0.3,-0.365087427516783,0.000637631514998638
0.206,-0.3,-0.365087427516783,0.00357207110360989
0.208,-0.3,-0.365087427516783,0.00679775251094049
0.21,-0.3,-0.365087427516783,0.0102273031913717
0.212,-0.3,-0.365087427516783,0.0137995623629796
0.214,-0.3,-0.365087427516783,0.0174717174784032
0.216,-0.3,-0.365087427516783,0.0212137997545031
0.218,-0.3,-0.365087427516783,0.0250048310430773
0.22,-0.3,-0.365087427516783,0.0288301266403794
0.222,-0.3,-0.365087427516783,0.0326794072537944
0.224,-0.3,-0.365087427516783,0.0365454773784883
0.226,-0.3,-0.365087427516783,0.0404233001610734
0.228,-0.3,-0.365087427516783,0.0443093498041846
0.23,-0.3,-0.365087427516783,0.0482011582496651
0.232,-0.3,-0.365087427516783,0.0520969978568051
0.234,-0.3,-0.365087427516783,0.0559956592771026
0.236,-0.3,-0.365087427516783,0.0598962959666134
0.238,-0.3,-0.365087427516783,0.0637983153445733
0.24,-0.3,-0.365087427516783,0.0677013026044485
0.242,-0.3,-0.365087427516783,0.0716049673816642
0.244,-0.3,-0.365087427516783,0.0755091064210155
0.246,-0.3,-0.365087427516783,0.0794135774438635
0.248,-0.3,-0.365087427516783,0.0833182808551602
0.25,-0.3,-0.365087427516783,0.0872231469383702
0.252,-0.3,-0.365087427516783,0.0911281268919185
0.254,-0.3,-0.365087427516783,0.0950331865547043
0.256,-0.3,-0.365087427516783,0.0989383020139563
0.258,-0.3,-0.365087427516783,0.102843456530736
0.26,-0.3,-0.365087427516783,0.106748638387785
0.262,-0.3,-0.365087427516783,0.11065383938302
0.264,-0.3,-0.365087427516783,0.114559053774985
0.266,-0.3,-0.365087427516783,0.118464277544664
0.268,-0.3,-0.365087427516783,0.122369507878739
0.27,-0.3,-0.365087427516783,0.126274742807897
0.272,-0.3,-0.365087427516783,0.130179980953608
0.274,-0.3,-0.365087427516783,0.134085221350908
0.276,-0.3,-0.365087427516783,0.137990463324319
0.278,-0.3,-0.365087427516783,0.14189570640101
0.28,-0.3,-0.365087427516783,0.145800950249996
0.282,-0.3,-0.365087427516783,0.149706194639588
0.284,-0.3,-0.365087427516783,0.153611439407604
0.286,-0.3,-0.365087427516783,0.157516684440518
0.288,-0.3,-0.365087427516783,0.16142192965886
0.29,-0.3,-0.365087427516783,0.165327175007001
0.292,-0.3,-0.365087427516783,0.169232420446
0.294,-0.3,-0.365087427516783,0.173137665948603
0.296,-0.3,-0.362019465941011,0.0236448327071627
0.298,-0.3,-0.362019465941011,0.0687834818638179
0.3,-0.3,-0.362019465941011,0.101496886660414
0.302,-0.3,-0.362019465941011,0.12551262040497
0.304,-0.3,-0.362019465941011,0.143439984413098
0.306,-0.3,-0.35895150436524,0.00370741081716161
0.308,-0.3,-0.35895150436524,0.0556230184173076
0.31,-0.3,-0.35895150436524,0.0930250708159807
0.312,-0.3,-0.35895150436524,0.120267634573628
0.314,-0.3,-0.35895150436524,0.140398556282555
0.316,-0.3,-0.355883542789469,0.00215324976881273
0.318,-0.3,-0.355883542789469,0.0550547210181288
0.32,-0.3,-0.355883542789469,0.0930916546628607
0.322,-0.3,-0.355883542789469,0.120723411984385
