Var1,Var2,Var3
4.002,0,0
4.004,0,0
4.006,0,0
4.008,0,0
4.01,0,0
4.012,0,0
4.014,0,0
4.016,0,0
4.018,0,0
4.02,0,0
4.022,0,0
4.024,0,0
4.026,0,0
4.028,0,0
4.03,0,0
4.032,0,0
4.034,0,0
4.036,0,0
4.038,0,0
4.04,0,0
4.042,0,0
4.044,0,0
4.046,0,0
4.048,0,0
4.05,0,0
4.052,0,0
4.054,0,0
4.056,0,0
4.058,0,0
4.06,0,0
4.062,0,0
4.064,0,0
4.066,0,0
4.068,0,0
4.07,0,0
4.072,0,0
4.074,0,0
4.076,0,0
4.078,0,0
4.08,0,0
4.082,0,0
4.084,0,0
4.086,0,0
4.088,0,0
4.09,0,0
4.092,0,0
4.094,0,0
4.096,0,0
4.098,0,0
4.1,0,0
4.102,0,0
4.104,0,0
4.106,0,0
4.108,0,0
4.11,0,0
4.112,0,0
4.114,0,0
4.116,0,0
4.118,0,0
4.12,0,0
4.122,0,0
4.124,0,0
4.126,0,0
4.128,0,0
4.13,0,0
4.132,0,0
4.134,0,0
4.136,0,0
4.138,0,0
4.14,0,0
4.142,0,0
4.144,0,0
4.146,0,0
4.148,0,0
4.15,0,0
4.152,0,0
4.154,0,0
4.156,0,0
4.158,0,0
4.16,0,0
4.162,0,0
4.164,0,0
4.166,0,0
4.168,0,0
4.17,0,0
4.172,0,0
4.174,0,0
4.176,0,0
4.178,0,0
4.18,0,0
4.182,0,0
4.184,0,0
4.186,0,0
4.188,0,0
4.19,0,0
4.192,0,0
4.194,0,0
4.196,0,0
4.198,0,0
4.2,0,0
4.202,0,0
4.204,0,0
4.206,0,0
4.208,0,0
4.21,0,0
4.212,0,0
4.214,0,0
4.216,0,0
4.218,0,0
4.22,0,0
4.222,0,0
4.224,0,0
4.226,0,0
4.228,0,0
4.23,0,0
4.232,0,0
4.234,0,0
4.236,0,0
4.238,0,0
4.24,0,0
4.242,0,0
4.244,0,0
4.246,0,0
4.248,0,0
4.25,0,0
4.252,0,0
4.254,0,0
4.256,0,0
4.258,0,0
4.26,0,0
4.262,0,0
4.264,0,0
4.266,0,0
4.268,0,0
4.27,0,0
4.272,0,0
4.274,0,0
4.276,0,0
4.278,0,0
4.28,0,0
4.282,0,0
4.284,0,0
4.286,0,0
4.288,0,0
4.29,0,0
4.292,0,0
4.294,0,0
4.296,0,0
4.298,0,0
4.3,0,0
4.302,0,0
4.304,0,0
4.306,0,0
4.308,0,0
4.31,0,0
4.312,0,0
4.314,0,0
4.316,0,0
4.318,0,0
4.32,0,0
4.322,0,0
4.324,0,0
4.326,0,0
4.328,0,0
4.33,0,0
4.332,0,0
4.334,0,0
4.336,0,0
4.338,0,0
4.34,0,0
4.342,0,0
4.344,0,0
4.346,0,0
4.348,0,0
4.35,0,0
4.352,0,0
4.354,0,0
4.356,0,0
4.358,0,0
4.36,0,0
4.362,0,0
4.364,0,0
4.366,0,0
4.368,0,0
4.37,0,0
4.372,0,0
4.374,0,0
4.376,0,0
4.378,0,0
4.38,0,0
4.382,0,0
4.384,0,0
4.386,0,0
4.388,0,0
4.39,0,0
4.392,0,0
4.394,0,0
4.396,0,0
4.398,0,0
4.4,0,0
4.402,0,0
4.404,0,0
4.406,0,0
4.408,0,0
4.41,0,0
4.412,0,0
4.414,0,0
4.416,0,0
4.418,0,0
4.42,0,0
4.422,0,0
4.424,0,0
4.426,0,0
4.428,0,0
4.43,0,0
4.432,0,0
4.434,0,0
4.436,0,0
4.438,0,0
4.44,0,0
4.442,0,0
4.444,0,0
4.446,0,0
4.448,0,0
4.45,0,0
4.452,0,0
4.454,0,0
4.456,0,0
4.458,0,0
4.46,0,0
4.462,0,0
4.464,0,0
4.466,0,0
4.468,0,0
4.47,0,0
4.472,0,0
4.474,0,0
4.476,0,0
4.478,0,0
4.48,0,0
4.482,0,0
4.484,0,0
4.486,0,0
4.488,0,0
4.49,0,0
4.492,0,0
4.494,0,0
4.496,0,0
4.498,0,0
4.5,0,0
4.502,0,0
4.504,0,0
4.506,0,0
4.508,0,0
4.51,0,0
4.512,0,0
4.514,0,0
4.516,0,0
4.518,0,0
4.52,0,0
4.522,0,0
4.524,0,0
4.526,0,0
4.528,0,0
4.53,0.00306796157577128,-0.0153398078788564
4.532,0.00306796157577128,-0.0155238855734027
4.534,0.00306796157577128,-0.015707963267949
4.536,0.00306796157577128,-0.0158920409624952
4.538,0.00306796157577128,-0.0160761186570415
4.54,0.00613592315154256,-0.0316000042304442
4.542,0.00613592315154256,-0.0319681596195368
4.544,0.00920388472731385,-0.0476761228874857
4.546,0.00920388472731385,-0.0482283559711246
4.548,0.00920388472731385,-0.0487805890547634
4.55,0.0122718463030851,-0.0646726300172586
4.552,0.0122718463030851,-0.0654089407954437
4.554,0.0153398078788564,-0.0814850594524853
4.556,0.0184077694546277,-0.097745255804073
4.558,0.0184077694546277,-0.0988497219713507
4.56,0.021475731030399,-0.115293996017485
4.562,0.021475731030399,-0.116582539879309
4.564,0.0245436926061703,-0.133210891619989
4.566,0.0276116541819415,-0.150023321055216
4.568,0.0276116541819415,-0.151680020306132
4.57,0.0306796157577128,-0.168676527435905
4.572,0.0306796157577128,-0.170517304381368
4.574,0.0337475773334841,-0.187697889205687
4.576,0.0337475773334841,-0.189722743845696
4.578,0.0368155389092554,-0.207087406364562
4.58,0.0398835004850267,-0.224636146577973
4.582,0.0398835004850267,-0.227029156607075
4.584,0.042951462060798,-0.244761974515033
4.586,0.042951462060798,-0.247339062238681
4.588,0.0460194236365692,-0.265255957841185
4.59,0.0460194236365692,-0.268017123259379
4.592,0.0460194236365692,-0.270778288677573
4.594,0.0490873852123405,-0.288879261974624
4.596,0.0521553467881118,-0.307164312966221
4.598,0.0521553467881118,-0.310293633773507
4.6,0.0552233083638831,-0.328762762459651
4.602,0.0552233083638831,-0.332076160961484
4.604,0.0582912699396544,-0.350729367342173
4.606,0.0582912699396544,-0.354226843538552
4.608,0.0613592315154256,-0.373064127613788
4.61,0.0613592315154256,-0.376745681504713
4.612,0.0644271930911969,-0.395767043274495
4.614,0.0644271930911969,-0.399632674859967
4.616,0.0674951546669682,-0.418838114324295
4.618,0.0674951546669682,-0.422887823604314
4.62,0.0705631162427395,-0.442277340763188
4.622,0.0705631162427395,-0.446511127737752
4.624,0.0736310778185108,-0.466084722591173
4.626,0.0736310778185108,-0.470502587260284
4.628,0.0766990393942821,-0.490260259808251
4.63,0.0766990393942821,-0.494862202171908
4.632,0.0797670009700533,-0.514803952414421
4.634,0.0797670009700533,-0.519589972472624
4.636,0.0828349625458246,-0.539715800409684
4.638,0.0828349625458246,-0.544685898162433
4.64,0.0828349625458246,-0.549655995915183
4.642,0.0859029241215959,-0.569965901546789
4.644,0.0859029241215959,-0.575120076994085
4.646,0.0889708856973672,-0.595614060320237
4.648,0.0889708856973672,-0.600952313462079
4.65,0.0920388472731385,-0.621630374482777
4.652,0.0951068088489097,-0.642492513198022
4.654,0.0951068088489097,-0.648198921728957
4.656,0.098174770424681,-0.669245138138748
4.658,0.098174770424681,-0.675135624364228
4.66,0.101242732000452,-0.696365918468566
4.662,0.101242732000452,-0.702440482388593
4.664,0.104310693576224,-0.723854854187476
