date,sunrise,transit,sunset,daylength
2018-01-01,08:38:19,13:22:32,18:06:46,09:28:27
2018-01-02,08:38:26,13:23:00,18:07:34,09:29:08
2018-01-03,08:38:31,13:23:28,18:08:25,09:29:53
2018-01-04,08:38:35,13:23:56,18:09:16,09:30:41
2018-01-05,08:38:36,13:24:23,18:10:09,09:31:33
2018-01-06,08:38:35,13:24:49,18:11:04,09:32:29
2018-01-07,08:38:31,13:25:15,18:11:59,09:33:27
2018-01-08,08:38:26,13:25:41,18:12:56,09:34:29
2018-01-09,08:38:19,13:26:06,18:13:54,09:35:35
2018-01-10,08:38:09,13:26:31,18:14:53,09:36:44
2018-01-11,08:37:57,13:26:55,18:15:53,09:37:55
2018-01-12,08:37:43,13:27:18,18:16:54,09:39:10
2018-01-13,08:37:27,13:27:41,18:17:56,09:40:28
2018-01-14,08:37:08,13:28:03,18:18:58,09:41:49
2018-01-15,08:36:48,13:28:25,18:20:02,09:43:13
2018-01-16,08:36:26,13:28:46,18:21:06,09:44:40
2018-01-17,08:36:01,13:29:06,18:22:11,09:46:09
2018-01-18,08:35:34,13:29:26,18:23:17,09:47:42
2018-01-19,08:35:06,13:29:44,18:24:23,09:49:17
2018-01-20,08:34:35,13:30:02,18:25:30,09:50:54
2018-01-21,08:34:02,13:30:20,18:26:37,09:52:34
2018-01-22,08:33:28,13:30:36,18:27:45,09:54:16
2018-01-23,08:32:51,13:30:52,18:28:53,09:56:01
2018-01-24,08:32:13,13:31:07,18:30:01,09:57:48
2018-01-25,08:31:32,13:31:21,18:31:10,09:59:38
2018-01-26,08:30:50,13:31:35,18:32:19,10:01:29
2018-01-27,08:30:06,13:31:47,18:33:29,10:03:23
2018-01-28,08:29:20,13:31:59,18:34:39,10:05:18
2018-01-29,08:28:32,13:32:10,18:35:48,10:07:16
2018-01-30,08:27:43,13:32:20,18:36:58,10:09:15
2018-01-31,08:26:51,13:32:30,18:38:08,10:11:16
2018-02-01,08:25:58,13:32:38,18:39:18,10:13:19
2018-02-02,08:25:04,13:32:46,18:40:28,10:15:24
2018-02-03,08:24:07,13:32:53,18:41:38,10:17:30
2018-02-04,08:23:10,13:32:59,18:42:49,10:19:38
2018-02-05,08:22:10,13:33:04,18:43:59,10:21:48
2018-02-06,08:21:09,13:33:09,18:45:08,10:23:59
2018-02-07,08:20:07,13:33:13,18:46:18,10:26:11
2018-02-08,08:19:03,13:33:15,18:47:28,10:28:24
2018-02-09,08:17:58,13:33:18,18:48:38,10:30:39
2018-02-10,08:16:51,13:33:19,18:49:47,10:32:55
2018-02-11,08:15:43,13:33:19,18:50:56,10:35:13
2018-02-12,08:14:34,13:33:19,18:52:05,10:37:31
2018-02-13,08:13:23,13:33:18,18:53:14,10:39:50
2018-02-14,08:12:11,13:33:17,18:54:22,10:42:11
2018-02-15,08:10:58,13:33:14,18:55:31,10:44:32
2018-02-16,08:09:43,13:33:11,18:56:39,10:46:55
2018-02-17,08:08:28,13:33:07,18:57:46,10:49:18
2018-02-18,08:07:11,13:33:02,18:58:54,10:51:42
2018-02-19,08:05:54,13:32:57,19:00:01,10:54:07
2018-02-20,08:04:35,13:32:51,19:01:08,10:56:32
2018-02-21,08:03:15,13:32:45,19:02:14,10:58:59
2018-02-22,08:01:54,13:32:37,19:03:21,11:01:26
2018-02-23,08:00:33,13:32:30,19:04:27,11:03:53
2018-02-24,07:59:10,13:32:21,19:05:32,11:06:22
2018-02-25,07:57:47,13:32:12,19:06:37,11:08:50
2018-02-26,07:56:22,13:32:02,19:07:42,11:11:20
2018-02-27,07:54:57,13:31:52,19:08:47,11:13:50
2018-02-28,07:53:31,13:31:41,19:09:52,11:16:20
2018-03-01,07:52:04,13:31:30,19:10:56,11:18:51
2018-03-02,07:50:37,13:31:18,19:11:59,11:21:22
2018-03-03,07:49:09,13:31:06,19:13:03,11:23:53
2018-03-04,07:47:40,13:30:53,19:14:06,11:26:25
2018-03-05,07:46:11,13:30:40,19:15:09,11:28:57
2018-03-06,07:44:41,13:30:26,19:16:12,11:31:30
2018-03-07,07:43:11,13:30:12,19:17:14,11:34:03
2018-03-08,07:41:40,13:29:58,19:18:16,11:36:36
2018-03-09,07:40:08,13:29:43,19:19:18,11:39:09
2018-03-10,07:38:36,13:29:28,19:20:19,11:41:42
2018-03-11,07:37:04,13:29:12,19:21:21,11:44:16
2018-03-12,07:35:31,13:28:57,19:22:22,11:46:50
2018-03-13,07:33:58,13:28:40,19:23:23,11:49:24
2018-03-14,07:32:25,13:28:24,19:24:23,11:51:58
2018-03-15,07:30:51,13:28:07,19:25:24,11:54:32
2018-03-16,07:29:17,13:27:50,19:26:24,11:57:06
2018-03-17,07:27:43,13:27:33,19:27:24,11:59:40
2018-03-18,07:26:09,13:27:16,19:28:23,12:02:14
