"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PSUN","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-01",,,"41","25","25",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-02",,,"43","24","24",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-03",,,"47","24","31",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-04",,,"52","31","45",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-05",,,"51","43","43",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-06",,,"46","29","29",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-07",,,"48","29","30",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-08",,,"43","25","28",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-09",,,"53","28","32",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-10",,,"40","27","29",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-11",,,"56","29","51",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-12",,,"59","20","20",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-13",,,"20","13","13",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-14",,,"19","13","19",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-15",,,"27","15","15",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-16",,,"16","1","1",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-17",,,"20","1","10",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-18",,,"30","10","30",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-19",,,"37","22","22",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-20",,,"37","22","26",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-21",,,"33","26","33",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-22",,,"36","25","25",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-23",,,"28","16","16",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-24",,,"36","16","30",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-25",,,"42","23","24",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-26",,,"42","24","37",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-27",,,"51","28","28",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-28",,,"34","10","10",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-29",,,"26","10","23",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-30",,,"44","7","7",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-01-31",,,"21","7","13",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-01",,,"22","13","17",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-02",,,"29","5","5",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-03",,,"19","5","5",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-04",,,"18","5","14",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-05",,,"26","12","12",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-06",,,"27","12","19",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-07",,,"58","16","16",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-08",,,"26","16","19",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-09",,,"28","18","18",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-10",,,"21","13","13",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-11",,,"30","13","21",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-12",,,"41","21","34",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-13",,,"36","21","21",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-14",,,"22","4","4",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-15",,,"17","4","5",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-16",,,"13","2","3",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-17",,,"37","2","21",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-18",,,"32","21","22",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-19",,,"50","22","41",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-20",,,"59","32","35",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-21",,,"55","35","37",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-22",,,"65","35","36",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-23",,,"55","35","39",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-24",,,"64","38","42",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-25",,,"53","30","30",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-26",,,"35","27","28",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-27",,,"46","24","24",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-02-28",,,"50","24","43",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-01",,,"72","35","35",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-02",,,"41","30","30",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-03",,,"42","20","20",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-04",,,"34","17","18",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-05",,,"56","18","38",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-06",,,"64","29","30",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-07",,,"70","30","31",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-08",,,"49","27","27",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-09",,,"63","27","51",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-10",,,"66","37","37",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-11",,,"60","37","50",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-12",,,"62","47","49",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-13",,,"71","49","54",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-14",,,"75","54","56",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-15",,,"76","44","44",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-16",,,"56","31","31",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-17",,,"52","30","40",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-18",,,"53","31","31",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-19",,,"62","31","60",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-20",,,"65","46","46",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-21",,,"60","44","60",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-22",,,"74","56","56",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-23",,,"68","50","50",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-24",,,"67","59","59",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-25",,,"74","59","63",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-26",,,"76","61","61",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-27",,,"73","59","59",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-28",,,"73","55","56",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-29",,,"76","56","62",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-30",,,"73","59","59",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-03-31",,,"68","58","58",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-01",,,"64","47","47",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-02",,,"70","47","54",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-03",,,"82","54","63",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-04",,,"64","27","27",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-05",,,"46","26","26",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-06",,,"40","26","28",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-07",,,"37","18","18",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-08",,,"40","18","22",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-09",,,"44","22","35",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-10",,,"48","35","40",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-11",,,"46","40","43",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-12",,,"43","34","34",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-13",,,"49","34","39",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-14",,,"39","32","32",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-15",,,"52","32","37",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-16",,,"65","37","50",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-17",,,"72","50","51",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-18",,,"70","49","51",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-19",,,"70","44","45",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-20",,,"68","45","52",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-21",,,"77","52","55",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-22",,,"78","55","60",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-23",,,"75","52","52",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-24",,,"75","52","59",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-25",,,"79","58","58",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-26",,,"79","47","47",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-27",,,"53","47","49",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-28",,,"63","49","51",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-29",,,"80","51","56",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-04-30",,,"85","56","61",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-05-01",,,"83","61","64",
