Time,Strain
0,3.822
0.001,3.207
0.001,3.935
0.002,4.415
0.002,3.584
0.003,3.385
0.003,3.973
0.004,3.04
0.004,4.9
0.005,3.525
0.005,3.493
0.005,4.312
0.006,4.167
0.007,2.533
0.007,4.043
0.007,3.406
0.008,3.067
0.009,4.005
0.009,3.083
0.009,3.708
0.01,3.525
0.011,4.032
0.011,3.471
0.011,3.352
0.012,2.975
0.013,3.266
0.013,4.328
0.013,4.652
0.014,2.657
0.015,4.156
0.015,4.043
0.015,3.018
0.016,3.358
0.017,4.145
0.017,4.086
0.018,3.46
0.018,3.935
0.018,3.52
0.019,3.546
0.019,3.013
0.02,3.131
0.021,3.029
0.021,3.228
0.022,4.091
0.022,2.851
0.022,3.536
0.023,2.711
0.024,3.417
0.024,3.778
0.025,2.845
0.025,3.584
0.026,2.511
0.026,3.153
0.026,4.253
0.027,4.07
0.028,3.131
0.028,2.91
0.029,3.406
0.029,3.234
0.03,3.358
0.03,4.14
0.03,3.266
0.031,4.555
0.032,4.393
0.032,3.951
0.033,3.735
0.033,4.452
0.034,4.215
0.034,3.929
0.035,3.946
0.035,4.188
0.036,2.959
0.036,4.161
0.036,3.881
0.037,3.266
0.037,4.177
0.038,3.369
0.038,3.573
0.039,3.482
0.04,3.293
0.04,3.822
0.041,3.973
0.041,3.714
0.042,3.04
0.042,3.093
0.043,4.355
0.043,2.614
0.044,3.719
0.044,3.304
0.044,3.158
0.045,3.46
0.045,2.403
0.046,3.115
0.046,3.374
0.047,2.678
0.048,2.921
0.048,4.614
0.049,3.18
0.049,3.228
0.05,4.436
0.05,3.298
0.051,4.312
0.051,3.708
0.052,4.291
0.052,4.361
0.052,3.422
0.053,3.897
0.053,3.552
0.054,3.153
0.054,3.342
0.055,3.487
0.056,3.52
0.056,3.768
0.057,3.627
0.057,3.665
0.058,2.916
0.058,3.158
0.059,3.072
0.059,2.829
0.06,3.412
0.06,3.644
0.06,3.083
0.061,3.827
0.061,2.964
0.062,4.49
0.062,3.676
0.063,3.681
0.064,2.241
0.064,2.651
0.065,3.52
0.065,4.167
0.066,3.266
0.066,3.617
0.067,3.309
0.067,2.721
0.068,3.87
0.068,4.032
0.069,3.428
0.069,3.056
0.07,3.428
0.07,3.196
0.071,4.237
0.071,3.671
0.072,4.01
0.072,4.102
0.072,3.789
0.073,2.759
0.073,2.845
0.074,3.719
0.074,3.034
0.075,3.924
0.075,3.573
0.076,3.25
0.076,2.667
0.077,3.023
0.077,3.261
0.078,3.395
0.079,3.115
0.079,3.309
0.08,2.64
0.08,3.757
0.081,3.53
0.081,3.223
0.082,4.075
0.082,3.32
0.083,3.412
0.083,3.39
0.084,3.288
0.084,2.991
0.085,3.536
0.085,2.419
0.086,3.956
0.086,3.46
0.087,3.061
0.087,3.034
0.088,2.56
0.088,4.366
0.088,3.881
0.089,3.956
0.089,3.59
0.09,3.056
0.09,3.784
0.091,2.883
0.091,2.387
0.092,3.083
0.092,3.05
0.093,4.377
0.093,3.347
0.094,3.244
0.095,2.667
0.095,3.288
0.096,3.579
0.096,3.401
0.097,3.8
0.097,2.285
0.098,2.964
0.098,3.358
0.099,2.371
0.099,3.153
0.1,3.342
0.1,4.123
0.101,3.023
0.101,4.15
0.102,3.536
0.102,4.194
0.103,3.741
0.103,3.87
0.104,3.724
0.104,3.627
0.104,3.487
0.105,3.363
0.105,3.369
0.106,3.401
0.106,2.716
0.107,3.773
0.107,3.067
0.108,2.581
0.108,2.818
0.109,3.298
0.11,2.797
0.11,2.738
0.111,3.735
0.111,2.646
0.112,3.816
0.112,3.671
0.113,3.39
0.113,4.167
0.114,2.808
0.114,2.446
0.115,3.261
0.115,3.778
0.116,3.342
0.116,3.951
0.117,3.53
0.117,4.145
0.118,2.754
0.118,3.18
0.119,2.592
0.119,3.708
0.12,3.298
0.12,3.417
0.12,3.768
0.121,3.687
0.121,3.676
0.122,3.886
0.122,4.226
0.123,3.174
0.123,3.406
0.124,3.973
0.124,3.385
0.125,2.667
0.126,3.525
0.126,3.218
0.127,3.417
0.127,1.983
0.128,3.568
0.128,3.331
0.129,3.153
0.129,3.509
0.13,3.352
0.13,3.126
0.131,2.425
0.131,3.617
0.132,3.293
0.132,3.773
0.133,3.735
0.133,3.676
0.134,3.493
0.134,3.449
0.135,4.005
0.135,3.476
0.136,3.029
0.136,2.926
0.137,2.651
0.137,3.967
0.138,3.422
0.138,3.563
0.139,3.137
0.139,3.784
0.14,3.611
0.14,3.449
0.141,3.692
0.141,3.147
0.142,3.59
0.142,2.84
0.143,3.185
0.143,2.721
0.144,2.775
0.144,3.077
0.144,3.029
0.145,2.684
0.145,3.946
0.146,3.719
0.146,3.735
0.147,2.969
0.147,3.207
0.148,3.412
0.148,3.412
0.149,3.029
0.149,3.439
0.15,2.29
0.15,3.261
0.151,3.137
0.151,3.708
0.152,2.64
0.152,3.746
0.153,4.037
0.153,3.293
0.154,4.781
0.154,3.762
0.155,3.061
0.155,3.768
0.156,3.05
0.157,2.473
0.157,3.843
0.158,3.061
0.158,2.916
0.159,3.018
0.159,3.498
0.16,3.185
0.16,2.689
0.161,3.174
0.161,4.123
0.162,3.201
0.162,2.635
0.163,3.358
0.163,2.457
0.164,3.056
0.164,2.209
0.165,3.234
0.165,3.498
0.166,3.352
0.166,3.406
0.167,3.218
0.167,3.622
0.168,3.261
0.168,3.983
0.169,2.667
0.169,2.506
0.17,2.597
0.17,3.611
0.171,3.201
0.171,3.191
0.172,2.36
0.172,3.886
0.173,2.878
0.173,2.495
0.174,4.07
0.174,3.449
0.175,3.191
0.175,3.25
0.176,2.667
0.176,3.131
0.176,2.597
0.177,3.649
0.177,4.156
0.178,3.471
0.178,4.231
0.179,2.959
0.179,3.072
0.18,2.953
0.18,3.822
0.181,2.991
0.181,4.048
0.182,2.889
0.182,3.212
0.183,3.751
0.183,4.285
0.184,3.32
0.184,2.948
0.185,3.325
0.185,2.128
0.186,3.859
0.186,2.829
0.187,4.156
0.187,3.104
0.188,3.859
0.189,2.791
0.189,4.053
0.19,2.295
0.19,2.506
0.191,4.14
0.191,1.886
0.192,2.031
0.192,2.716
0.193,3.347
0.193,2.932
0.194,2.667
0.194,3.471
0.195,3.487
0.195,3.503
0.196,3.352
0.196,3.374
0.197,2.818
0.197,3.892
0.198,2.77
0.198,3.52
0.199,3.681
0.199,3.32
0.2,3.331
0.2,2.835
0.201,3.309
0.201,3.509
0.202,3.271
0.202,2.899
0.203,3.983
0.203,2.916
0.204,2.619
0.204,3.557
0.205,2.382
0.205,3.46
0.206,3.482
0.206,3.875
0.207,2.926
0.207,3.223
0.208,2.662
0.208,2.996
0.208,1.659
0.209,2.231
0.209,3.805
0.21,2.484
0.21,3.201
0.211,2.727
0.211,3.228
0.212,4.097
0.212,3.784
0.213,2.791
0.213,2.506
0.214,2.738
0.214,3.665
0.215,3.892
0.215,2.775
0.216,3.115
0.216,3.158
0.217,3.207
0.217,3.546
0.218,2.862
0.218,3.962
0.219,2.581
0.22,2.91
0.22,2.603
0.221,3.751
0.221,4.377
0.222,3.687
0.222,3.514
0.223,3.919
0.223,3.428
0.224,3.104
0.224,3.703
0.225,2.883
0.225,3.12
0.226,2.808
0.226,2.98
0.227,2.845
0.227,3.369
0.228,3.428
0.228,2.986
0.229,4.091
0.229,3.455
0.23,1.902
0.23,2.84
0.231,2.705
0.231,3.865
0.232,3.978
0.232,2.241
0.233,2.36
0.233,4.479
0.234,3.449
0.234,3.627
0.235,4.199
0.235,3.207
0.236,2.489
0.236,2.775
0.237,3.428
0.237,2.371
0.238,3.671
0.238,3.153
0.239,3.53
0.239,3.697
0.24,2.996
0.24,2.991
0.24,2.824
0.241,3.056
0.241,3.04
0.242,3.029
0.242,3.714
0.243,2.899
0.243,3.131
0.244,2.403
0.244,2.592
0.245,3.962
0.245,2.565
0.246,3.379
0.246,2.398
0.247,3.25
0.247,2.344
0.248,3.12
0.248,3.174
0.249,3.325
0.249,3.973
0.25,3.633
0.251,3.325
0.251,3.708
0.252,3.902
0.252,2.921
0.253,3.061
0.253,4.781
0.254,3.913
0.254,4.08
0.255,3.417
0.255,3.282
0.256,3.827
0.256,3.137
0.257,3.002
0.257,3.73
0.258,3.412
0.258,3.169
0.259,2.452
0.259,2.883
0.26,3.196
0.26,3.886
0.261,2.975
0.261,3.007
0.262,3.412
0.262,3.455
0.263,3.417
0.263,2.436
0.264,3.52
0.264,3.104
0.265,2.684
0.265,3.331
0.266,2.241
0.266,3.66
0.267,3.951
0.267,2.425
0.268,3.115
0.268,2.743
0.269,2.926
0.269,3.865
0.27,3.083
0.27,3.034
0.271,3.32
0.271,3.385
0.272,3.018
0.272,3.336
0.273,3.131
0.273,2.921
0.274,3.66
0.274,3.552
0.275,2.694
0.275,3.719
0.276,3.023
0.276,3.023
0.277,3.627
0.277,3.439
0.278,2.279
0.278,3.773
0.279,3.455
0.279,3.757
0.28,3.412
0.28,3.147
0.281,2.436
0.281,3.536
0.282,3.32
0.282,2.732
0.283,3.708
0.283,3.422
0.284,3.05
0.284,3.153
0.285,3.654
0.285,4.113
0.286,3.288
0.286,3.077
0.287,3.32
0.287,3.557
0.288,3.59
0.288,2.646
0.288,4.663
0.289,3.773
0.289,2.204
0.29,2.565
0.29,3.201
0.291,2.57
0.291,3.029
0.292,2.748
0.292,3.201
0.293,2.711
0.293,3.395
0.294,4.194
0.294,2.473
0.295,3.072
0.295,3.034
0.296,3.218
0.296,3.05
0.297,3.848
0.297,3.093
0.298,3.741
0.298,3.805
0.299,3.541
0.299,4.415
0.3,3.422
0.3,4.318
0.301,3.541
0.301,3.536
0.302,3.94
0.302,4.436
0.303,3.703
0.303,3.854
0.304,3.304
0.304,3.487
0.305,3.298
0.305,3.228
0.306,3.697
0.306,2.533
0.307,3.234
0.307,3.379
0.308,2.727
0.308,2.969
0.309,3.358
0.309,3.191
0.31,3.126
0.31,2.662
0.311,3.692
0.311,3.288
0.312,3.493
0.312,3.072
0.313,3.946
0.314,2.824
0.314,3.045
0.315,4.506
0.315,3.212
0.316,2.91
0.316,3.509
0.317,2.732
0.317,3.169
0.318,4.226
0.318,3.46
0.319,3.967
0.319,3.859
0.32,3.455
0.32,3.606
0.321,3.816
0.321,3.859
0.322,4.026
0.322,3.115
0.323,4.129
0.323,4.167
0.324,3.681
0.324,4.479
0.325,2.872
0.325,2.538
0.326,3.805
0.326,3.762
0.327,3.379
0.327,3.406
0.328,3.023
0.328,3.455
0.329,3.04
0.329,4.107
0.33,2.711
0.33,3.956
0.331,3.288
0.331,2.921
0.332,4.107
0.332,2.711
0.333,3.255
0.333,4.274
0.334,4.15
0.334,2.969
0.335,3.023
0.335,3.412
0.336,3.088
0.336,3.131
0.337,3.546
0.337,2.969
0.338,3.514
0.338,3.228
0.339,3.164
0.339,3.39
0.34,3.428
0.34,3.746
0.341,3.541
0.341,2.894
0.342,2.781
0.342,2.899
0.343,3.05
0.343,2.791
0.344,3.04
0.344,3.439
0.345,2.964
0.345,3.002
0.346,3.342
0.346,2.905
0.347,3.325
0.347,2.522
0.348,2.851
0.348,4.075
0.349,2.932
0.349,3.385
0.35,4.177
0.35,3.838
0.351,4.258
0.351,3.023
0.352,3.325
0.352,2.36
0.352,3.293
0.353,3.622
0.353,2.667
0.354,3.137
0.354,2.802
0.355,3.924
0.355,4.598
0.356,3.848
0.356,3.681
0.357,3.18
0.357,3.757
0.358,2.948
0.358,2.802
0.359,3.158
0.359,3.309
0.36,3.034
0.36,3.218
0.361,3.137
0.361,3.983
0.362,2.155
0.362,4.188
0.363,3.212
0.363,3.147
0.364,3.298
0.364,3.39
0.365,3.401
0.365,3.099
0.366,3.401
0.366,3.385
0.367,3.013
0.367,2.77
0.368,3.439
0.368,3.342
0.369,3.336
0.369,2.689
0.37,3.8
0.37,3.741
0.371,3.714
0.371,3.768
0.372,3.843
0.372,3.773
0.373,2.144
0.373,2.84
0.374,3.207
0.374,3.04
0.375,3.147
0.376,4.102
0.376,2.926
0.377,2.554
0.377,2.646
0.378,2.829
0.378,2.436
0.379,3.315
0.379,3.606
0.38,3.795
0.38,3.8
0.381,2.096
0.381,2.667
0.382,3.298
0.382,1.988
0.383,3.282
0.383,3.32
0.384,3.271
0.384,3.029
0.385,3.498
0.385,3.692
0.386,3.347
0.386,3.32
0.387,3.271
0.387,3.724
0.388,3.773
0.388,3.476
0.389,3.951
0.389,3.557
0.39,3.271
0.39,3.347
0.391,2.921
0.391,3.751
0.392,3.034
0.392,3.013
0.393,2.867
0.393,2.808
0.394,3.325
0.394,2.867
0.395,3.638
0.395,3.158
0.396,3.244
0.396,3.509
0.397,2.883
0.397,2.403
0.398,3.617
0.398,4.204
0.399,3.66
0.399,2.797
0.4,3.762
0.4,3.525
0.401,2.996
0.401,2.592
0.402,3.126
0.402,2.851
0.403,3.584
0.403,4.032
0.404,3.595
0.404,2.937
0.405,3.449
0.405,2.84
0.406,3.401
0.406,3.778
0.407,2.619
0.407,3.045
0.408,2.657
0.408,2.937
0.409,3.174
0.409,4.301
0.41,2.732
0.41,3.956
0.411,2.317
0.411,3.282
0.412,3.422
0.412,2.603
0.413,3.433
0.413,2.991
0.414,2.802
0.414,2.894
0.415,3.077
0.415,4.102
0.416,2.338
0.416,3.174
0.416,3.072
0.417,3.584
0.417,4.167
0.418,3.04
0.418,3.59
0.419,3.336
0.419,2.851
0.42,2.948
0.42,2.328
0.421,3.25
0.421,2.56
0.422,2.721
0.422,4.172
0.423,2.053
0.423,2.511
0.424,3.406
0.424,3.04
0.425,2.775
0.425,3.013
0.426,2.635
0.426,2.592
0.427,4.269
0.427,3.568
0.428,3.077
0.428,3.131
0.429,3.072
0.429,3.59
0.43,3.104
0.43,3.18
0.431,2.975
0.431,4.307
0.432,3.676
0.432,3.185
0.433,3.056
0.433,3.897
0.434,3.395
0.434,3.471
0.435,3.234
0.435,2.791
0.436,3.795
0.436,3.482
0.437,3.201
0.437,2.872
0.438,2.085
0.439,2.516
0.439,3.298
0.44,3.077
0.44,2.285
0.441,3.164
0.441,3.654
0.442,2.241
0.442,2.392
0.443,2.252
0.443,3.191
0.444,2.942
0.444,3.239
0.445,3.649
0.445,2.484
0.446,2.301
0.446,2.824
0.447,2.36
0.447,3.002
0.448,3.687
0.448,3.568
0.449,3.627
0.449,2.614
0.45,3.503
0.45,2.872
0.451,3.433
0.451,2.975
0.452,3.439
0.452,2.932
0.453,2.862
0.453,2.835
0.454,2.587
0.454,3.795
0.455,2.926
0.455,3.611
0.456,3.147
0.456,2.414
0.457,2.392
0.457,3.509
0.458,2.161
0.458,2.236
0.459,2.673
0.459,2.964
0.46,3.395
0.46,3.649
0.461,2.824
0.461,3.05
0.462,2.603
0.462,3.59
0.463,2.996
0.463,3.115
0.464,3.39
0.464,2.576
0.465,2.905
0.465,3.557
0.466,2.802
0.466,3.73
0.467,3.644
0.467,3.077
0.468,3.983
0.468,3.622
0.469,3.412
0.469,3.191
0.47,2.392
0.47,3.185
0.471,3.034
0.471,2.937
0.472,3.255
0.472,3.104
0.473,2.996
0.473,3.379
0.474,1.788
0.474,2.894
0.475,2.376
0.475,3.886
0.476,3.142
0.476,2.338
0.477,2.872
0.477,3.784
0.478,2.959
0.478,3.196
0.479,3.466
0.479,2.894
0.48,3.315
0.48,2.603
0.48,1.983
0.481,2.198
0.481,3.412
0.482,3.244
0.482,2.765
0.483,3.94
0.483,3.778
0.484,3.04
0.484,3.573
0.485,3.395
0.485,3.385
0.486,3.271
0.486,2.975
0.487,3.584
0.487,3.449
0.488,3.234
0.488,3.04
0.489,3.395
0.489,2.845
0.49,2.63
0.49,2.889
0.491,3.946
0.491,2.193
0.492,2.516
0.492,3.115
0.493,2.721
0.493,2.193
0.494,3.261
0.494,1.993
0.495,2.808
0.495,2.603
0.496,3.255
0.496,3.859
0.497,2.829
0.497,2.743
0.498,3.924
0.498,3.093
0.499,2.22
0.499,3.255
0.5,3.39
0.501,3.336
0.501,3.649
0.502,4.301
0.502,3.013
0.503,2.495
0.503,3.282
0.504,3.153
0.504,3.546
0.505,3.94
0.505,2.705
0.506,2.667
0.506,3.271
0.507,2.732
0.507,3.325
0.508,2.996
0.508,2.069
0.509,2.468
0.509,2.463
0.51,3.234
0.51,2.171
0.511,3.546
0.511,3.611
0.512,2.953
0.512,3.493
0.512,3.573
0.513,2.754
0.513,2.883
0.514,2.7
0.514,3.244
0.515,4.134
0.515,2.22
0.516,2.635
0.516,3.11
0.517,3.471
0.517,2.727
0.518,4.307
0.518,2.765
0.519,3.865
0.519,2.624
0.52,2.463
0.52,2.765
0.521,3.164
0.521,3.697
0.522,2.231
0.522,3.369
0.523,2.824
0.523,2.161
0.524,3.201
0.524,2.856
0.525,2.64
0.525,3.509
0.526,2.921
0.526,2.786
0.527,3.644
0.527,3.342
0.528,2.689
0.528,2.786
0.529,2.468
0.529,3.191
0.53,3.439
0.53,3.557
0.531,3.207
0.531,3.827
0.532,2.624
0.532,3.18
0.533,4.323
0.533,3.503
0.534,3.654
0.534,4.113
0.535,2.932
0.535,2.862
0.536,2.829
0.536,3.568
0.537,3.234
0.537,3.627
0.538,3.973
0.538,3.045
0.539,3.908
0.539,2.921
0.54,3.433
0.54,4.075
0.541,3.061
0.541,2.937
0.542,3.093
0.542,2.608
0.543,2.824
0.543,3.309
0.544,2.948
0.544,2.398
0.545,2.959
0.545,2.716
0.546,2.759
0.546,2.84
0.547,2.554
0.547,3.061
0.548,3.52
0.548,3.374
0.549,2.592
0.549,4.059
0.55,3.919
0.55,2.872
0.551,3.811
0.551,3.708
0.552,3.487
0.552,2.765
0.553,3.034
0.553,3.093
0.554,2.587
0.554,3.816
0.555,2.732
0.555,3.584
0.556,3.541
0.556,2.662
0.557,3.444
0.557,2.7
0.558,2.365
0.558,2.489
0.559,3.153
0.559,2.824
0.56,3.482
0.56,2.64
0.561,3.309
0.561,2.43
0.562,2.646
0.562,2.942
0.563,2.845
0.564,2.905
0.564,2.403
0.565,2.274
0.565,3.083
0.566,3.034
0.566,2.948
0.567,3.406
0.567,3.584
0.568,3.552
0.568,3.234
0.569,3.336
0.569,3.142
