Time - Strain	Amplitude - Strain
0	0.00237759
0.0005	0.0023795
0.001	0.00237775
0.0015	0.00237959
0.002	0.00237799
0.0025	0.00237592
0.003	0.00237721
0.0035	0.00237872
0.004	0.00237857
0.0045	0.00237793
0.005	0.00237917
0.0055	0.00237982
0.006	0.00237888
0.0065	0.0023787
0.007	0.00237875
0.0075	0.00237928
0.008	0.00237851
0.0085	0.00237696
0.009	0.00237826
0.0095	0.00237767
0.01	0.00237705
0.0105	0.00237905
0.011	0.00237987
0.0115	0.00237817
0.012	0.00237882
0.0125	0.00237822
0.013	0.00237808
0.0135	0.00237717
0.014	0.00237867
0.0145	0.00237693
0.015	0.00237859
0.0155	0.00237876
0.016	0.00237867
0.0165	0.00237957
0.017	0.00237744
0.0175	0.00238009
0.018	0.00237983
0.0185	0.00237794
0.019	0.00237915
0.0195	0.00237937
0.02	0.00237826
0.0205	0.00237901
0.021	0.00237776
0.0215	0.00237851
0.022	0.00237969
0.0225	0.00237744
0.023	0.00237876
0.0235	0.00237851
0.024	0.00237832
0.0245	0.00237789
0.025	0.00237685
0.0255	0.00237776
0.026	0.00237757
0.0265	0.00237806
0.027	0.00237695
0.0275	0.00237856
0.028	0.00237841
0.0285	0.0023791
0.029	0.00237712
0.0295	0.00237941
0.03	0.0023787
0.0305	0.00237862
0.031	0.0023802
0.0315	0.00237766
0.032	0.00238088
0.0325	0.00237763
0.033	0.00237945
0.0335	0.00237945
0.034	0.00237932
0.0345	0.00238064
0.035	0.00237986
0.0355	0.00237889
0.036	0.00237888
0.0365	0.00237954
0.037	0.00237626
0.0375	0.002378
0.038	0.00237829
0.0385	0.00237883
0.039	0.00237915
0.0395	0.00237704
0.04	0.00237942
0.0405	0.00237911
0.041	0.002378
0.0415	0.00237953
0.042	0.00237811
0.0425	0.00237893
0.043	0.00237691
0.0435	0.00237773
0.044	0.00237755
0.0445	0.00237756
0.045	0.00237827
0.0455	0.00237748
0.046	0.00237811
0.0465	0.0023779
0.047	0.00237974
0.0475	0.00237877
0.048	0.00237867
0.0485	0.00237905
0.049	0.00237799
0.0495	0.00237808
0.05	0.00237672
0.0505	0.00238
0.051	0.00237943
0.0515	0.00237938
0.052	0.00237754
0.0525	0.00237866
0.053	0.00237646
0.0535	0.00237887
0.054	0.00237788
0.0545	0.00237639
0.055	0.00237961
0.0555	0.00237865
0.056	0.00237624
0.0565	0.00237726
0.057	0.00237775
0.0575	0.00237894
0.058	0.00237804
0.0585	0.00237745
0.059	0.00237897
0.0595	0.00237869
0.06	0.00237824
0.0605	0.00237836
0.061	0.00237739
0.0615	0.00237655
0.062	0.00237889
0.0625	0.0023784
0.063	0.00237838
0.0635	0.00237648
0.064	0.00237865
0.0645	0.00237673
0.065	0.0023797
0.0655	0.00237981
0.066	0.00237823
0.0665	0.00237987
