Time - Strain	Amplitude - Strain
0	0.00258391
0.0005	0.00258193
0.001	0.00258583
0.0015	0.00258231
0.002	0.00258426
0.0025	0.00258317
0.003	0.0025835
0.0035	0.00258343
0.004	0.00258375
0.0045	0.0025815
0.005	0.00258411
0.0055	0.00258324
0.006	0.00258297
0.0065	0.00258243
0.007	0.00258418
0.0075	0.00258357
0.008	0.00258352
0.0085	0.00258233
0.009	0.00258595
0.0095	0.0025833
0.01	0.00258368
0.0105	0.00258335
0.011	0.00258278
0.0115	0.00258509
0.012	0.00258206
0.0125	0.00258306
0.013	0.00258351
0.0135	0.00258267
0.014	0.00258459
0.0145	0.00258163
0.015	0.002583
0.0155	0.00258359
0.016	0.00258195
0.0165	0.00258293
0.017	0.00258236
0.0175	0.00258164
0.018	0.00258199
0.0185	0.00258122
0.019	0.00258215
0.0195	0.0025817
0.02	0.00258143
0.0205	0.00258092
0.021	0.00258173
0.0215	0.00258181
0.022	0.00258163
0.0225	0.00258108
0.023	0.00258067
0.0235	0.00258263
0.024	0.00258297
0.0245	0.00258269
0.025	0.00258031
0.0255	0.00258231
0.026	0.00258201
0.0265	0.00258135
0.027	0.00258065
0.0275	0.00258215
0.028	0.00258245
0.0285	0.00258068
0.029	0.00258215
0.0295	0.00258282
0.03	0.00258039
0.0305	0.00258105
0.031	0.00258267
0.0315	0.00257973
0.032	0.00257883
0.0325	0.0025804
0.033	0.00258049
0.0335	0.0025807
0.034	0.00258178
0.0345	0.00258051
0.035	0.00258028
0.0355	0.00258257
0.036	0.00258117
0.0365	0.00258186
0.037	0.00257995
0.0375	0.00258115
0.038	0.00258171
0.0385	0.00258082
0.039	0.00257928
0.0395	0.00258185
0.04	0.00258017
0.0405	0.00258156
0.041	0.0025788
0.0415	0.00258039
0.042	0.00258231
0.0425	0.00258075
0.043	0.00258132
0.0435	0.00258075
0.044	0.0025815
0.0445	0.00258148
0.045	0.00258181
0.0455	0.00258079
0.046	0.00258125
0.0465	0.00258094
0.047	0.00258281
0.0475	0.00258015
0.048	0.00258091
0.0485	0.00258016
0.049	0.00258082
0.0495	0.0025806
0.05	0.0025802
0.0505	0.00258299
0.051	0.00258077
0.0515	0.00258101
0.052	0.00258186
0.0525	0.00258054
0.053	0.00258019
0.0535	0.00258201
0.054	0.0025782
0.0545	0.00258043
0.055	0.00258115
0.0555	0.00257926
0.056	0.00258024
0.0565	0.00258144
0.057	0.00257976
0.0575	0.00258254
0.058	0.00258165
0.0585	0.00258108
0.059	0.00258281
0.0595	0.00258118
0.06	0.0025827
0.0605	0.00258114
0.061	0.00258165
0.0615	0.00258236
0.062	0.00258299
0.0625	0.00258315
0.063	0.00258106
0.0635	0.00258304
0.064	0.0025829
0.0645	0.00258423
0.065	0.00258195
0.0655	0.00258245
0.066	0.00258242
0.0665	0.00258233
0.067	0.00258227
0.0675	0.00258253
0.068	0.0025828
0.0685	0.00258229
0.069	0.00258108
0.0695	0.0025822
0.07	0.00258263
0.0705	0.00258216
0.071	0.00258364
0.0715	0.00258378
0.072	0.00258329
0.0725	0.00258321
0.073	0.00258371
0.0735	0.0025827
0.074	0.00258263
0.0745	0.00258313
0.075	0.00258341
0.0755	0.00258306
0.076	0.00258413
0.0765	0.0025839
0.077	0.00258348
0.0775	0.00258412
0.078	0.00258427
0.0785	0.00258441
0.079	0.00258443
0.0795	0.00258521
0.08	0.00258459
0.0805	0.00258552
0.081	0.00258333
0.0815	0.00258306
0.082	0.00258518
0.0825	0.00258499
0.083	0.00258493
0.0835	0.00258442
0.084	0.00258206
0.0845	0.00258285
0.085	0.00258324
0.0855	0.00258423
0.086	0.00258444
0.0865	0.00258522
0.087	0.00258345
0.0875	0.00258397
0.088	0.00258269
0.0885	0.00258334
0.089	0.00258422
0.0895	0.00258323
0.09	0.00258373
0.0905	0.00258396
0.091	0.00258377
0.0915	0.00258491
0.092	0.00258355
0.0925	0.00258402
0.093	0.00258518
0.0935	0.00258526
0.094	0.00258516
0.0945	0.00258503
0.095	0.00258477
0.0955	0.0025862
0.096	0.00258538
0.0965	0.00258598
0.097	0.00258595
0.0975	0.00258269
0.098	0.0025842
0.0985	0.00258449
0.099	0.00258405
0.0995	0.00258366
0.1	0.00258499
0.1005	0.00258309
0.101	0.00258414
0.1015	0.00258293
0.102	0.00258376
0.1025	0.00258537
0.103	0.0025839
0.1035	0.00258508
0.104	0.00258483
0.1045	0.00258422
0.105	0.00258247
0.1055	0.00258328
0.106	0.00258405
0.1065	0.00258352
0.107	0.00258545
0.1075	0.00258229
0.108	0.0025841
0.1085	0.00258338
0.109	0.00258455
0.1095	0.00258337
0.11	0.00258404
0.1105	0.00258351
0.111	0.00258534
0.1115	0.00258408
0.112	0.00258256
0.1125	0.0025845
0.113	0.0025842
0.1135	0.00258474
0.114	0.00258382
0.1145	0.00258474
0.115	0.00258401
0.1155	0.00258481
0.116	0.00258413
0.1165	0.00258273
0.117	0.00258162
0.1175	0.00258214
0.118	0.00258233
0.1185	0.00258327
0.119	0.00258124
0.1195	0.00258037
0.12	0.00258106
0.1205	0.00258146
0.121	0.00258118
0.1215	0.00258388
0.122	0.00258181
0.1225	0.00258255
0.123	0.00258283
0.1235	0.00258245
0.124	0.00258224
0.1245	0.00258146
0.125	0.00258128
0.1255	0.0025819
0.126	0.00258205
0.1265	0.00258196
0.127	0.00258082
0.1275	0.00258215
0.128	0.00258094
0.1285	0.00258321
0.129	0.00258069
0.1295	0.00258135
0.13	0.00258313
0.1305	0.00258177
0.131	0.00258123
0.1315	0.00258451
0.132	0.00258204
0.1325	0.0025811
0.133	0.00258146
0.1335	0.00258171
0.134	0.00258165
0.1345	0.00258145
0.135	0.00257984
0.1355	0.00258101
0.136	0.00258185
0.1365	0.00258099
0.137	0.00257987
0.1375	0.00257825
0.138	0.0025797
0.1385	0.00257935
0.139	0.00258059
0.1395	0.00258103
0.14	0.00258087
0.1405	0.00258134
0.141	0.00258072
0.1415	0.00258136
0.142	0.00258012
0.1425	0.002582
0.143	0.00258067
0.1435	0.00258016
0.144	0.00258245
0.1445	0.0025796
0.145	0.00258055
0.1455	0.00258175
0.146	0.00258261
0.1465	0.00258264
0.147	0.00258122
0.1475	0.00258091
0.148	0.00258002
0.1485	0.00258057
0.149	0.00258122
0.1495	0.00257952
0.15	0.00258162
0.1505	0.00257858
0.151	0.00258251
0.1515	0.00257988
0.152	0.00258172
0.1525	0.00258181
0.153	0.00257847
0.1535	0.00257986
0.154	0.00257863
0.1545	0.00258112
0.155	0.00257948
0.1555	0.00258024
0.156	0.00258153
0.1565	0.00258322
0.157	0.0025801
0.1575	0.00257969
0.158	0.00258262
0.1585	0.00258214
0.159	0.00258101
0.1595	0.00258269
0.16	0.0025818
0.1605	0.00258177
0.161	0.00258198
0.1615	0.00258284
0.162	0.00258195
0.1625	0.00258164
0.163	0.00258065
0.1635	0.00258254
0.164	0.00258176
0.1645	0.00258243
0.165	0.00258325
0.1655	0.00258059
0.166	0.00258307
0.1665	0.00258323
0.167	0.00258249
0.1675	0.00258302
0.168	0.00258204
0.1685	0.00258172
0.169	0.00258312
0.1695	0.00258185
0.17	0.00258217
0.1705	0.00258214
0.171	0.00258229
0.1715	0.00258129
0.172	0.00258231
0.1725	0.00258144
0.173	0.00258379
0.1735	0.00258426
0.174	0.00258137
0.1745	0.00258408
0.175	0.00258343
0.1755	0.00258187
0.176	0.00258268
0.1765	0.00258351
0.177	0.0025832
0.1775	0.00258343
0.178	0.00258531
0.1785	0.00258314
0.179	0.00258482
0.1795	0.00258528
0.18	0.00258334
0.1805	0.00258377
0.181	0.00258509
0.1815	0.0025839
0.182	0.00258495
0.1825	0.0025851
0.183	0.00258356
0.1835	0.00258351
0.184	0.00258438
0.1845	0.00258398
0.185	0.00258478
0.1855	0.0025826
0.186	0.0025839
0.1865	0.00258377
0.187	0.00258292
0.1875	0.00258302
0.188	0.00258462
0.1885	0.00258245
0.189	0.00258444
0.1895	0.00258236
0.19	0.00258189
0.1905	0.00258391
0.191	0.00258365
0.1915	0.00258283
0.192	0.00258553
0.1925	0.00258526
0.193	0.002584
