Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.25047	0	1.8039	0	0.76815
0.000488	2.25058	0.000488	1.80446	0.000488	0.769016
0.000977	2.25038	0.000977	1.80346	0.000977	0.76857
0.001465	2.25039	0.001465	1.80363	0.001465	0.768681
0.001953	2.25065	0.001953	1.8028	0.001953	0.768857
0.002441	2.25049	0.002441	1.80346	0.002441	0.767659
0.00293	2.2504	0.00293	1.80369	0.00293	0.768374
0.003418	2.2502	0.003418	1.80332	0.003418	0.768277
0.003906	2.25023	0.003906	1.80366	0.003906	0.767765
0.004395	2.25035	0.004395	1.80359	0.004395	0.76852
0.004883	2.25047	0.004883	1.80344	0.004883	0.768428
0.005371	2.25028	0.005371	1.80369	0.005371	0.768609
0.005859	2.24997	0.005859	1.80341	0.005859	0.768562
0.006348	2.2501	0.006348	1.80335	0.006348	0.768637
0.006836	2.25031	0.006836	1.80374	0.006836	0.768227
0.007324	2.25023	0.007324	1.8034	0.007324	0.767867
0.007812	2.24995	0.007812	1.80466	0.007812	0.768587
0.008301	2.25018	0.008301	1.80354	0.008301	0.76884
0.008789	2.24986	0.008789	1.80395	0.008789	0.768378
0.009277	2.24999	0.009277	1.80334	0.009277	0.768552
0.009766	2.25008	0.009766	1.80359	0.009766	0.768364
0.010254	2.25009	0.010254	1.8033	0.010254	0.768073
0.010742	2.25009	0.010742	1.80312	0.010742	0.767569
0.01123	2.2503	0.01123	1.80328	0.01123	0.768746
0.011719	2.25027	0.011719	1.80328	0.011719	0.76821
0.012207	2.25019	0.012207	1.8035	0.012207	0.768302
0.012695	2.25025	0.012695	1.80384	0.012695	0.768388
0.013184	2.25031	0.013184	1.80282	0.013184	0.768066
0.013672	2.25045	0.013672	1.80229	0.013672	0.76879
0.01416	2.25046	0.01416	1.80247	0.01416	0.767435
0.014648	2.25061	0.014648	1.80258	0.014648	0.768723
0.015137	2.2506	0.015137	1.8024	0.015137	0.769262
0.015625	2.25053	0.015625	1.80285	0.015625	0.768885
0.016113	2.25072	0.016113	1.8023	0.016113	0.768713
0.016602	2.25056	0.016602	1.8024	0.016602	0.769183
0.01709	2.25047	0.01709	1.803	0.01709	0.768537
0.017578	2.25056	0.017578	1.80297	0.017578	0.769776
0.018066	2.25035	0.018066	1.80302	0.018066	0.768604
0.018555	2.25068	0.018555	1.80333	0.018555	0.768771
0.019043	2.25048	0.019043	1.80261	0.019043	0.767828
0.019531	2.25034	0.019531	1.80281	0.019531	0.768252
0.02002	2.25019	0.02002	1.80339	0.02002	0.768381
0.020508	2.25028	0.020508	1.8034	0.020508	0.769354
0.020996	2.25022	0.020996	1.80354	0.020996	0.768699
0.021484	2.25037	0.021484	1.80334	0.021484	0.767847
0.021973	2.25034	0.021973	1.80385	0.021973	0.768907
0.022461	2.25018	0.022461	1.80292	0.022461	0.767718
0.022949	2.25008	0.022949	1.80304	0.022949	0.768182
0.023437	2.25013	0.023437	1.80303	0.023437	0.767738
0.023926	2.25015	0.023926	1.80318	0.023926	0.769068
0.024414	2.24986	0.024414	1.80312	0.024414	0.768619
0.024902	2.25001	0.024902	1.80283	0.024902	0.768421
0.025391	2.25008	0.025391	1.80262	0.025391	0.767435
0.025879	2.24994	0.025879	1.80309	0.025879	0.767021
0.026367	2.24997	0.026367	1.80267	0.026367	0.768259
0.026855	2.24984	0.026855	1.80298	0.026855	0.767927
0.027344	2.25027	0.027344	1.80297	0.027344	0.768716
0.027832	2.25019	0.027832	1.80254	0.027832	0.767857
0.02832	2.25032	0.02832	1.80323	0.02832	0.768684
0.028809	2.25034	0.028809	1.80281	0.028809	0.768408
0.029297	2.25041	0.029297	1.80318	0.029297	0.768217
0.029785	2.25051	0.029785	1.80289	0.029785	0.767669
0.030273	2.25045	0.030273	1.80318	0.030273	0.768562
0.030762	2.25049	0.030762	1.80267	0.030762	0.768058
0.03125	2.25058	0.03125	1.80213	0.03125	0.7678
0.031738	2.25059	0.031738	1.80247	0.031738	0.768145
0.032227	2.25058	0.032227	1.80294	0.032227	0.768498
0.032715	2.2506	0.032715	1.80351	0.032715	0.768316
0.033203	2.25048	0.033203	1.80333	0.033203	0.768468
0.033691	2.25049	0.033691	1.80291	0.033691	0.769034
0.03418	2.25055	0.03418	1.80289	0.03418	0.76781
0.034668	2.2504	0.034668	1.80331	0.034668	0.768748
0.035156	2.25063	0.035156	1.80368	0.035156	0.76782
0.035645	2.25051	0.035645	1.80244	0.035645	0.768455
0.036133	2.25032	0.036133	1.80191	0.036133	0.768753
0.036621	2.25015	0.036621	1.80286	0.036621	0.769071
0.037109	2.25029	0.037109	1.80263	0.037109	0.767855
0.037598	2.25034	0.037598	1.80269	0.037598	0.768081
0.038086	2.25031	0.038086	1.80295	0.038086	0.768686
0.038574	2.25025	0.038574	1.80289	0.038574	0.767681
0.039062	2.25013	0.039062	1.80327	0.039062	0.768205
0.039551	2.24989	0.039551	1.8029	0.039551	0.768828
0.040039	2.24998	0.040039	1.8026	0.040039	0.767919
0.040527	2.2501	0.040527	1.8027	0.040527	0.768103
0.041016	2.25001	0.041016	1.80294	0.041016	0.768478
0.041504	2.24978	0.041504	1.80424	0.041504	0.767627
0.041992	2.25029	0.041992	1.80295	0.041992	0.768195
0.04248	2.24991	0.04248	1.80351	0.04248	0.7675
0.042969	2.2497	0.042969	1.80391	0.042969	0.768443
0.043457	2.25007	0.043457	1.80284	0.043457	0.768331
0.043945	2.24992	0.043945	1.80327	0.043945	0.767661
0.044434	2.25015	0.044434	1.80289	0.044434	0.768515
0.044922	2.25021	0.044922	1.80318	0.044922	0.769242
0.04541	2.25029	0.04541	1.80321	0.04541	0.768512
0.045898	2.25043	0.045898	1.80296	0.045898	0.768445
0.046387	2.25036	0.046387	1.80284	0.046387	0.768421
