Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.3833	0	1.80488	0	0
0.000488	2.38296	0.000488	1.80552	0.000488	0
0.000977	2.3834	0.000977	1.80447	0.000977	0
0.001465	2.38318	0.001465	1.80501	0.001465	0
0.001953	2.38306	0.001953	1.80502	0.001953	0
0.002441	2.38318	0.002441	1.80463	0.002441	0
0.00293	2.38305	0.00293	1.80488	0.00293	0
0.003418	2.38327	0.003418	1.80494	0.003418	0
0.003906	2.3833	0.003906	1.80469	0.003906	0
0.004395	2.38294	0.004395	1.8055	0.004395	0
0.004883	2.38285	0.004883	1.8053	0.004883	0
0.005371	2.38303	0.005371	1.80488	0.005371	0
0.005859	2.38291	0.005859	1.80465	0.005859	0
0.006348	2.38274	0.006348	1.80486	0.006348	0
0.006836	2.38298	0.006836	1.8048	0.006836	0
0.007324	2.38256	0.007324	1.80487	0.007324	0
0.007812	2.38222	0.007812	1.80491	0.007812	0
0.008301	2.38255	0.008301	1.80517	0.008301	0
0.008789	2.38246	0.008789	1.80609	0.008789	0
0.009277	2.38276	0.009277	1.80608	0.009277	0
0.009766	2.38245	0.009766	1.80629	0.009766	0
0.010254	2.3828	0.010254	1.80521	0.010254	0
0.010742	2.38215	0.010742	1.8054	0.010742	0
0.01123	2.38259	0.01123	1.80555	0.01123	0
0.011719	2.3824	0.011719	1.8049	0.011719	0
0.012207	2.3827	0.012207	1.80469	0.012207	0
0.012695	2.38253	0.012695	1.80525	0.012695	0
0.013184	2.38289	0.013184	1.80489	0.013184	0
0.013672	2.38281	0.013672	1.80475	0.013672	0
0.01416	2.38294	0.01416	1.80431	0.01416	0
0.014648	2.38274	0.014648	1.8048	0.014648	0
0.015137	2.38274	0.015137	1.80477	0.015137	0
0.015625	2.38267	0.015625	1.8056	0.015625	0
0.016113	2.38262	0.016113	1.80546	0.016113	0
0.016602	2.3829	0.016602	1.80497	0.016602	0
0.01709	2.38322	0.01709	1.80491	0.01709	0
0.017578	2.38307	0.017578	1.80506	0.017578	0
0.018066	2.38313	0.018066	1.80569	0.018066	0
0.018555	2.38298	0.018555	1.80488	0.018555	0
0.019043	2.38312	0.019043	1.80512	0.019043	0
0.019531	2.38292	0.019531	1.80461	0.019531	0
0.02002	2.38319	0.02002	1.80444	0.02002	0
0.020508	2.38306	0.020508	1.8047	0.020508	0
0.020996	2.38302	0.020996	1.8041	0.020996	0
0.021484	2.38292	0.021484	1.80467	0.021484	0
0.021973	2.38292	0.021973	1.80537	0.021973	0
0.022461	2.38272	0.022461	1.80557	0.022461	0
0.022949	2.38282	0.022949	1.80538	0.022949	0
0.023437	2.38288	0.023437	1.80514	0.023437	0
0.023926	2.38296	0.023926	1.80497	0.023926	0
0.024414	2.38242	0.024414	1.80604	0.024414	0
0.024902	2.38237	0.024902	1.80534	0.024902	0
0.025391	2.38272	0.025391	1.80519	0.025391	0
0.025879	2.38264	0.025879	1.80462	0.025879	0
0.026367	2.3827	0.026367	1.8041	0.026367	0
0.026855	2.3825	0.026855	1.80473	0.026855	0
0.027344	2.38252	0.027344	1.80509	0.027344	0
0.027832	2.38191	0.027832	1.80547	0.027832	0
0.02832	2.38276	0.02832	1.80481	0.02832	0
0.028809	2.38235	0.028809	1.80517	0.028809	0
0.029297	2.38271	0.029297	1.80472	0.029297	0
0.029785	2.38266	0.029785	1.80479	0.029785	0
0.030273	2.38273	0.030273	1.80475	0.030273	0
0.030762	2.38273	0.030762	1.80478	0.030762	0
0.03125	2.38266	0.03125	1.80515	0.03125	0
0.031738	2.38269	0.031738	1.80525	0.031738	0
0.032227	2.38325	0.032227	1.80549	0.032227	0
0.032715	2.3832	0.032715	1.80485	0.032715	0
0.033203	2.38283	0.033203	1.80569	0.033203	0
0.033691	2.38333	0.033691	1.80515	0.033691	0
0.03418	2.38288	0.03418	1.80548	0.03418	0
0.034668	2.38319	0.034668	1.80591	0.034668	0
0.035156	2.38286	0.035156	1.80603	0.035156	0
0.035645	2.38313	0.035645	1.8058	0.035645	0
0.036133	2.38289	0.036133	1.8049	0.036133	0
0.036621	2.3833	0.036621	1.80495	0.036621	0
0.037109	2.38293	0.037109	1.80511	0.037109	0
0.037598	2.38318	0.037598	1.80446	0.037598	0
0.038086	2.38274	0.038086	1.80507	0.038086	0
0.038574	2.38266	0.038574	1.80528	0.038574	0
0.039062	2.38289	0.039062	1.80501	0.039062	0
0.039551	2.38286	0.039551	1.80506	0.039551	0
0.040039	2.38278	0.040039	1.80473	0.040039	0
0.040527	2.38306	0.040527	1.80429	0.040527	0
0.041016	2.38321	0.041016	1.80392	0.041016	0
0.041504	2.38272	0.041504	1.80461	0.041504	0
0.041992	2.38263	0.041992	1.80441	0.041992	0
0.04248	2.38237	0.04248	1.80484	0.04248	0
0.042969	2.38252	0.042969	1.80532	0.042969	0
0.043457	2.38225	0.043457	1.80461	0.043457	0
0.043945	2.38224	0.043945	1.80513	0.043945	0
0.044434	2.38205	0.044434	1.8051	0.044434	0
0.044922	2.38241	0.044922	1.80559	0.044922	0
0.04541	2.38235	0.04541	1.80537	0.04541	0
0.045898	2.38236	0.045898	1.80552	0.045898	0
0.046387	2.383	0.046387	1.80482	0.046387	0
0.046875	2.38278	0.046875	1.8046	0.046875	0
0.047363	2.38289	0.047363	1.80481	0.047363	0
0.047852	2.38274	0.047852	1.80514	0.047852	0
0.04834	2.38286	0.04834	1.80503	0.04834	0
0.048828	2.38247	0.048828	1.80565	0.048828	0
0.049316	2.38267	0.049316	1.8061	0.049316	0
0.049805	2.38343	0.049805	1.80483	0.049805	0
0.050293	2.38333	0.050293	1.80459	0.050293	0
0.050781	2.38328	0.050781	1.80434	0.050781	0
0.05127	2.383	0.05127	1.80499	0.05127	0
0.051758	2.38303	0.051758	1.80518	0.051758	0
0.052246	2.38318	0.052246	1.80546	0.052246	0
0.052734	2.38301	0.052734	1.80507	0.052734	0
0.053223	2.383	0.053223	1.80588	0.053223	0
0.053711	2.38311	0.053711	1.80613	0.053711	0
0.054199	2.38289	0.054199	1.80544	0.054199	0
0.054687	2.38283	0.054687	1.80468	0.054687	0
0.055176	2.38285	0.055176	1.80545	0.055176	0
0.055664	2.38276	0.055664	1.80559	0.055664	0
0.056152	2.38296	0.056152	1.80542	0.056152	0
0.056641	2.38273	0.056641	1.80533	0.056641	0
0.057129	2.38272	0.057129	1.8049	0.057129	0
0.057617	2.38216	0.057617	1.80533	0.057617	0
0.058105	2.3825	0.058105	1.80551	0.058105	0
0.058594	2.38284	0.058594	1.80506	0.058594	0
0.059082	2.3822	0.059082	1.80578	0.059082	0
0.05957	2.38271	0.05957	1.80517	0.05957	0
0.060059	2.38241	0.060059	1.80581	0.060059	0
0.060547	2.38234	0.060547	1.80556	0.060547	0
0.061035	2.38276	0.061035	1.80602	0.061035	0
0.061523	2.38268	0.061523	1.80587	0.061523	0
0.062012	2.38255	0.062012	1.80613	0.062012	0
0.0625	2.38267	0.0625	1.80613	0.0625	0
0.062988	2.38268	0.062988	1.80557	0.062988	0
0.063477	2.38316	0.063477	1.80528	0.063477	0
0.063965	2.38289	0.063965	1.80545	0.063965	0
0.064453	2.38296	0.064453	1.80544	0.064453	0
0.064941	2.38276	0.064941	1.80575	0.064941	0
0.06543	2.38266	0.06543	1.80532	0.06543	0
0.065918	2.3833	0.065918	1.80547	0.065918	0
0.066406	2.38288	0.066406	1.80559	0.066406	0
0.066895	2.38288	0.066895	1.80537	0.066895	0
0.067383	2.38298	0.067383	1.80567	0.067383	0
0.067871	2.38324	0.067871	1.8045	0.067871	0
0.068359	2.38317	0.068359	1.8052	0.068359	0
0.068848	2.38335	0.068848	1.80469	0.068848	0
0.069336	2.38323	0.069336	1.8046	0.069336	0
0.069824	2.38296	0.069824	1.80437	0.069824	0
