Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.13859	0	1.30267	0	0.846711
0.000488	2.13862	0.000488	1.29783	0.000488	0.846709
0.000977	2.1386	0.000977	1.30102	0.000977	0.845729
0.001465	2.13862	0.001465	1.30126	0.001465	0.846265
0.001953	2.13853	0.001953	1.30278	0.001953	0.846374
0.002441	2.13861	0.002441	1.29779	0.002441	0.847185
0.00293	2.13863	0.00293	1.29782	0.00293	0.846317
0.003418	2.13861	0.003418	1.29762	0.003418	0.846448
0.003906	2.13854	0.003906	1.29962	0.003906	0.846153
0.004395	2.13858	0.004395	1.30147	0.004395	0.846366
0.004883	2.13859	0.004883	1.3047	0.004883	0.846076
0.005371	2.13853	0.005371	1.3043	0.005371	0.845954
0.005859	2.13856	0.005859	1.30195	0.005859	0.845922
0.006348	2.13862	0.006348	1.30248	0.006348	0.846503
0.006836	2.13857	0.006836	1.29874	0.006836	0.846352
0.007324	2.13854	0.007324	1.29893	0.007324	0.846245
0.007812	2.13857	0.007812	1.29896	0.007812	0.847501
0.008301	2.1386	0.008301	1.29976	0.008301	0.84617
0.008789	2.13858	0.008789	1.30162	0.008789	0.846237
0.009277	2.13857	0.009277	1.29965	0.009277	0.848114
0.009766	2.13854	0.009766	1.30136	0.009766	0.846759
0.010254	2.13853	0.010254	1.3023	0.010254	0.846406
0.010742	2.13854	0.010742	1.30329	0.010742	0.846312
0.01123	2.13859	0.01123	1.30112	0.01123	0.846066
0.011719	2.13851	0.011719	1.30041	0.011719	0.846391
0.012207	2.13856	0.012207	1.30072	0.012207	0.847928
0.012695	2.13861	0.012695	1.30097	0.012695	0.84694
0.013184	2.13859	0.013184	1.29873	0.013184	0.847037
0.013672	2.13857	0.013672	1.29744	0.013672	0.846448
0.01416	2.1386	0.01416	1.30055	0.01416	0.846751
0.014648	2.13858	0.014648	1.30022	0.014648	0.846786
0.015137	2.13857	0.015137	1.30276	0.015137	0.846669
0.015625	2.13857	0.015625	1.30197	0.015625	0.847228
0.016113	2.13858	0.016113	1.29904	0.016113	0.847118
0.016602	2.13859	0.016602	1.29838	0.016602	0.846888
0.01709	2.13857	0.01709	1.30293	0.01709	0.847113
0.017578	2.13861	0.017578	1.30043	0.017578	0.846356
0.018066	2.13854	0.018066	1.30198	0.018066	0.846629
0.018555	2.13859	0.018555	1.29855	0.018555	0.847486
0.019043	2.13859	0.019043	1.29768	0.019043	0.84655
0.019531	2.13855	0.019531	1.29895	0.019531	0.846977
0.02002	2.13853	0.02002	1.30103	0.02002	0.84592
0.020508	2.13855	0.020508	1.30195	0.020508	0.847109
0.020996	2.13853	0.020996	1.30372	0.020996	0.847426
0.021484	2.13857	0.021484	1.2996	0.021484	0.846853
0.021973	2.13856	0.021973	1.30072	0.021973	0.84657
0.022461	2.13854	0.022461	1.302	0.022461	0.846992
0.022949	2.13856	0.022949	1.30067	0.022949	0.847032
0.023437	2.13859	0.023437	1.2975	0.023437	0.847128
0.023926	2.13856	0.023926	1.30108	0.023926	0.846674
0.024414	2.13861	0.024414	1.30097	0.024414	0.846615
0.024902	2.13862	0.024902	1.30061	0.024902	0.847424
0.025391	2.1386	0.025391	1.30241	0.025391	0.846962
0.025879	2.13862	0.025879	1.30104	0.025879	0.847066
0.026367	2.13856	0.026367	1.30008	0.026367	0.845666
0.026855	2.13864	0.026855	1.3022	0.026855	0.847471
0.027344	2.13857	0.027344	1.3019	0.027344	0.846617
0.027832	2.13857	0.027832	1.30268	0.027832	0.846634
0.02832	2.1386	0.02832	1.30206	0.02832	0.846428
0.028809	2.13853	0.028809	1.30085	0.028809	0.847228
0.029297	2.1386	0.029297	1.29992	0.029297	0.847404
0.029785	2.13856	0.029785	1.29762	0.029785	0.847255
0.030273	2.13856	0.030273	1.30181	0.030273	0.846463
0.030762	2.13854	0.030762	1.3006	0.030762	0.847056
0.03125	2.13855	0.03125	1.29774	0.03125	0.847059
0.031738	2.1386	0.031738	1.30012	0.031738	0.846776
0.032227	2.13861	0.032227	1.30181	0.032227	0.847357
0.032715	2.13859	0.032715	1.30406	0.032715	0.845997
0.033203	2.13854	0.033203	1.30169	0.033203	0.846121
0.033691	2.13856	0.033691	1.30211	0.033691	0.847664
0.03418	2.1386	0.03418	1.30075	0.03418	0.846905
0.034668	2.13853	0.034668	1.29912	0.034668	0.846706
0.035156	2.13859	0.035156	1.29841	0.035156	0.846692
0.035645	2.13856	0.035645	1.30085	0.035645	0.847024
0.036133	2.1385	0.036133	1.30175	0.036133	0.847404
0.036621	2.13857	0.036621	1.29989	0.036621	0.846997
0.037109	2.13856	0.037109	1.30399	0.037109	0.847265
0.037598	2.13854	0.037598	1.30315	0.037598	0.847096
0.038086	2.13854	0.038086	1.30257	0.038086	0.847362
0.038574	2.13858	0.038574	1.30379	0.038574	0.847416
0.039062	2.13856	0.039062	1.30098	0.039062	0.845882
0.039551	2.13853	0.039551	1.30108	0.039551	0.847466
0.040039	2.13857	0.040039	1.30081	0.040039	0.847034
0.040527	2.13855	0.040527	1.29992	0.040527	0.847079
0.041016	2.13858	0.041016	1.29612	0.041016	0.847017
0.041504	2.13853	0.041504	1.30032	0.041504	0.847046
0.041992	2.13857	0.041992	1.30135	0.041992	0.847389
0.04248	2.1386	0.04248	1.30034	0.04248	0.847195
0.042969	2.13858	0.042969	1.30252	0.042969	0.846558
0.043457	2.13853	0.043457	1.30235	0.043457	0.846999
0.043945	2.13855	0.043945	1.29814	0.043945	0.847813
0.044434	2.13863	0.044434	1.2989	0.044434	0.847359
0.044922	2.13854	0.044922	1.30251	0.044922	0.847473
0.04541	2.1386	0.04541	1.30075	0.04541	0.847483
0.045898	2.13857	0.045898	1.30126	0.045898	0.847183
0.046387	2.13859	0.046387	1.29915	0.046387	0.847803
0.046875	2.1386	0.046875	1.29741	0.046875	0.847637
0.047363	2.13853	0.047363	1.29822	0.047363	0.847128
0.047852	2.13858	0.047852	1.30353	0.047852	0.847712
0.04834	2.13853	0.04834	1.30141	0.04834	0.84723
0.048828	2.13853	0.048828	1.30071	0.048828	0.847223
0.049316	2.13856	0.049316	1.29952	0.049316	0.847821
0.049805	2.13857	0.049805	1.3005	0.049805	0.847632
0.050293	2.13858	0.050293	1.30112	0.050293	0.848327
0.050781	2.13863	0.050781	1.30091	0.050781	0.847915
0.05127	2.1386	0.05127	1.30129	0.05127	0.847431
0.051758	2.13857	0.051758	1.29936	0.051758	0.848526
0.052246	2.13853	0.052246	1.29799	0.052246	0.847928
0.052734	2.13859	0.052734	1.29843	0.052734	0.848111
0.053223	2.13864	0.053223	1.30214	0.053223	0.847761
0.053711	2.13857	0.053711	1.30253	0.053711	0.847496
0.054199	2.13859	0.054199	1.2994	0.054199	0.848148
0.054687	2.13856	0.054687	1.29975	0.054687	0.847838
0.055176	2.13863	0.055176	1.30414	0.055176	0.848454
0.055664	2.13858	0.055664	1.30339	0.055664	0.847995
0.056152	2.1386	0.056152	1.30245	0.056152	0.848846
0.056641	2.13861	0.056641	1.2998	0.056641	0.848151
0.057129	2.13862	0.057129	1.29677	0.057129	0.847565
0.057617	2.13857	0.057617	1.29369	0.057617	0.848434
0.058105	2.13861	0.058105	1.29741	0.058105	0.848374
0.058594	2.13856	0.058594	1.30178	0.058594	0.848873
0.059082	2.13861	0.059082	1.29847	0.059082	0.848255
0.05957	2.1386	0.05957	1.30106	0.05957	0.848831
0.060059	2.13861	0.060059	1.30317	0.060059	0.847766
0.060547	2.13854	0.060547	1.30421	0.060547	0.848498
0.061035	2.13857	0.061035	1.30242	0.061035	0.849213
0.061523	2.13857	0.061523	1.29857	0.061523	0.848481
0.062012	2.13859	0.062012	1.30076	0.062012	0.848486
0.0625	2.13864	0.0625	1.29873	0.0625	0.84835
0.062988	2.13862	0.062988	1.30012	0.062988	0.848858
0.063477	2.1386	0.063477	1.30256	0.063477	0.848714
0.063965	2.13859	0.063965	1.30175	0.063965	0.848898
0.064453	2.13864	0.064453	1.30149	0.064453	0.849062
0.064941	2.13856	0.064941	1.30213	0.064941	0.847903
0.06543	2.13862	0.06543	1.30203	0.06543	0.848553
0.065918	2.13857	0.065918	1.30231	0.065918	0.848665
0.066406	2.13865	0.066406	1.30206	0.066406	0.849608
0.066895	2.13863	0.066895	1.30053	0.066895	0.848503
0.067383	2.13863	0.067383	1.30222	0.067383	0.848821
0.067871	2.1386	0.067871	1.30254	0.067871	0.848148
0.068359	2.1386	0.068359	1.30225	0.068359	0.849501
0.068848	2.13862	0.068848	1.30392	0.068848	0.849414
0.069336	2.13862	0.069336	1.30422	0.069336	0.849464
0.069824	2.13858	0.069824	1.30022	0.069824	0.849362
0.070312	2.13865	0.070312	1.30336	0.070312	0.848538
0.070801	2.13857	0.070801	1.30522	0.070801	0.849044
0.071289	2.13862	0.071289	1.30429	0.071289	0.848325
0.071777	2.13859	0.071777	1.30144	0.071777	0.849005
0.072266	2.1386	0.072266	1.29872	0.072266	0.848498
0.072754	2.1386	0.072754	1.30314	0.072754	0.849581
0.073242	2.13862	0.073242	1.30015	0.073242	0.848352
0.07373	2.13861	0.07373	1.29732	0.07373	0.848953
0.074219	2.13861	0.074219	1.29693	0.074219	0.84937
0.074707	2.13862	0.074707	1.29926	0.074707	0.848851
0.075195	2.13858	0.075195	1.30335	0.075195	0.848173
0.075684	2.13859	0.075684	1.30073	0.075684	0.848786
0.076172	2.13862	0.076172	1.29819	0.076172	0.850149
0.07666	2.13862	0.07666	1.2991	0.07666	0.849526
0.077148	2.13861	0.077148	1.30011	0.077148	0.848543
0.077637	2.13864	0.077637	1.30166	0.077637	0.849174
0.078125	2.1386	0.078125	1.30189	0.078125	0.849047
0.078613	2.13862	0.078613	1.30152	0.078613	0.848791
0.079102	2.13859	0.079102	1.29969	0.079102	0.84897
0.07959	2.13862	0.07959	1.29921	0.07959	0.850062
0.080078	2.13864	0.080078	1.29854	0.080078	0.849792
0.080566	2.13859	0.080566	1.29922	0.080566	0.848533
0.081055	2.13864	0.081055	1.29894	0.081055	0.849524
0.081543	2.13861	0.081543	1.29941	0.081543	0.849236
0.082031	2.13864	0.082031	1.29811	0.082031	0.84931
0.08252	2.1386	0.08252	1.29759	0.08252	0.849216
0.083008	2.13861	0.083008	1.2995	0.083008	0.849494
