Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.37102	0	1.8047	0	0.127881
0.000488	2.37163	0.000488	1.80453	0.000488	0.127693
0.000977	2.37165	0.000977	1.80482	0.000977	0.127105
0.001465	2.37172	0.001465	1.80466	0.001465	0.12803
0.001953	2.37157	0.001953	1.80473	0.001953	0.127055
0.002441	2.37154	0.002441	1.80457	0.002441	0.127447
0.00293	2.37194	0.00293	1.80418	0.00293	0.127358
0.003418	2.37159	0.003418	1.8047	0.003418	0.127809
0.003906	2.37166	0.003906	1.80488	0.003906	0.127219
0.004395	2.37167	0.004395	1.80518	0.004395	0.127415
0.004883	2.37151	0.004883	1.80419	0.004883	0.127993
0.005371	2.37169	0.005371	1.80503	0.005371	0.127293
0.005859	2.37167	0.005859	1.80461	0.005859	0.128187
0.006348	2.37127	0.006348	1.80495	0.006348	0.127435
0.006836	2.37112	0.006836	1.80505	0.006836	0.127683
0.007324	2.37128	0.007324	1.80462	0.007324	0.127832
0.007812	2.37116	0.007812	1.80492	0.007812	0.127658
0.008301	2.37107	0.008301	1.80523	0.008301	0.127038
0.008789	2.37133	0.008789	1.80457	0.008789	0.127402
0.009277	2.37097	0.009277	1.80478	0.009277	0.127688
0.009766	2.37072	0.009766	1.80509	0.009766	0.127303
0.010254	2.37114	0.010254	1.80535	0.010254	0.127095
0.010742	2.37094	0.010742	1.80545	0.010742	0.127715
0.01123	2.37086	0.01123	1.8056	0.01123	0.126891
0.011719	2.37081	0.011719	1.80504	0.011719	0.126995
0.012207	2.37099	0.012207	1.80519	0.012207	0.127732
0.012695	2.37057	0.012695	1.80522	0.012695	0.127127
0.013184	2.37088	0.013184	1.80518	0.013184	0.127539
0.013672	2.37084	0.013672	1.80557	0.013672	0.127817
0.01416	2.37104	0.01416	1.80534	0.01416	0.128005
0.014648	2.37092	0.014648	1.80554	0.014648	0.127187
0.015137	2.37133	0.015137	1.80566	0.015137	0.127958
0.015625	2.37125	0.015625	1.80523	0.015625	0.126946
0.016113	2.3712	0.016113	1.80435	0.016113	0.127668
0.016602	2.37109	0.016602	1.80444	0.016602	0.127889
0.01709	2.3715	0.01709	1.80368	0.01709	0.127854
0.017578	2.37147	0.017578	1.80456	0.017578	0.128137
0.018066	2.37163	0.018066	1.80503	0.018066	0.127879
0.018555	2.37139	0.018555	1.80429	0.018555	0.127921
0.019043	2.37118	0.019043	1.80523	0.019043	0.127656
0.019531	2.37147	0.019531	1.80461	0.019531	0.127517
0.02002	2.37174	0.02002	1.80463	0.02002	0.128477
0.020508	2.37134	0.020508	1.80556	0.020508	0.127536
0.020996	2.37163	0.020996	1.80424	0.020996	0.127862
0.021484	2.37167	0.021484	1.80448	0.021484	0.127633
0.021973	2.37139	0.021973	1.80465	0.021973	0.128427
0.022461	2.37144	0.022461	1.80432	0.022461	0.127631
0.022949	2.37139	0.022949	1.80457	0.022949	0.127616
0.023437	2.37126	0.023437	1.80422	0.023437	0.127616
0.023926	2.3712	0.023926	1.80486	0.023926	0.128144
0.024414	2.37134	0.024414	1.80484	0.024414	0.128055
0.024902	2.37119	0.024902	1.8047	0.024902	0.127281
0.025391	2.37115	0.025391	1.80503	0.025391	0.127742
0.025879	2.37103	0.025879	1.80537	0.025879	0.127723
0.026367	2.37096	0.026367	1.80529	0.026367	0.126906
0.026855	2.37104	0.026855	1.80548	0.026855	0.127822
0.027344	2.37109	0.027344	1.80488	0.027344	0.126593
0.027832	2.37086	0.027832	1.80484	0.027832	0.128043
0.02832	2.37085	0.02832	1.80521	0.02832	0.126608
0.028809	2.37093	0.028809	1.80489	0.028809	0.127127
0.029297	2.37087	0.029297	1.80595	0.029297	0.127559
0.029785	2.37096	0.029785	1.80562	0.029785	0.127085
0.030273	2.37099	0.030273	1.80523	0.030273	0.127576
0.030762	2.3708	0.030762	1.80499	0.030762	0.127732
0.03125	2.37118	0.03125	1.80513	0.03125	0.128177
0.031738	2.37148	0.031738	1.80483	0.031738	0.127608
0.032227	2.37112	0.032227	1.8052	0.032227	0.128189
0.032715	2.37126	0.032715	1.80493	0.032715	0.127638
0.033203	2.37112	0.033203	1.80543	0.033203	0.127189
0.033691	2.37106	0.033691	1.80518	0.033691	0.127713
0.03418	2.37119	0.03418	1.80545	0.03418	0.127254
0.034668	2.37152	0.034668	1.80507	0.034668	0.127658
0.035156	2.37147	0.035156	1.80427	0.035156	0.127388
0.035645	2.3714	0.035645	1.80433	0.035645	0.127785
0.036133	2.3717	0.036133	1.80461	0.036133	0.128184
