Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	1.6809	0	1.79792	0	3.23518
0.000488	1.68093	0.000488	1.7975	0.000488	3.23571
0.000977	1.68108	0.000977	1.7978	0.000977	3.23577
0.001465	1.68091	0.001465	1.79757	0.001465	3.23568
0.001953	1.68094	0.001953	1.79826	0.001953	3.23565
0.002441	1.68082	0.002441	1.79772	0.002441	3.23517
0.00293	1.68091	0.00293	1.79742	0.00293	3.23584
0.003418	1.68142	0.003418	1.79774	0.003418	3.23602
0.003906	1.68118	0.003906	1.79886	0.003906	3.23582
0.004395	1.68092	0.004395	1.79907	0.004395	3.23564
0.004883	1.68107	0.004883	1.79909	0.004883	3.23575
0.005371	1.68111	0.005371	1.79919	0.005371	3.23502
0.005859	1.68088	0.005859	1.79963	0.005859	3.23583
0.006348	1.6809	0.006348	1.79871	0.006348	3.23536
0.006836	1.68097	0.006836	1.799	0.006836	3.23494
0.007324	1.68114	0.007324	1.79887	0.007324	3.23525
0.007812	1.68119	0.007812	1.79835	0.007812	3.23469
0.008301	1.68122	0.008301	1.79854	0.008301	3.23555
0.008789	1.68097	0.008789	1.79807	0.008789	3.2349
0.009277	1.68108	0.009277	1.79903	0.009277	3.23581
0.009766	1.68095	0.009766	1.79904	0.009766	3.23526
0.010254	1.681	0.010254	1.79896	0.010254	3.23509
0.010742	1.68094	0.010742	1.7986	0.010742	3.23461
0.01123	1.681	0.01123	1.7984	0.01123	3.23508
0.011719	1.68078	0.011719	1.79892	0.011719	3.23533
0.012207	1.68118	0.012207	1.7987	0.012207	3.23602
0.012695	1.68041	0.012695	1.79882	0.012695	3.23546
0.013184	1.68034	0.013184	1.79844	0.013184	3.23543
0.013672	1.68101	0.013672	1.79801	0.013672	3.23522
0.01416	1.68071	0.01416	1.7985	0.01416	3.2352
0.014648	1.68089	0.014648	1.79845	0.014648	3.23499
0.015137	1.68045	0.015137	1.79977	0.015137	3.23566
0.015625	1.68085	0.015625	1.79875	0.015625	3.23525
0.016113	1.68064	0.016113	1.79873	0.016113	3.23557
0.016602	1.68066	0.016602	1.79877	0.016602	3.2359
0.01709	1.68056	0.01709	1.79907	0.01709	3.23484
0.017578	1.68083	0.017578	1.79872	0.017578	3.23618
0.018066	1.68073	0.018066	1.79891	0.018066	3.23612
0.018555	1.68081	0.018555	1.79893	0.018555	3.23504
0.019043	1.68084	0.019043	1.79905	0.019043	3.23484
0.019531	1.68089	0.019531	1.79885	0.019531	3.23531
0.02002	1.68097	0.02002	1.79882	0.02002	3.2357
0.020508	1.68081	0.020508	1.79911	0.020508	3.23555
0.020996	1.68106	0.020996	1.79884	0.020996	3.23559
0.021484	1.68114	0.021484	1.79832	0.021484	3.2351
0.021973	1.68125	0.021973	1.79758	0.021973	3.23521
0.022461	1.68112	0.022461	1.79805	0.022461	3.23534
0.022949	1.68102	0.022949	1.79847	0.022949	3.23533
0.023437	1.6811	0.023437	1.79802	0.023437	3.23496
0.023926	1.6811	0.023926	1.79728	0.023926	3.23588
0.024414	1.68108	0.024414	1.79713	0.024414	3.23562
