Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0	1.12088	0	2.28493	0	0.276589
0.000488	1.12148	0.000488	2.28495	0.000488	0.275488
0.000977	1.12445	0.000977	2.28493	0.000977	0.275391
0.001465	1.1229	0.001465	2.28497	0.001465	0.277108
0.001953	1.12382	0.001953	2.28495	0.001953	0.274622
0.002441	1.12494	0.002441	2.28485	0.002441	0.274354
0.00293	1.12356	0.00293	2.28491	0.00293	0.275738
0.003418	1.12392	0.003418	2.28499	0.003418	0.2766
0.003906	1.12265	0.003906	2.28488	0.003906	0.275735
0.004395	1.12039	0.004395	2.28491	0.004395	0.275935
0.004883	1.1192	0.004883	2.285	0.004883	0.274669
0.005371	1.12166	0.005371	2.28495	0.005371	0.274919
0.005859	1.12265	0.005859	2.28493	0.005859	0.276035
0.006348	1.12115	0.006348	2.28496	0.006348	0.275423
0.006836	1.12178	0.006836	2.28491	0.006836	0.276278
0.007324	1.12367	0.007324	2.28491	0.007324	0.275942
0.007812	1.12409	0.007812	2.28493	0.007812	0.274723
0.008301	1.12412	0.008301	2.28491	0.008301	0.274876
0.008789	1.12117	0.008789	2.28493	0.008789	0.275824
0.009277	1.11922	0.009277	2.28493	0.009277	0.274898
0.009766	1.12448	0.009766	2.28484	0.009766	0.276446
0.010254	1.12326	0.010254	2.28486	0.010254	0.276335
0.010742	1.11993	0.010742	2.28485	0.010742	0.275123
0.01123	1.12188	0.01123	2.28485	0.01123	0.2763
0.011719	1.12263	0.011719	2.2849	0.011719	0.27562
0.012207	1.12049	0.012207	2.28493	0.012207	0.275134
0.012695	1.11951	0.012695	2.28493	0.012695	0.274619
0.013184	1.12461	0.013184	2.28493	0.013184	0.275463
0.013672	1.12201	0.013672	2.28491	0.013672	0.27444
0.01416	1.11987	0.01416	2.28492	0.01416	0.27577
0.014648	1.12004	0.014648	2.28492	0.014648	0.275845
0.015137	1.11867	0.015137	2.28491	0.015137	0.275141
0.015625	1.12321	0.015625	2.28491	0.015625	0.275727
0.016113	1.12153	0.016113	2.28491	0.016113	0.275381
0.016602	1.12202	0.016602	2.28489	0.016602	0.276199
0.01709	1.12215	0.01709	2.28484	0.01709	0.275802
0.017578	1.12308	0.017578	2.28488	0.017578	0.275527
0.018066	1.12094	0.018066	2.28483	0.018066	0.275574
0.018555	1.12073	0.018555	2.28496	0.018555	0.275305
0.019043	1.12372	0.019043	2.28491	0.019043	0.27591
0.019531	1.12327	0.019531	2.28492	0.019531	0.276561
0.02002	1.12107	0.02002	2.28493	0.02002	0.275806
0.020508	1.12183	0.020508	2.28493	0.020508	0.274851
0.020996	1.1208	0.020996	2.28492	0.020996	0.275248
0.021484	1.12336	0.021484	2.28494	0.021484	0.275452
0.021973	1.12281	0.021973	2.28491	0.021973	0.276217
0.022461	1.12283	0.022461	2.28484	0.022461	0.277158
0.022949	1.12289	0.022949	2.28493	0.022949	0.275041
0.023437	1.12273	0.023437	2.28491	0.023437	0.275445
0.023926	1.1231	0.023926	2.28494	0.023926	0.27601
0.024414	1.12215	0.024414	2.28488	0.024414	0.275538
0.024902	1.11956	0.024902	2.28492	0.024902	0.276486
0.025391	1.11973	0.025391	2.28495	0.025391	0.275552
0.025879	1.12181	0.025879	2.2849	0.025879	0.275788
0.026367	1.12254	0.026367	2.28489	0.026367	0.274694
0.026855	1.11982	0.026855	2.28496	0.026855	0.276325
0.027344	1.1197	0.027344	2.28487	0.027344	0.276564
0.027832	1.12191	0.027832	2.28499	0.027832	0.275048
0.02832	1.11928	0.02832	2.28495	0.02832	0.275695
0.028809	1.1209	0.028809	2.28498	0.028809	0.276589
0.029297	1.12377	0.029297	2.28492	0.029297	0.275656
0.029785	1.12271	0.029785	2.28494	0.029785	0.276489
0.030273	1.12069	0.030273	2.28499	0.030273	0.275785
0.030762	1.12087	0.030762	2.28494	0.030762	0.275888
0.03125	1.12227	0.03125	2.28487	0.03125	0.275499
0.031738	1.12385	0.031738	2.28495	0.031738	0.276668
0.032227	1.1221	0.032227	2.28496	0.032227	0.276128
0.032715	1.1238	0.032715	2.28489	0.032715	0.276822
0.033203	1.12197	0.033203	2.28492	0.033203	0.276686
0.033691	1.11932	0.033691	2.28495	0.033691	0.275348
0.03418	1.12088	0.03418	2.28498	0.03418	0.276003
0.034668	1.12084	0.034668	2.28489	0.034668	0.276264
0.035156	1.12231	0.035156	2.28495	0.035156	0.275559
0.035645	1.12291	0.035645	2.28493	0.035645	0.276807
0.036133	1.12511	0.036133	2.28488	0.036133	0.276661
0.036621	1.12369	0.036621	2.28497	0.036621	0.276368
0.037109	1.12296	0.037109	2.2849	0.037109	0.276131
0.037598	1.12286	0.037598	2.28491	0.037598	0.276246
0.038086	1.12083	0.038086	2.28489	0.038086	0.275835
0.038574	1.12291	0.038574	2.28493	0.038574	0.276131
0.039062	1.1225	0.039062	2.2849	0.039062	0.275195
0.039551	1.11942	0.039551	2.28498	0.039551	0.275334
0.040039	1.12242	0.040039	2.28492	0.040039	0.276943
0.040527	1.12197	0.040527	2.28495	0.040527	0.276282
0.041016	1.12186	0.041016	2.28495	0.041016	0.275077
0.041504	1.11832	0.041504	2.28492	0.041504	0.275406
0.041992	1.11713	0.041992	2.28493	0.041992	0.276904
0.04248	1.12273	0.04248	2.28491	0.04248	0.277397
0.042969	1.12461	0.042969	2.28489	0.042969	0.275853
0.043457	1.12033	0.043457	2.28492	0.043457	0.275885
0.043945	1.12124	0.043945	2.28493	0.043945	0.276321
0.044434	1.12314	0.044434	2.28496	0.044434	0.27586
0.044922	1.12011	0.044922	2.28489	0.044922	0.276621
0.04541	1.12145	0.04541	2.28494	0.04541	0.275377
0.045898	1.12453	0.045898	2.28488	0.045898	0.275459
0.046387	1.12634	0.046387	2.28493	0.046387	0.275195
0.046875	1.12255	0.046875	2.28492	0.046875	0.275824
0.047363	1.12116	0.047363	2.28495	0.047363	0.274955
0.047852	1.12362	0.047852	2.28494	0.047852	0.274758
0.04834	1.11982	0.04834	2.28492	0.04834	0.275423
0.048828	1.12184	0.048828	2.28492	0.048828	0.27533
0.049316	1.12286	0.049316	2.28491	0.049316	0.274297
0.049805	1.12316	0.049805	2.28496	0.049805	0.275245
0.050293	1.1232	0.050293	2.28495	0.050293	0.274783
0.050781	1.12277	0.050781	2.28491	0.050781	0.275624
0.05127	1.12266	0.05127	2.28496	0.05127	0.275699
0.051758	1.12164	0.051758	2.28491	0.051758	0.275001
0.052246	1.12381	0.052246	2.28497	0.052246	0.274644
0.052734	1.12105	0.052734	2.28494	0.052734	0.275434
0.053223	1.12215	0.053223	2.28491	0.053223	0.275438
0.053711	1.12089	0.053711	2.2849	0.053711	0.275466
0.054199	1.12103	0.054199	2.28492	0.054199	0.274318
0.054687	1.12174	0.054687	2.28491	0.054687	0.275502
0.055176	1.12336	0.055176	2.28492	0.055176	0.275802
0.055664	1.1239	0.055664	2.28491	0.055664	0.275023
0.056152	1.1224	0.056152	2.28484	0.056152	0.275359
0.056641	1.12222	0.056641	2.28494	0.056641	0.275277
0.057129	1.1181	0.057129	2.28488	0.057129	0.275806
0.057617	1.12271	0.057617	2.28495	0.057617	0.275077
0.058105	1.1209	0.058105	2.28492	0.058105	0.274612
0.058594	1.12252	0.058594	2.28499	0.058594	0.275241
0.059082	1.12398	0.059082	2.28489	0.059082	0.275445
0.05957	1.12298	0.05957	2.2849	0.05957	0.274479
0.060059	1.12373	0.060059	2.28494	0.060059	0.276117
0.060547	1.11984	0.060547	2.28497	0.060547	0.275009
0.061035	1.12282	0.061035	2.28492	0.061035	0.276185
0.061523	1.12119	0.061523	2.2849	0.061523	0.275745
0.062012	1.1205	0.062012	2.28492	0.062012	0.273986
0.0625	1.12187	0.0625	2.28495	0.0625	0.274783
0.062988	1.11943	0.062988	2.28497	0.062988	0.275073
0.063477	1.12135	0.063477	2.28491	0.063477	0.275477
0.063965	1.12125	0.063965	2.28493	0.063965	0.275559
0.064453	1.12261	0.064453	2.28488	0.064453	0.275245
0.064941	1.12179	0.064941	2.28492	0.064941	0.27513
0.06543	1.12226	0.06543	2.28496	0.06543	0.275098
