Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0	1.12142	0	1.81831	0	5.34876
0.000488	1.12319	0.000488	1.81834	0.000488	5.34916
0.000977	1.1175	0.000977	1.81825	0.000977	5.34941
0.001465	1.1168	0.001465	1.81838	0.001465	5.34917
0.001953	1.11919	0.001953	1.81842	0.001953	5.34947
0.002441	1.123	0.002441	1.8184	0.002441	5.35006
0.00293	1.12324	0.00293	1.81837	0.00293	5.34933
0.003418	1.12288	0.003418	1.81843	0.003418	5.34907
0.003906	1.12433	0.003906	1.8185	0.003906	5.34897
0.004395	1.12266	0.004395	1.81858	0.004395	5.34916
0.004883	1.11798	0.004883	1.81856	0.004883	5.34891
0.005371	1.11919	0.005371	1.81859	0.005371	5.34839
0.005859	1.11955	0.005859	1.81853	0.005859	5.34834
0.006348	1.11975	0.006348	1.8186	0.006348	5.3485
0.006836	1.12169	0.006836	1.81858	0.006836	5.34905
0.007324	1.11828	0.007324	1.81859	0.007324	5.34868
0.007812	1.12073	0.007812	1.81862	0.007812	5.34814
0.008301	1.12237	0.008301	1.81868	0.008301	5.34815
0.008789	1.12439	0.008789	1.81864	0.008789	5.34734
0.009277	1.12081	0.009277	1.81863	0.009277	5.34793
0.009766	1.12187	0.009766	1.8186	0.009766	5.3495
0.010254	1.12221	0.010254	1.81866	0.010254	5.34805
0.010742	1.12136	0.010742	1.81866	0.010742	5.34758
0.01123	1.12116	0.01123	1.81866	0.01123	5.34813
0.011719	1.12017	0.011719	1.81866	0.011719	5.34794
0.012207	1.12139	0.012207	1.81856	0.012207	5.34795
0.012695	1.11968	0.012695	1.81857	0.012695	5.34791
0.013184	1.12294	0.013184	1.8185	0.013184	5.34794
0.013672	1.12418	0.013672	1.81854	0.013672	5.34774
0.01416	1.12602	0.01416	1.81847	0.01416	5.34688
0.014648	1.12517	0.014648	1.8184	0.014648	5.34773
0.015137	1.12011	0.015137	1.81832	0.015137	5.34746
0.015625	1.1218	0.015625	1.81831	0.015625	5.34783
0.016113	1.12366	0.016113	1.81814	0.016113	5.34725
0.016602	1.12637	0.016602	1.81807	0.016602	5.34698
0.01709	1.1239	0.01709	1.81806	0.01709	5.34765
0.017578	1.12103	0.017578	1.81789	0.017578	5.34728
0.018066	1.12177	0.018066	1.8178	0.018066	5.34717
0.018555	1.12084	0.018555	1.81765	0.018555	5.34648
0.019043	1.12351	0.019043	1.81768	0.019043	5.34602
0.019531	1.11965	0.019531	1.81764	0.019531	5.34664
0.02002	1.12215	0.02002	1.81761	0.02002	5.34745
0.020508	1.12363	0.020508	1.8177	0.020508	5.34726
0.020996	1.12006	0.020996	1.81772	0.020996	5.34579
0.021484	1.12187	0.021484	1.81764	0.021484	5.34695
0.021973	1.12303	0.021973	1.81767	0.021973	5.34657
0.022461	1.12259	0.022461	1.8176	0.022461	5.34657
0.022949	1.12344	0.022949	1.81758	0.022949	5.34603
0.023437	1.12371	0.023437	1.8176	0.023437	5.34606
0.023926	1.1253	0.023926	1.81764	0.023926	5.34639
0.024414	1.12219	0.024414	1.81772	0.024414	5.34533
0.024902	1.12074	0.024902	1.81772	0.024902	5.34562
0.025391	1.12233	0.025391	1.81779	0.025391	5.34607
0.025879	1.12043	0.025879	1.8178	0.025879	5.3464
0.026367	1.12013	0.026367	1.81782	0.026367	5.34537
0.026855	1.1179	0.026855	1.81789	0.026855	5.34533
0.027344	1.12122	0.027344	1.81791	0.027344	5.34515
