Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0	1.12049	0	2.29286	0	0
0.000488	1.12062	0.000488	2.29295	0.000488	0
0.000977	1.12268	0.000977	2.29294	0.000977	0
0.001465	1.12143	0.001465	2.29292	0.001465	0
0.001953	1.12205	0.001953	2.29289	0.001953	0
0.002441	1.11851	0.002441	2.29298	0.002441	0
0.00293	1.11879	0.00293	2.29291	0.00293	0
0.003418	1.11833	0.003418	2.29296	0.003418	0
0.003906	1.11906	0.003906	2.29293	0.003906	0
0.004395	1.12162	0.004395	2.29286	0.004395	0
0.004883	1.12229	0.004883	2.29302	0.004883	0
0.005371	1.12184	0.005371	2.29292	0.005371	0
0.005859	1.12136	0.005859	2.29292	0.005859	0
0.006348	1.12231	0.006348	2.29294	0.006348	0
0.006836	1.12418	0.006836	2.2929	0.006836	0
0.007324	1.12538	0.007324	2.29294	0.007324	0
0.007812	1.12285	0.007812	2.29291	0.007812	0
0.008301	1.11867	0.008301	2.29292	0.008301	0
0.008789	1.12026	0.008789	2.29294	0.008789	0
0.009277	1.12115	0.009277	2.29291	0.009277	0
0.009766	1.11854	0.009766	2.29294	0.009766	0
0.010254	1.12172	0.010254	2.29288	0.010254	0
0.010742	1.12285	0.010742	2.29291	0.010742	0
0.01123	1.12091	0.01123	2.29294	0.01123	0
0.011719	1.11989	0.011719	2.2929	0.011719	0
0.012207	1.12255	0.012207	2.29287	0.012207	0
0.012695	1.12277	0.012695	2.29288	0.012695	0
0.013184	1.12112	0.013184	2.29296	0.013184	0
0.013672	1.11844	0.013672	2.2929	0.013672	0
0.01416	1.11787	0.01416	2.29297	0.01416	0
0.014648	1.1205	0.014648	2.29293	0.014648	0
0.015137	1.124	0.015137	2.29294	0.015137	0
0.015625	1.1199	0.015625	2.29291	0.015625	0
0.016113	1.11967	0.016113	2.29295	0.016113	0
0.016602	1.12362	0.016602	2.29291	0.016602	0
0.01709	1.12027	0.01709	2.29293	0.01709	0
0.017578	1.12014	0.017578	2.29291	0.017578	0
0.018066	1.12146	0.018066	2.2929	0.018066	0
0.018555	1.12513	0.018555	2.29291	0.018555	0
0.019043	1.12331	0.019043	2.29284	0.019043	0
