Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.16416	0	1.29667	0	0
0.000488	2.16413	0.000488	1.29858	0.000488	0
0.000977	2.16416	0.000977	1.30022	0.000977	0
0.001465	2.16413	0.001465	1.3002	0.001465	0
0.001953	2.1642	0.001953	1.29745	0.001953	0
0.002441	2.16416	0.002441	1.29566	0.002441	0
0.00293	2.16415	0.00293	1.29779	0.00293	0
0.003418	2.16421	0.003418	1.29464	0.003418	0
0.003906	2.16417	0.003906	1.29909	0.003906	0
0.004395	2.16419	0.004395	1.30146	0.004395	0
0.004883	2.16414	0.004883	1.30245	0.004883	0
0.005371	2.16419	0.005371	1.29941	0.005371	0
0.005859	2.16415	0.005859	1.29243	0.005859	0
0.006348	2.16417	0.006348	1.29555	0.006348	0
0.006836	2.16423	0.006836	1.299	0.006836	0
0.007324	2.1642	0.007324	1.29937	0.007324	0
0.007812	2.16418	0.007812	1.29811	0.007812	0
0.008301	2.16419	0.008301	1.29902	0.008301	0
0.008789	2.16413	0.008789	1.30209	0.008789	0
0.009277	2.16413	0.009277	1.30395	0.009277	0
0.009766	2.16414	0.009766	1.29828	0.009766	0
0.010254	2.16419	0.010254	1.29648	0.010254	0
0.010742	2.16414	0.010742	1.29707	0.010742	0
0.01123	2.1642	0.01123	1.29692	0.01123	0
0.011719	2.16419	0.011719	1.29692	0.011719	0
0.012207	2.16414	0.012207	1.29613	0.012207	0
0.012695	2.16417	0.012695	1.29565	0.012695	0
0.013184	2.16413	0.013184	1.29766	0.013184	0
0.013672	2.16416	0.013672	1.30026	0.013672	0
0.01416	2.16412	0.01416	1.29688	0.01416	0
0.014648	2.16419	0.014648	1.29857	0.014648	0
0.015137	2.16414	0.015137	1.29923	0.015137	0
0.015625	2.16415	0.015625	1.29802	0.015625	0
0.016113	2.1642	0.016113	1.29771	0.016113	0
0.016602	2.16413	0.016602	1.29655	0.016602	0
0.01709	2.16417	0.01709	1.29807	0.01709	0
0.017578	2.16413	0.017578	1.29982	0.017578	0
0.018066	2.16418	0.018066	1.29903	0.018066	0
0.018555	2.16416	0.018555	1.29587	0.018555	0
0.019043	2.16418	0.019043	1.29871	0.019043	0
0.019531	2.16417	0.019531	1.30235	0.019531	0
0.02002	2.16419	0.02002	1.29436	0.02002	0
0.020508	2.16416	0.020508	1.29695	0.020508	0
0.020996	2.16414	0.020996	1.30297	0.020996	0
0.021484	2.16423	0.021484	1.30038	0.021484	0
0.021973	2.16425	0.021973	1.29941	0.021973	0
0.022461	2.16416	0.022461	1.30201	0.022461	0
0.022949	2.16416	0.022949	1.29947	0.022949	0
0.023437	2.16419	0.023437	1.29856	0.023437	0
0.023926	2.16417	0.023926	1.29768	0.023926	0
0.024414	2.16417	0.024414	1.29687	0.024414	0
0.024902	2.16417	0.024902	1.29413	0.024902	0
0.025391	2.16416	0.025391	1.29488	0.025391	0
0.025879	2.16414	0.025879	1.29975	0.025879	0
0.026367	2.1642	0.026367	1.29896	0.026367	0
0.026855	2.16416	0.026855	1.29784	0.026855	0
0.027344	2.16416	0.027344	1.29866	0.027344	0
0.027832	2.16413	0.027832	1.29985	0.027832	0
0.02832	2.16416	0.02832	1.29699	0.02832	0
0.028809	2.1642	0.028809	1.29748	0.028809	0
0.029297	2.16415	0.029297	1.29915	0.029297	0
0.029785	2.16419	0.029785	1.29999	0.029785	0
0.030273	2.16421	0.030273	1.29758	0.030273	0
0.030762	2.16416	0.030762	1.29656	0.030762	0
0.03125	2.16413	0.03125	1.29937	0.03125	0
0.031738	2.16411	0.031738	1.29951	0.031738	0
0.032227	2.1642	0.032227	1.29916	0.032227	0
0.032715	2.16415	0.032715	1.29935	0.032715	0
0.033203	2.16416	0.033203	1.29989	0.033203	0
0.033691	2.16413	0.033691	1.30199	0.033691	0
0.03418	2.16414	0.03418	1.30331	0.03418	0
0.034668	2.16416	0.034668	1.30204	0.034668	0
0.035156	2.16414	0.035156	1.29889	0.035156	0
0.035645	2.16417	0.035645	1.29986	0.035645	0
0.036133	2.1642	0.036133	1.29942	0.036133	0
0.036621	2.16419	0.036621	1.298	0.036621	0
0.037109	2.16415	0.037109	1.29666	0.037109	0
0.037598	2.16414	0.037598	1.29909	0.037598	0
0.038086	2.16417	0.038086	1.30111	0.038086	0
0.038574	2.16416	0.038574	1.30006	0.038574	0
0.039062	2.16412	0.039062	1.29881	0.039062	0
0.039551	2.16421	0.039551	1.30038	0.039551	0
0.040039	2.16415	0.040039	1.29939	0.040039	0
0.040527	2.16417	0.040527	1.29788	0.040527	0
0.041016	2.16417	0.041016	1.29835	0.041016	0
0.041504	2.16417	0.041504	1.29946	0.041504	0
0.041992	2.16419	0.041992	1.30318	0.041992	0
0.04248	2.16415	0.04248	1.30102	0.04248	0
0.042969	2.16413	0.042969	1.30094	0.042969	0
0.043457	2.16415	0.043457	1.30396	0.043457	0
0.043945	2.16416	0.043945	1.30326	0.043945	0
0.044434	2.16413	0.044434	1.3035	0.044434	0
0.044922	2.16416	0.044922	1.30068	0.044922	0
0.04541	2.16414	0.04541	1.29809	0.04541	0
0.045898	2.16415	0.045898	1.29938	0.045898	0
0.046387	2.16421	0.046387	1.29955	0.046387	0
0.046875	2.16415	0.046875	1.30004	0.046875	0
0.047363	2.16416	0.047363	1.30144	0.047363	0
0.047852	2.16415	0.047852	1.29932	0.047852	0
0.04834	2.16417	0.04834	1.29895	0.04834	0
0.048828	2.16414	0.048828	1.29537	0.048828	0
0.049316	2.16416	0.049316	1.29826	0.049316	0
0.049805	2.16417	0.049805	1.30132	0.049805	0
0.050293	2.16419	0.050293	1.30182	0.050293	0
0.050781	2.16419	0.050781	1.29975	0.050781	0
0.05127	2.16418	0.05127	1.30031	0.05127	0
0.051758	2.16417	0.051758	1.30136	0.051758	0
0.052246	2.1642	0.052246	1.29708	0.052246	0
0.052734	2.16415	0.052734	1.29855	0.052734	0
0.053223	2.16414	0.053223	1.30111	0.053223	0
0.053711	2.16419	0.053711	1.3	0.053711	0
0.054199	2.16419	0.054199	1.30029	0.054199	0
0.054687	2.16417	0.054687	1.29975	0.054687	0
0.055176	2.16419	0.055176	1.29729	0.055176	0
0.055664	2.16418	0.055664	1.29671	0.055664	0
0.056152	2.16415	0.056152	1.30134	0.056152	0
0.056641	2.16418	0.056641	1.3004	0.056641	0
0.057129	2.16418	0.057129	1.29948	0.057129	0
0.057617	2.16418	0.057617	1.29755	0.057617	0
