Time - Temperature	Amplitude - Temperature
0	11.6432
0.071429	11.629
0.142857	11.6346
0.214286	11.632
0.285714	11.6353
0.357143	11.7558
0.428571	13.9535
0.5	15.2079
0.571429	16.043
0.642857	16.4226
0.714286	16.6543
0.785714	16.8128
0.857143	16.9565
0.928571	17.0352
1	17.1461
1.071428	17.2122
1.142857	17.2757
1.214286	17.3002
1.285714	17.3395
1.357143	17.381
1.428571	17.4393
1.5	17.4534
1.571428	17.4935
1.642857	17.5131
1.714285	17.5246
1.785714	17.5536
1.857143	17.5814
1.928571	17.6048
2	17.6151
2.071428	17.6307
2.142857	17.6452
2.214285	17.6686
2.285714	17.6771
2.357143	17.6893
2.428571	17.6968
2.5	17.7068
2.571428	17.7275
2.642857	17.7235
2.714285	17.7468
2.785714	17.7435
2.857143	17.7669
2.928571	17.7772
3	17.6166
3.071428	17.5476
3.142857	17.4411
3.214285	17.3239
3.285714	17.2389
3.357142	17.2055
3.428571	17.1487
3.5	17.1179
3.571428	17.1064
3.642857	17.0485
3.714285	17.0248
3.785714	17.0125
3.857142	16.9895
3.928571	16.9554
3.999999	16.9413
4.071428	16.935
4.142857	16.906
4.214285	16.8893
4.285714	16.8637
4.357142	16.8596
4.428571	16.8377
4.499999	16.7675
4.571428	16.7412
4.642857	16.713
4.714285	16.6922
4.785714	16.6591
4.857142	16.6409
4.928571	16.625
4.999999	16.6149
5.071428	16.5745
5.142856	16.554
5.214285	16.5522
5.285714	16.531
5.357142	16.5396
5.428571	16.4928
5.499999	16.4935
5.571428	16.4594
5.642856	16.4579
5.714285	16.4311
5.785714	16.4334
5.857142	16.4244
5.928571	16.6985
5.999999	17.1977
6.071428	17.469
6.142856	17.6055
6.214285	17.6797
6.285713	17.7312
6.357142	17.7691
6.428571	17.7854
6.499999	17.8388
6.571428	17.8455
6.642856	17.8674
6.714285	17.8666
6.785713	17.9071
6.857142	17.9171
6.928571	17.9063
6.999999	17.8878
7.071428	17.9019
7.142856	17.8907
7.214285	17.9182
7.285713	17.913
7.357142	17.9067
7.428571	17.9193
7.499999	17.9048
7.571428	17.9352
7.642856	17.9234
7.714285	17.9334
7.785713	17.9464
7.857142	17.933
7.92857	17.9471
7.999999	17.9326
8.071428	17.9323
8.142856	17.9449
8.214285	17.9367
8.285713	17.9504
8.357142	17.9519
8.42857	17.9478
8.499999	17.9423
8.571428	17.9419
8.642856	17.9382
8.714285	17.9449
8.785713	17.9605
8.857142	17.9534
8.92857	17.9542
8.999999	17.9445
9.071427	17.9508
9.142856	17.9734
9.214285	17.9605
9.285713	17.9712
9.357142	17.9619
9.42857	17.9616
9.499999	17.956
9.571427	17.9542
9.642856	17.986
9.714284	17.9523
9.785713	17.9597
9.857142	17.9694
9.92857	17.9642
