Time - Temperature	Amplitude - Temperature
0	33.3934
0.071429	33.5692
0.142857	33.71
0.214286	33.6435
0.285714	33.2763
0.357143	33.0161
0.428571	33.9681
0.5	34.1433
0.571429	33.8578
0.642857	33.7909
0.714286	34.6643
0.785714	35.2486
0.857143	54.5741
0.928571	69.5328
1	77.359
1.071428	81.5564
1.142857	84.8494
1.214286	86.3929
1.285714	87.5886
1.357143	88.5093
1.428571	89.2566
1.5	89.9276
1.571428	90.4408
1.642857	90.9014
1.714285	91.3238
1.785714	91.5603
1.857143	91.8287
1.928571	92.0313
2	92.2134
2.071428	92.4142
2.142857	92.4871
2.214285	92.6097
2.285714	92.8444
2.357143	92.9641
2.428571	93.0361
2.5	93.1249
2.571428	93.2046
2.642857	93.2872
2.714285	93.334
2.785714	93.3976
2.857143	93.4421
2.928571	93.4835
3	93.491
3.071428	93.5034
3.142857	93.5011
3.214285	93.5301
3.285714	93.5072
3.357142	93.5326
3.428571	93.5171
3.5	93.5285
3.571428	93.522
3.642857	93.5472
3.714285	93.5745
3.785714	93.5958
3.857142	93.5926
3.928571	93.6021
3.999999	93.6164
4.071428	91.1909
4.142857	87.7573
4.214285	85.881
4.285714	84.5192
4.357142	83.2192
4.428571	82.1503
4.499999	81.0191
4.571428	79.7817
4.642857	78.8004
4.714285	77.7702
4.785714	76.8381
4.857142	76.0573
4.928571	75.2049
4.999999	74.306
5.071428	73.469
5.142856	72.5996
5.214285	71.6801
5.285714	70.7402
5.357142	69.8774
5.428571	69.0563
5.499999	68.2933
5.571428	67.6031
5.642856	67.0073
5.714285	66.474
5.785714	65.9199
5.857142	65.2503
5.928571	64.6308
5.999999	64.2995
6.071428	63.9945
6.142856	63.5809
6.214285	63.1173
6.285713	62.6352
6.357142	62.1383
6.428571	61.5489
6.499999	60.9108
6.571428	60.2656
6.642856	59.6458
6.714285	59.3573
6.785713	58.95
6.857142	58.3875
6.928571	57.8007
6.999999	57.2241
7.071428	56.6359
7.142856	56.2429
7.214285	55.9231
7.285713	55.7454
7.357142	55.4955
7.428571	56.0985
7.499999	70.5256
7.571428	79.4188
7.642856	83.754
7.714285	86.7151
7.785713	88.693
7.857142	89.6555
7.92857	90.2281
7.999999	90.8106
8.071428	91.2877
8.142856	91.6212
8.214285	91.8361
8.285713	91.992
8.357142	92.1823
8.42857	92.3418
8.499999	92.4848
8.571428	92.6185
8.642856	92.7129
8.714285	92.8231
8.785713	92.9161
8.857142	92.9953
8.92857	93.0854
8.999999	93.1464
9.071427	93.177
9.142856	93.167
9.214285	93.2043
9.285713	93.2372
9.357142	93.2488
9.42857	93.2754
9.499999	93.2824
9.571427	93.3194
9.642856	93.3372
9.714284	93.3594
9.785713	93.3745
9.857142	93.3954
9.92857	93.4319
