Time - Temperature	Amplitude - Temperature
0	30.0988
0.071429	29.9599
0.142857	29.8362
0.214286	29.7061
0.285714	29.578
0.357143	29.5068
0.428571	29.5221
0.5	30.0434
0.571429	30.3011
0.642857	30.2269
0.714286	30.2324
0.785714	30.3431
0.857143	30.7176
0.928571	31.5436
1	42.2958
1.071428	61.0687
1.142857	70.6065
1.214286	77.3144
1.285714	82.1258
1.357143	85.6465
1.428571	87.5031
1.5	88.7643
1.571428	89.6961
1.642857	90.6354
1.714285	91.547
1.785714	92.1828
1.857143	92.6579
1.928571	92.9358
2	93.1178
2.071428	93.2904
2.142857	93.4454
2.214285	93.5847
2.285714	93.7014
2.357143	93.792
2.428571	93.8865
2.5	93.937
2.571428	93.9814
2.642857	94.0152
2.714285	94.0634
2.785714	94.0437
2.857143	93.9998
2.928571	94.022
3	93.9898
3.071428	93.975
3.142857	93.9844
3.214285	93.9648
3.285714	93.9733
3.357142	94.0679
3.428571	94.1468
3.5	94.1654
3.571428	94.1429
3.642857	94.1288
3.714285	94.1188
3.785714	94.0665
3.857142	93.9764
3.928571	93.7487
3.999999	92.1152
4.071428	88.7219
4.142857	86.4039
4.214285	84.3142
4.285714	82.9073
4.357142	81.3189
4.428571	79.6151
4.499999	78.0454
4.571428	76.6572
4.642857	75.3442
4.714285	74.1804
4.785714	72.9291
4.857142	71.8506
4.928571	70.7475
4.999999	69.5893
5.071428	68.4603
5.142856	67.4796
5.214285	66.5411
5.285714	65.5314
5.357142	64.4621
5.428571	63.4016
5.499999	62.5209
5.571428	61.7003
5.642856	60.9244
5.714285	60.1445
5.785714	59.4491
5.857142	58.7326
5.928571	58.0556
5.999999	57.4297
6.071428	56.8348
6.142856	56.3849
6.214285	56.1913
6.285713	56.0258
6.357142	55.8693
6.428571	56.1817
6.499999	55.9976
6.571428	55.5212
6.642856	55.0123
6.714285	54.4747
6.785713	54.004
6.857142	53.6875
6.928571	53.4718
6.999999	61.4188
7.071428	75.715
7.142856	82.6901
7.214285	85.7985
7.285713	87.7667
7.357142	88.8657
7.428571	89.8298
7.499999	90.5785
7.571428	91.2459
7.642856	91.7528
7.714285	92.0916
7.785713	92.3476
7.857142	92.5678
7.92857	92.7513
7.999999	92.9155
8.071428	93.068
8.142856	93.1847
8.214285	93.2798
8.285713	93.3717
8.357142	93.4123
8.42857	93.4291
8.499999	93.4713
8.571428	93.4792
8.642856	93.4926
8.714285	93.5083
8.785713	93.5359
8.857142	93.5486
8.92857	93.5514
8.999999	93.5521
9.071427	93.5532
9.142856	93.5627
9.214285	93.5711
9.285713	93.5875
9.357142	93.6076
9.42857	93.6149
9.499999	93.6209
9.571427	93.6385
9.642856	93.6762
9.714284	93.6899
9.785713	93.7311
9.857142	93.7401
9.92857	93.7235
