Time - Temperature	Amplitude - Temperature	
0	65.511	
0.071429	65.3157	
0.142857	65.1885	
0.214286	65.1734	
0.285714	64.9564	
0.357143	65.2121	
0.428571	65.2517	
0.5	65.2564	
0.571429	65.3082	
0.642857	65.349	
0.714286	65.3082	
0.785714	65.1262	
0.857143	64.9986	
0.928571	64.9453	
1	64.8369	
1.071428	64.6924	
1.142857	64.6735	
1.214286	64.7947	
1.285714	64.6334	
1.357143	64.4485	
1.428571	64.3583	
1.5	64.2009	
1.571428	63.9536	
1.642857	63.7922	
1.714285	63.7708	
1.785714	63.6738	
1.857143	63.755	
1.928571	63.7185	
2	63.7547	
2.071428	63.8431	
2.142857	64.2732	
2.214285	64.8326	
2.285714	64.2138	
2.357143	64.0674	
2.428571	64.1157	
2.5	64.2166	
2.571428	64.3723	
2.642857	65.4995	
2.714285	65.8945	
2.785714	65.5403	
2.857143	65.1152	
2.928571	64.9954	
