Time - Temperature	Amplitude - Temperature	
0	35.3432	
0.071429	35.3606	
0.142857	35.4747	
0.214286	35.5271	
0.285714	35.5744	
0.357143	36.1516	
0.428571	36.4059	
0.5	36.2613	
0.571429	36.0992	
0.642857	36.1306	
0.714286	36.1803	
0.785714	36.1974	
0.857143	36.1027	
0.928571	36.0158	
1	35.9398	
1.071428	35.9146	
1.142857	35.9022	
1.214286	35.8956	
1.285714	35.9955	
1.357143	36.0145	
1.428571	35.9305	
1.5	36.0317	
1.571428	36.1616	
1.642857	36.26	
1.714285	36.2431	
1.785714	36.3573	
1.857143	36.3345	
1.928571	36.3113	
2	36.2613	
2.071428	36.2356	
2.142857	36.2489	
2.214285	36.2334	
2.285714	36.2593	
2.357143	36.2901	
2.428571	36.29	
2.5	36.2611	
2.571428	36.3223	
2.642857	36.6796	
2.714285	36.702	
2.785714	36.6364	
2.857143	36.6314	
2.928571	36.6115	
