Break (Standard) : Extension at Break (Standard),2.03373,mm

Time,Extension,Load,Tensile strain,Tensile stress,Displacement (Strain 2),Strain 2
(sec),(mm),(N),(mm/mm),(MPa),(mm),(mm/mm)
0.00000,0.00000,26.06470,0.00000,0.26980,0.06139,0.00246
0.03400,0.00016,25.84104,0.00002,0.26749,0.06167,0.00247
0.06800,0.00080,27.30197,0.00008,0.28261,0.06145,0.00246
0.10200,0.00193,28.90668,0.00019,0.29922,0.06156,0.00246
0.13600,0.00343,30.55345,0.00034,0.31627,0.06119,0.00245
0.17000,0.00509,32.48294,0.00050,0.33624,0.06176,0.00247
0.20400,0.00664,34.18816,0.00065,0.35389,0.06133,0.00245
0.23800,0.00825,35.64492,0.00081,0.36897,0.06169,0.00247
0.27200,0.01012,37.02459,0.00100,0.38325,0.06136,0.00245
0.30600,0.01179,38.61569,0.00116,0.39972,0.06164,0.00247
0.34000,0.01334,39.99459,0.00131,0.41399,0.06163,0.00247
0.37400,0.01500,41.38241,0.00148,0.42836,0.06163,0.00247
0.40800,0.01650,42.63856,0.00162,0.44136,0.06171,0.00247
0.44200,0.01795,43.40764,0.00177,0.44932,0.06144,0.00246
0.47600,0.01961,44.88957,0.00193,0.46466,0.06155,0.00246
0.51000,0.02121,46.20531,0.00209,0.47828,0.06124,0.00245
0.54400,0.02266,47.24507,0.00223,0.48905,0.06173,0.00247
0.57800,0.02416,48.11168,0.00238,0.49802,0.06135,0.00245
0.61200,0.02566,49.00829,0.00253,0.50730,0.06146,0.00246
0.64600,0.02705,49.74428,0.00266,0.51492,0.06129,0.00245
0.68000,0.02845,50.59738,0.00280,0.52375,0.06167,0.00247
0.71400,0.03011,51.50399,0.00296,0.53313,0.06121,0.00245
0.74800,0.03161,52.61863,0.00311,0.54467,0.06190,0.00248
0.78200,0.03300,53.09273,0.00325,0.54958,0.06114,0.00245
0.81600,0.03445,54.18703,0.00339,0.56090,0.06187,0.00247
0.85000,0.03589,54.96199,0.00353,0.56893,0.06120,0.00245
0.88400,0.03729,56.40159,0.00367,0.58383,0.06188,0.00248
0.91800,0.03868,59.49276,0.00381,0.61583,0.06158,0.00246
0.95200,0.04029,63.41332,0.00397,0.65641,0.06129,0.00245
0.98600,0.04179,67.76421,0.00411,0.70145,0.06186,0.00247
1.02000,0.04312,70.76551,0.00424,0.73251,0.06114,0.00245
1.05400,0.04457,72.92819,0.00439,0.75490,0.06172,0.00247
1.08800,0.04602,75.39727,0.00453,0.78046,0.06138,0.00246
1.12200,0.04741,77.73689,0.00467,0.80468,0.06145,0.00246
1.15600,0.04875,79.69409,0.00480,0.82494,0.06155,0.00246
1.19000,0.05036,81.91941,0.00496,0.84797,0.06125,0.00245
1.22400,0.05186,83.81299,0.00510,0.86757,0.06184,0.00247
1.25800,0.05320,85.49633,0.00524,0.88500,0.06128,0.00245
1.29200,0.05464,87.95018,0.00538,0.91040,0.06166,0.00247
1.32600,0.05609,89.78526,0.00552,0.92939,0.06152,0.00246
1.36000,0.05748,91.74439,0.00566,0.94967,0.06139,0.00246
1.39400,0.05882,93.61767,0.00579,0.96906,0.06175,0.00247
1.42800,0.06043,95.64621,0.00595,0.99006,0.06124,0.00245
1.46200,0.06193,97.52141,0.00610,1.00947,0.06190,0.00248
1.49600,0.06332,99.10280,0.00623,1.02584,0.06120,0.00245
1.53000,0.06471,100.55040,0.00637,1.04082,0.06168,0.00247
1.56400,0.06621,102.37274,0.00652,1.05969,0.06143,0.00246
1.59800,0.06761,104.12102,0.00665,1.07778,0.06158,0.00246
1.63200,0.06895,105.54008,0.00679,1.09247,0.06139,0.00246
1.66600,0.07050,107.37349,0.00694,1.11145,0.06158,0.00246
1.70000,0.07205,109.23261,0.00709,1.13070,0.06133,0.00245
1.73400,0.07339,110.60926,0.00722,1.14495,0.06155,0.00246
1.76800,0.07484,112.36263,0.00737,1.16310,0.06160,0.00246
1.80200,0.07629,113.89658,0.00751,1.17897,0.06141,0.00246
1.83600,0.07768,115.63062,0.00765,1.19692,0.06171,0.00247
1.87000,0.07902,116.81729,0.00778,1.20921,0.06125,0.00245
1.90400,0.08057,118.36241,0.00793,1.22520,0.06173,0.00247
1.93800,0.08212,120.04935,0.00808,1.24266,0.06136,0.00245
1.97200,0.08352,121.72882,0.00822,1.26005,0.06163,0.00247
2.00600,0.08491,122.72526,0.00836,1.27036,0.06157,0.00246
2.04000,0.08641,124.27703,0.00850,1.28643,0.06148,0.00246
2.07400,0.08780,125.42183,0.00864,1.29828,0.06146,0.00246
2.10800,0.08909,126.40716,0.00877,1.30847,0.06160,0.00246
2.14200,0.09064,127.92700,0.00892,1.32421,0.06152,0.00246
2.17600,0.09225,129.29034,0.00908,1.33832,0.06156,0.00246
2.21000,0.09364,130.62164,0.00922,1.35210,0.06140,0.00246
2.24400,0.09504,131.44245,0.00935,1.36060,0.06155,0.00246
2.27800,0.09648,132.53222,0.00950,1.37188,0.06155,0.00246
2.31200,0.09787,133.55659,0.00963,1.38248,0.06141,0.00246
2.34600,0.09921,134.38302,0.00977,1.39103,0.06167,0.00247
2.38000,0.10071,135.28667,0.00991,1.40039,0.06142,0.00246
2.41400,0.10227,136.64402,0.01007,1.41444,0.06150,0.00246
2.44800,0.10366,137.66889,0.01020,1.42505,0.06155,0.00246
2.48200,0.10505,138.11129,0.01034,1.42963,0.06137,0.00245
2.51600,0.10650,139.12530,0.01048,1.44012,0.06169,0.00247
2.55000,0.10795,140.00666,0.01062,1.44925,0.06131,0.00245
2.58400,0.10929,140.71040,0.01076,1.45653,0.06165,0.00247
2.61800,0.11079,141.45072,0.01090,1.46419,0.06143,0.00246
2.65200,0.11234,142.44824,0.01106,1.47452,0.06160,0.00246
2.68600,0.11379,143.27501,0.01120,1.48308,0.06157,0.00246
2.72000,0.11518,143.98347,0.01134,1.49041,0.06124,0.00245
2.75400,0.11662,144.65414,0.01148,1.49735,0.06185,0.00247
2.78800,0.11807,145.28717,0.01162,1.50391,0.06114,0.00245
2.82200,0.11936,146.00325,0.01175,1.51132,0.06184,0.00247
2.85600,0.12086,146.53272,0.01190,1.51680,0.06134,0.00245
2.89000,0.12241,147.70338,0.01205,1.52892,0.06152,0.00246
2.92400,0.12386,148.23428,0.01219,1.53441,0.06157,0.00246
2.95800,0.12525,148.78973,0.01233,1.54016,0.06162,0.00246
2.99200,0.12670,149.46763,0.01247,1.54718,0.06134,0.00245
3.02600,0.12814,150.44086,0.01261,1.55725,0.06165,0.00247
3.06000,0.12943,150.71608,0.01274,1.56010,0.06144,0.00246
3.09400,0.13087,151.28107,0.01288,1.56595,0.06145,0.00246
3.12800,0.13248,152.26226,0.01304,1.57611,0.06170,0.00247
3.16200,0.13393,152.88248,0.01318,1.58253,0.06141,0.00246
3.19600,0.13532,153.87142,0.01332,1.59276,0.06144,0.00246
3.23000,0.13677,154.51362,0.01346,1.59941,0.06165,0.00247
3.26400,0.13821,155.56252,0.01360,1.61027,0.06145,0.00246
3.29800,0.13955,156.21838,0.01374,1.61706,0.06133,0.00245
3.33200,0.14095,157.12245,0.01387,1.62642,0.06179,0.00247
3.36600,0.14255,158.29455,0.01403,1.63855,0.06098,0.00244
3.40000,0.14405,159.12468,0.01418,1.64714,0.06183,0.00247
3.43400,0.14539,159.92694,0.01431,1.65545,0.06141,0.00246
3.46800,0.14684,160.66682,0.01445,1.66311,0.06135,0.00245
3.50200,0.14829,161.77647,0.01460,1.67459,0.06169,0.00247
3.53600,0.14962,162.40085,0.01473,1.68106,0.06127,0.00245
3.57000,0.15102,163.51811,0.01486,1.69262,0.06173,0.00247
3.60400,0.15262,164.74209,0.01502,1.70529,0.06144,0.00246
3.63800,0.15407,165.76070,0.01516,1.71583,0.06168,0.00247
3.67200,0.15546,166.48744,0.01530,1.72336,0.06145,0.00246
3.70600,0.15691,167.40949,0.01544,1.73290,0.06147,0.00246
3.74000,0.15836,168.35757,0.01559,1.74271,0.06177,0.00247
3.77400,0.15970,169.17283,0.01572,1.75115,0.06132,0.00245
3.80800,0.16104,170.04797,0.01585,1.76021,0.06164,0.00247
3.84200,0.16264,171.31159,0.01601,1.77329,0.06138,0.00246
3.87600,0.16414,172.36568,0.01616,1.78420,0.06149,0.00246
3.91000,0.16554,173.30764,0.01629,1.79395,0.06156,0.00246
3.94400,0.16698,174.20853,0.01644,1.80328,0.06141,0.00246
3.97800,0.16843,175.27624,0.01658,1.81433,0.06154,0.00246
4.01200,0.16977,175.99018,0.01671,1.82172,0.06159,0.00246
4.04600,0.17116,177.02325,0.01685,1.83242,0.06151,0.00246
4.08000,0.17271,178.32020,0.01700,1.84584,0.06144,0.00246
4.11400,0.17421,179.32605,0.01715,1.85625,0.06157,0.00246
4.14800,0.17561,180.31033,0.01728,1.86644,0.06141,0.00246
4.18200,0.17705,181.21630,0.01743,1.87582,0.06183,0.00247
4.21600,0.17850,182.41177,0.01757,1.88819,0.06123,0.00245
4.25000,0.17984,183.47747,0.01770,1.89922,0.06158,0.00246
4.28400,0.18123,184.25412,0.01784,1.90726,0.06136,0.00245
4.31800,0.18279,185.61542,0.01799,1.92136,0.06167,0.00247
4.35200,0.18429,186.99663,0.01814,1.93565,0.06153,0.00246
4.38600,0.18568,188.24180,0.01828,1.94854,0.06153,0.00246
4.42000,0.18712,189.19365,0.01842,1.95839,0.06125,0.00245
4.45400,0.18857,190.37755,0.01856,1.97065,0.06172,0.00247
4.48800,0.18996,191.73705,0.01870,1.98472,0.06142,0.00246
4.52200,0.19130,192.96950,0.01883,1.99748,0.06172,0.00247
4.55600,0.19286,194.34494,0.01898,2.01172,0.06129,0.00245
4.59000,0.19441,196.34741,0.01913,2.03245,0.06165,0.00247
4.62400,0.19575,197.43845,0.01927,2.04374,0.06144,0.00246
4.65800,0.19720,198.53842,0.01941,2.05512,0.06168,0.00247
4.69200,0.19870,200.26841,0.01956,2.07303,0.06147,0.00246
4.72600,0.20009,201.72406,0.01969,2.08810,0.06152,0.00246
4.76000,0.20137,203.10363,0.01982,2.10238,0.06154,0.00246
4.79400,0.20293,204.85549,0.01997,2.12051,0.06144,0.00246
4.82800,0.20448,206.79583,0.02013,2.14060,0.06158,0.00246
4.86200,0.20587,208.33332,0.02026,2.15651,0.06158,0.00246
4.89600,0.20727,210.20700,0.02040,2.17591,0.06153,0.00246
4.93000,0.20877,212.14471,0.02055,2.19597,0.06139,0.00246
4.96400,0.21016,213.68690,0.02069,2.21193,0.06154,0.00246
4.99800,0.21145,215.37237,0.02081,2.22938,0.06152,0.00246
5.03200,0.21295,217.19523,0.02096,2.24825,0.06156,0.00246
5.06600,0.21450,219.21464,0.02111,2.26915,0.06151,0.00246
5.10000,0.21595,221.23331,0.02125,2.29005,0.06144,0.00246
5.13400,0.21734,222.70903,0.02139,2.30532,0.06149,0.00246
5.16800,0.21879,224.95592,0.02153,2.32858,0.06167,0.00247
5.20200,0.22023,227.17743,0.02168,2.35158,0.06146,0.00246
5.23600,0.22152,228.84908,0.02180,2.36888,0.06154,0.00246
5.27000,0.22302,230.57272,0.02195,2.38672,0.06144,0.00246
5.30400,0.22462,233.31136,0.02211,2.41507,0.06155,0.00246
5.33800,0.22602,235.24677,0.02225,2.43510,0.06149,0.00246
5.37200,0.22741,237.00546,0.02238,2.45331,0.06158,0.00246
5.40600,0.22891,239.14590,0.02253,2.47546,0.06147,0.00246
5.44000,0.23030,241.50135,0.02267,2.49985,0.06156,0.00246
5.47400,0.23164,243.12828,0.02280,2.51669,0.06137,0.00245
5.50800,0.23309,245.32515,0.02294,2.53943,0.06180,0.00247
5.54200,0.23470,247.84489,0.02310,2.56551,0.06132,0.00245
5.57600,0.23614,250.09361,0.02324,2.58879,0.06150,0.00246
5.61000,0.23748,252.05643,0.02337,2.60910,0.06155,0.00246
5.64400,0.23893,254.31552,0.02352,2.63249,0.06134,0.00245
5.67800,0.24037,256.72437,0.02366,2.65742,0.06186,0.00247
5.71200,0.24171,259.00712,0.02379,2.68105,0.06119,0.00245
5.74600,0.24316,261.15641,0.02393,2.70330,0.06171,0.00247
5.78000,0.24477,264.07180,0.02409,2.73348,0.06135,0.00245
5.81400,0.24621,266.50102,0.02423,2.75862,0.06163,0.00247
5.84800,0.24755,268.32931,0.02437,2.77755,0.06142,0.00246
5.88200,0.24905,270.85274,0.02451,2.80367,0.06172,0.00247
5.91600,0.25045,273.56163,0.02465,2.83171,0.06137,0.00245
5.95000,0.25179,275.72447,0.02478,2.85410,0.06142,0.00246
5.98400,0.25323,277.93673,0.02492,2.87700,0.06152,0.00246
6.01800,0.25484,281.11668,0.02508,2.90991,0.06164,0.00247
6.05200,0.25629,283.63748,0.02522,2.93601,0.06146,0.00246
6.08600,0.25762,285.65515,0.02536,2.95689,0.06156,0.00246
6.12000,0.25907,287.86208,0.02550,2.97974,0.06125,0.00245
6.15400,0.26052,290.34608,0.02564,3.00545,0.06169,0.00247
6.18800,0.26191,292.75250,0.02578,3.03036,0.06159,0.00246
6.22200,0.26330,295.13134,0.02592,3.05498,0.06137,0.00245
6.25600,0.26486,298.16804,0.02607,3.08642,0.06142,0.00246
6.29000,0.26630,300.65269,0.02621,3.11214,0.06159,0.00246
6.32400,0.26764,303.09406,0.02634,3.13741,0.06149,0.00246
6.35800,0.26914,305.55982,0.02649,3.16293,0.06159,0.00246
6.39200,0.27059,308.12731,0.02663,3.18951,0.06142,0.00246
6.42600,0.27198,310.57066,0.02677,3.21480,0.06138,0.00246
6.46000,0.27332,312.71101,0.02690,3.23696,0.06172,0.00247
6.49400,0.27493,315.91776,0.02706,3.27015,0.06140,0.00246
6.52800,0.27643,318.91429,0.02721,3.30117,0.06155,0.00246
6.56200,0.27777,321.22649,0.02734,3.32510,0.06152,0.00246
6.59600,0.27927,323.81586,0.02749,3.35191,0.06148,0.00246
6.63000,0.28071,326.56593,0.02763,3.38037,0.06152,0.00246
6.66400,0.28205,328.78359,0.02776,3.40333,0.06150,0.00246
6.69800,0.28345,330.97076,0.02790,3.42597,0.06143,0.00246
6.73200,0.28500,334.04700,0.02805,3.45781,0.06165,0.00247
6.76600,0.28650,336.58312,0.02820,3.48406,0.06138,0.00246
6.80000,0.28789,338.25045,0.02834,3.50132,0.06162,0.00246
6.83400,0.28934,340.42764,0.02848,3.52386,0.06138,0.00246
6.86800,0.29079,343.38224,0.02862,3.55444,0.06173,0.00247
6.90200,0.29218,346.16022,0.02876,3.58320,0.06145,0.00246
6.93600,0.29352,348.46933,0.02889,3.60710,0.06169,0.00247
6.97000,0.29507,351.45605,0.02904,3.63802,0.06134,0.00245
7.00400,0.29662,354.39002,0.02920,3.66839,0.06147,0.00246
7.03800,0.29796,356.34809,0.02933,3.68866,0.06163,0.00247
7.07200,0.29941,358.17157,0.02947,3.70753,0.06143,0.00246
7.10600,0.30086,360.75370,0.02961,3.73426,0.06164,0.00247
7.14000,0.30225,363.25428,0.02975,3.76014,0.06133,0.00245
7.17400,0.30359,365.28544,0.02988,3.78117,0.06161,0.00246
7.20800,0.30514,367.58104,0.03003,3.80493,0.06148,0.00246
7.24200,0.30670,370.88675,0.03019,3.83915,0.06156,0.00246
7.27600,0.30809,373.13126,0.03032,3.86238,0.06145,0.00246
7.31000,0.30948,375.02409,0.03046,3.88198,0.06159,0.00246
7.34400,0.31093,377.01817,0.03060,3.90262,0.06140,0.00246
7.37800,0.31232,379.18906,0.03074,3.92509,0.06168,0.00247
7.41200,0.31366,381.89518,0.03087,3.95310,0.06144,0.00246
7.44600,0.31516,384.75308,0.03102,3.98268,0.06163,0.00247
7.48000,0.31671,388.02724,0.03117,4.01657,0.06149,0.00246
7.51400,0.31811,390.21271,0.03131,4.03920,0.06148,0.00246
7.54800,0.31950,392.36393,0.03145,4.06147,0.06154,0.00246
7.58200,0.32100,394.86920,0.03159,4.08740,0.06151,0.00246
7.61600,0.32239,397.28916,0.03173,4.11245,0.06159,0.00246
7.65000,0.32368,399.24346,0.03186,4.13268,0.06141,0.00246
7.68400,0.32529,401.86532,0.03202,4.15982,0.06143,0.00246
7.71800,0.32679,405.02700,0.03216,4.19254,0.06161,0.00246
7.75200,0.32818,407.35773,0.03230,4.21667,0.06147,0.00246
7.78600,0.32962,409.37204,0.03244,4.23752,0.06157,0.00246
7.82000,0.33107,411.74649,0.03259,4.26210,0.06154,0.00246
7.85400,0.33252,414.50431,0.03273,4.29065,0.06136,0.00245
7.88800,0.33380,417.16925,0.03285,4.31823,0.06168,0.00247
7.92200,0.33536,419.74864,0.03301,4.34493,0.06139,0.00246
7.95600,0.33691,422.87903,0.03316,4.37734,0.06177,0.00247
7.99000,0.33830,425.35566,0.03330,4.40297,0.06144,0.00246
8.02400,0.33970,428.35141,0.03343,4.43398,0.06154,0.00246
8.05800,0.34120,432.14159,0.03358,4.47321,0.06138,0.00246
8.09200,0.34259,436.14588,0.03372,4.51466,0.06164,0.00247
8.12600,0.34387,439.56424,0.03385,4.55005,0.06147,0.00246
8.16000,0.34537,443.19218,0.03399,4.58760,0.06167,0.00247
8.19400,0.34698,447.82494,0.03415,4.63556,0.06120,0.00245
8.22800,0.34837,452.24980,0.03429,4.68136,0.06173,0.00247
8.26200,0.34977,455.29749,0.03443,4.71291,0.06142,0.00246
8.29600,0.35127,459.59176,0.03457,4.75736,0.06174,0.00247
8.33000,0.35266,463.65193,0.03471,4.79939,0.06134,0.00245
8.36400,0.35395,467.58416,0.03484,4.84009,0.06141,0.00246
8.39800,0.35545,471.37437,0.03498,4.87932,0.06173,0.00247
8.43200,0.35705,476.54623,0.03514,4.93286,0.06152,0.00246
8.46600,0.35845,480.67555,0.03528,4.97560,0.06163,0.00247
8.50000,0.35984,484.03306,0.03542,5.01036,0.06114,0.00245
8.53400,0.36134,488.20870,0.03556,5.05358,0.06163,0.00247
8.56800,0.36273,493.52841,0.03570,5.10865,0.06158,0.00246
8.60200,0.36407,497.84303,0.03583,5.15331,0.06176,0.00247
8.63600,0.36552,501.70703,0.03598,5.19331,0.06129,0.00245
8.67000,0.36712,506.76741,0.03613,5.24569,0.06132,0.00245
8.70400,0.36852,511.53693,0.03627,5.29506,0.06158,0.00246
8.73800,0.36991,514.91892,0.03641,5.33006,0.06170,0.00247
8.77200,0.37141,518.75185,0.03656,5.36974,0.06162,0.00246
8.80600,0.37280,523.38375,0.03669,5.41769,0.06138,0.00246
8.84000,0.37414,527.47954,0.03683,5.46008,0.06133,0.00245
