Time - Strain	Amplitude - Strain
0	0.00239778
0.0005	0.00239625
0.001	0.00239846
0.0015	0.00239766
0.002	0.00239556
0.0025	0.00239617
0.003	0.00239718
0.0035	0.00239715
0.004	0.00239841
0.0045	0.00239715
0.005	0.00239703
0.0055	0.00239675
0.006	0.00239666
0.0065	0.0023972
0.007	0.00239706
0.0075	0.00239575
0.008	0.00239852
0.0085	0.00239684
0.009	0.00239698
0.0095	0.00239573
0.01	0.00239569
0.0105	0.00239579
0.011	0.00239671
0.0115	0.00239784
0.012	0.00239571
0.0125	0.00239549
0.013	0.0023989
0.0135	0.00239616
0.014	0.00239742
0.0145	0.00239755
0.015	0.0023974
0.0155	0.00239713
0.016	0.00239611
0.0165	0.00239589
0.017	0.00239635
0.0175	0.00239765
0.018	0.00239748
0.0185	0.00239778
0.019	0.00239764
0.0195	0.00239631
0.02	0.00239542
0.0205	0.00239629
0.021	0.00239701
0.0215	0.0023959
0.022	0.00239643
0.0225	0.00239823
0.023	0.00239646
0.0235	0.00239652
0.024	0.00239701
0.0245	0.00239788
0.025	0.0023972
0.0255	0.0023979
0.026	0.00239742
0.0265	0.002396
0.027	0.00239646
0.0275	0.00239645
0.028	0.00239586
0.0285	0.00239611
0.029	0.00239678
0.0295	0.00239696
0.03	0.00239622
0.0305	0.00239652
0.031	0.0023948
0.0315	0.00239642
0.032	0.0023968
0.0325	0.00239591
0.033	0.00239606
0.0335	0.00239793
0.034	0.00239635
0.0345	0.00239658
0.035	0.00239601
0.0355	0.0023998
0.036	0.00239784
0.0365	0.00239624
0.037	0.00239743
0.0375	0.0023964
0.038	0.0023985
0.0385	0.00239731
0.039	0.00239738
0.0395	0.00239736
0.04	0.0023982
0.0405	0.00239591
0.041	0.00239598
0.0415	0.00239653
0.042	0.00239779
0.0425	0.00239523
0.043	0.00239437
0.0435	0.00239624
0.044	0.0023972
0.0445	0.00239631
0.045	0.00239697
0.0455	0.00239545
0.046	0.00239535
0.0465	0.00239732
0.047	0.00239541
0.0475	0.00239596
0.048	0.00239662
0.0485	0.00239676
0.049	0.00239615
0.0495	0.00239762
0.05	0.00239666
0.0505	0.00239748
0.051	0.00239683
0.0515	0.00239726
0.052	0.00239737
0.0525	0.00239621
0.053	0.0023958
0.0535	0.00239744
0.054	0.00239729
0.0545	0.00239601
0.055	0.00239653
0.0555	0.00239641
0.056	0.00239692
0.0565	0.00239756
0.057	0.0023976
0.0575	0.00239567
0.058	0.00239684
0.0585	0.00239638
0.059	0.00239679
0.0595	0.00239719
0.06	0.00239737
0.0605	0.00239676
0.061	0.00239639
0.0615	0.00239603
0.062	0.00239526
0.0625	0.0023978
0.063	0.00239566
0.0635	0.00239577
0.064	0.00239739
0.0645	0.00239597
0.065	0.00239602
0.0655	0.00239741
0.066	0.00239737
0.0665	0.00239617
0.067	0.00239726
0.0675	0.00239841
0.068	0.00239816
0.0685	0.00239696
0.069	0.0023971
0.0695	0.00239615
0.07	0.00239663
0.0705	0.00239795
0.071	0.00239758
0.0715	0.00239684
0.072	0.00239611
0.0725	0.00239739
0.073	0.00239881
0.0735	0.00239671
0.074	0.0023981
0.0745	0.00239817
0.075	0.00239798
0.0755	0.002397
0.076	0.00239674
0.0765	0.00239642
0.077	0.00239548
0.0775	0.00239729
0.078	0.00239663
0.0785	0.00239507
0.079	0.00239597
0.0795	0.00239623
0.08	0.00239753
0.0805	0.0023962
0.081	0.00239586
0.0815	0.00239753
0.082	0.00239695
0.0825	0.00239703
0.083	0.00239597
0.0835	0.00239589
0.084	0.00239829
0.0845	0.00239954
0.085	0.0023976
0.0855	0.0023985
0.086	0.00239833
0.0865	0.00239558
0.087	0.00239648
0.0875	0.00239573
0.088	0.00239761
0.0885	0.00239609
0.089	0.00239774
0.0895	0.00239653
0.09	0.00239801
0.0905	0.00239832
0.091	0.00239678
0.0915	0.00239666
0.092	0.00239818
0.0925	0.00239688
0.093	0.00239772
0.0935	0.0023958
0.094	0.00239496
0.0945	0.00239504
0.095	0.0023953
0.0955	0.00239703
0.096	0.00239605
0.0965	0.00239677
0.097	0.00239526
0.0975	0.00239657
0.098	0.00239645
0.0985	0.00239665
0.099	0.00239661
0.0995	0.00239686
0.1	0.00239734
0.1005	0.00239647
0.101	0.00239666
0.1015	0.002397
0.102	0.0023968
0.1025	0.00239795
0.103	0.00239621
0.1035	0.00239608
0.104	0.00239796
0.1045	0.0023986
0.105	0.0023986
0.1055	0.00239635
0.106	0.00239667
0.1065	0.00239813
0.107	0.00239699
0.1075	0.00239771
0.108	0.00239677
0.1085	0.00239587
0.109	0.0023959
0.1095	0.00239665
0.11	0.0023954
0.1105	0.00239647
0.111	0.00239589
0.1115	0.00239541
0.112	0.00239745
0.1125	0.00239663
0.113	0.00239444
0.1135	0.00239815
0.114	0.00239671
0.1145	0.00239734
0.115	0.00239571
0.1155	0.00239572
0.116	0.00239777
0.1165	0.00239777
0.117	0.00239763
0.1175	0.00239618
0.118	0.00239631
0.1185	0.0023972
0.119	0.00239763
0.1195	0.00239738
0.12	0.00239809
0.1205	0.00239626
0.121	0.00239633
0.1215	0.00239639
0.122	0.00239696
0.1225	0.00239522
0.123	0.00239594
0.1235	0.0023973
0.124	0.00239543
0.1245	0.00239618
0.125	0.00239576
0.1255	0.00239631
0.126	0.00239532
0.1265	0.00239678
0.127	0.00239519
0.1275	0.0023972
0.128	0.00239636
0.1285	0.0023959
0.129	0.00239829
0.1295	0.00239557
0.13	0.00239567
0.1305	0.0023972
0.131	0.00239619
0.1315	0.00239717
0.132	0.0023976
0.1325	0.00239692
0.133	0.00239619
0.1335	0.00239671
0.134	0.00239783
0.1345	0.00239833
0.135	0.0023973
0.1355	0.00239705
0.136	0.00239539
0.1365	0.00239861
0.137	0.00239717
0.1375	0.00239742
0.138	0.00239739
0.1385	0.00239851
0.139	0.00239681
0.1395	0.00239616
0.14	0.00239775
0.1405	0.00239612
0.141	0.00239745
0.1415	0.00239699
0.142	0.00239681
0.1425	0.00239563
0.143	0.00239741
0.1435	0.00239588
0.144	0.00239489
0.1445	0.00239733
0.145	0.002397
0.1455	0.00239663
0.146	0.00239539
0.1465	0.00239722
0.147	0.00239573
0.1475	0.00239614
0.148	0.00239683
0.1485	0.00239741
0.149	0.00239669
0.1495	0.00239735
0.15	0.00239742
0.1505	0.00239737
0.151	0.00239825
0.1515	0.00239774
0.152	0.0023974
0.1525	0.00239694
0.153	0.00239724
0.1535	0.00239628
0.154	0.00239763
0.1545	0.0023971
0.155	0.00239787
0.1555	0.00239702
0.156	0.00239803
0.1565	0.00239498
0.157	0.0023966
0.1575	0.00239711
0.158	0.00239636
0.1585	0.00239692
0.159	0.00239503
0.1595	0.00239742
0.16	0.00239755
0.1605	0.00239518
0.161	0.00239564
0.1615	0.00239707
0.162	0.00239566
0.1625	0.00239589
0.163	0.00239684
0.1635	0.00239712
0.164	0.00239721
0.1645	0.00239609
0.165	0.00239681
0.1655	0.00239844
0.166	0.00239637
0.1665	0.00239622
0.167	0.00239667
0.1675	0.00239722
0.168	0.00239563
0.1685	0.00239884
0.169	0.00239901
0.1695	0.00239653
0.17	0.00239919
0.1705	0.002398
0.171	0.0023986
0.1715	0.00239819
0.172	0.00239729
0.1725	0.00239617
0.173	0.0023977
0.1735	0.00239464
0.174	0.00239639
0.1745	0.00239582
0.175	0.00239719
0.1755	0.00239861
0.176	0.00239509
0.1765	0.00239472
0.177	0.0023952
0.1775	0.00239676
0.178	0.00239508
0.1785	0.00239653
0.179	0.00239506
0.1795	0.00239513
0.18	0.00239756
0.1805	0.00239617
0.181	0.00239759
0.1815	0.00239748
0.182	0.00239707
0.1825	0.00239697
0.183	0.00239736
0.1835	0.00239676
0.184	0.00239647
0.1845	0.00239649
0.185	0.0023966
0.1855	0.00239849
0.186	0.00239665
0.1865	0.00239586
0.187	0.00239837
0.1875	0.00239829
0.188	0.00239759
0.1885	0.00239714
0.189	0.00239773
0.1895	0.00239495
0.19	0.00239738
0.1905	0.00239797
0.191	0.00239847
0.1915	0.00239846
0.192	0.00239672
0.1925	0.00239639
0.193	0.00239534
0.1935	0.0023964
0.194	0.00239782
0.1945	0.00239623
0.195	0.00239576
0.1955	0.00239549
0.196	0.0023964
0.1965	0.00239618
0.197	0.00239684
0.1975	0.00239635
0.198	0.00239689
0.1985	0.00239706
0.199	0.00239711
0.1995	0.00239649
0.2	0.00239679
0.2005	0.00239769
0.201	0.00239579
0.2015	0.00239641
0.202	0.00239829
0.2025	0.00239684
0.203	0.002398
0.2035	0.00239642
