Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	1.68362	0	1.73205	0	3.24627
0.000488	1.68379	0.000488	1.72383	0.000488	3.24569
0.000977	1.68383	0.000977	1.71996	0.000977	3.2477
0.001465	1.68355	0.001465	1.72075	0.001465	3.2464
0.001953	1.68344	0.001953	1.72435	0.001953	3.24698
0.002441	1.68352	0.002441	1.72955	0.002441	3.24729
0.00293	1.68342	0.00293	1.73843	0.00293	3.24671
0.003418	1.68342	0.003418	1.7479	0.003418	3.24702
0.003906	1.68364	0.003906	1.75935	0.003906	3.24682
0.004395	1.68328	0.004395	1.77388	0.004395	3.24692
0.004883	1.68283	0.004883	1.78922	0.004883	3.2478
0.005371	1.6826	0.005371	1.80373	0.005371	3.24714
0.005859	1.68263	0.005859	1.81831	0.005859	3.24718
0.006348	1.68219	0.006348	1.83295	0.006348	3.24737
0.006836	1.68281	0.006836	1.8474	0.006836	3.24825
0.007324	1.68164	0.007324	1.86138	0.007324	3.24838
0.007812	1.68091	0.007812	1.8724	0.007812	3.24774
0.008301	1.681	0.008301	1.88286	0.008301	3.24799
0.008789	1.68048	0.008789	1.8909	0.008789	3.24836
0.009277	1.68086	0.009277	1.89638	0.009277	3.24823
0.009766	1.68115	0.009766	1.90031	0.009766	3.24937
0.010254	1.68102	0.010254	1.90149	0.010254	3.24903
0.010742	1.68116	0.010742	1.90008	0.010742	3.24936
0.01123	1.68101	0.01123	1.89683	0.01123	3.24865
0.011719	1.68103	0.011719	1.89173	0.011719	3.24851
0.012207	1.68081	0.012207	1.88488	0.012207	3.24936
0.012695	1.68092	0.012695	1.87614	0.012695	3.24925
0.013184	1.6806	0.013184	1.86638	0.013184	3.24904
0.013672	1.68064	0.013672	1.85533	0.013672	3.24978
0.01416	1.68038	0.01416	1.84224	0.01416	3.24886
0.014648	1.68084	0.014648	1.82977	0.014648	3.24929
0.015137	1.68103	0.015137	1.81581	0.015137	3.24971
0.015625	1.68069	0.015625	1.80271	0.015625	3.24859
0.016113	1.67984	0.016113	1.79089	0.016113	3.24941
0.016602	1.67902	0.016602	1.77891	0.016602	3.24971
0.01709	1.67858	0.01709	1.76804	0.01709	3.24881
0.017578	1.67714	0.017578	1.75841	0.017578	3.249
0.018066	1.67728	0.018066	1.75026	0.018066	3.24893
0.018555	1.67747	0.018555	1.74453	0.018555	3.24921
0.019043	1.67746	0.019043	1.73988	0.019043	3.24977
0.019531	1.67788	0.019531	1.7359	0.019531	3.24994
0.02002	1.67838	0.02002	1.73352	0.02002	3.24962
0.020508	1.67851	0.020508	1.73393	0.020508	3.2491
0.020996	1.67879	0.020996	1.73604	0.020996	3.25027
0.021484	1.67897	0.021484	1.73905	0.021484	3.25054
0.021973	1.67906	0.021973	1.74259	0.021973	3.25007
0.022461	1.67915	0.022461	1.74824	0.022461	3.25127
0.022949	1.67901	0.022949	1.75618	0.022949	3.25032
0.023437	1.67951	0.023437	1.76492	0.023437	3.24957
0.023926	1.67953	0.023926	1.77646	0.023926	3.24958
0.024414	1.67972	0.024414	1.78743	0.024414	3.25062
0.024902	1.67948	0.024902	1.79925	0.024902	3.24986
0.025391	1.67945	0.025391	1.81078	0.025391	3.25031
0.025879	1.67978	0.025879	1.82301	0.025879	3.2502
0.026367	1.67958	0.026367	1.83569	0.026367	3.24972
0.026855	1.67994	0.026855	1.84622	0.026855	3.24995
0.027344	1.67959	0.027344	1.85644	0.027344	3.24934
0.027832	1.68017	0.027832	1.8656	0.027832	3.24979
0.02832	1.68006	0.02832	1.87349	0.02832	3.24968
0.028809	1.67979	0.028809	1.87992	0.028809	3.24973
0.029297	1.68004	0.029297	1.88483	0.029297	3.24966
0.029785	1.68055	0.029785	1.88821	0.029785	3.24916
