Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.19858	0	1.80295	0	0.984676
0.000488	2.19834	0.000488	1.80312	0.000488	0.984604
0.000977	2.19859	0.000977	1.80308	0.000977	0.985378
0.001465	2.1985	0.001465	1.8032	0.001465	0.985279
0.001953	2.19881	0.001953	1.8033	0.001953	0.985527
0.002441	2.19846	0.002441	1.80301	0.002441	0.986512
0.00293	2.19865	0.00293	1.8035	0.00293	0.984837
0.003418	2.19832	0.003418	1.80404	0.003418	0.985706
0.003906	2.19857	0.003906	1.80383	0.003906	0.986284
0.004395	2.19875	0.004395	1.80403	0.004395	0.985708
0.004883	2.19813	0.004883	1.80359	0.004883	0.985979
0.005371	2.19811	0.005371	1.80372	0.005371	0.986128
0.005859	2.19794	0.005859	1.80389	0.005859	0.985808
0.006348	2.19772	0.006348	1.80427	0.006348	0.985984
0.006836	2.19826	0.006836	1.80408	0.006836	0.985847
0.007324	2.19793	0.007324	1.8041	0.007324	0.986599
0.007812	2.19792	0.007812	1.80394	0.007812	0.986669
0.008301	2.19787	0.008301	1.80394	0.008301	0.986321
0.008789	2.19787	0.008789	1.8037	0.008789	0.984924
0.009277	2.19758	0.009277	1.80422	0.009277	0.986163
0.009766	2.19783	0.009766	1.80361	0.009766	0.986011
0.010254	2.19751	0.010254	1.80379	0.010254	0.985862
0.010742	2.19748	0.010742	1.80342	0.010742	0.986172
0.01123	2.19708	0.01123	1.80436	0.01123	0.986329
0.011719	2.19771	0.011719	1.80404	0.011719	0.98679
0.012207	2.19721	0.012207	1.80452	0.012207	0.986684
0.012695	2.19714	0.012695	1.80514	0.012695	0.986959
0.013184	2.19744	0.013184	1.80456	0.013184	0.986244
0.013672	2.19732	0.013672	1.8048	0.013672	0.985867
0.01416	2.19692	0.01416	1.80529	0.01416	0.985929
0.014648	2.19698	0.014648	1.80493	0.014648	0.986167
0.015137	2.1972	0.015137	1.80443	0.015137	0.986304
0.015625	2.1975	0.015625	1.80431	0.015625	0.986676
0.016113	2.19757	0.016113	1.80443	0.016113	0.98655
0.016602	2.19774	0.016602	1.80444	0.016602	0.986656
0.01709	2.19771	0.01709	1.80453	0.01709	0.98689
0.017578	2.19762	0.017578	1.80414	0.017578	0.986659
0.018066	2.19755	0.018066	1.80433	0.018066	0.987168
0.018555	2.19798	0.018555	1.80372	0.018555	0.986294
0.019043	2.1979	0.019043	1.80381	0.019043	0.987058
0.019531	2.1978	0.019531	1.80461	0.019531	0.986619
0.02002	2.1978	0.02002	1.80376	0.02002	0.986862
0.020508	2.19759	0.020508	1.80413	0.020508	0.986599
0.020996	2.19778	0.020996	1.80368	0.020996	0.986644
0.021484	2.19741	0.021484	1.80338	0.021484	0.986234
0.021973	2.19725	0.021973	1.80348	0.021973	0.986383
0.022461	2.19728	0.022461	1.80348	0.022461	0.986359
0.022949	2.19689	0.022949	1.80353	0.022949	0.986383
0.023437	2.1969	0.023437	1.80325	0.023437	0.986046
0.023926	2.19705	0.023926	1.80378	0.023926	0.986823
0.024414	2.19704	0.024414	1.80337	0.024414	0.985959
0.024902	2.19678	0.024902	1.80316	0.024902	0.98585
0.025391	2.19671	0.025391	1.8032	0.025391	0.98688
0.025879	2.197	0.025879	1.80338	0.025879	0.986634
0.026367	2.19701	0.026367	1.80319	0.026367	0.987001
0.026855	2.19714	0.026855	1.8027	0.026855	0.987048
0.027344	2.19695	0.027344	1.80241	0.027344	0.987356
0.027832	2.19655	0.027832	1.80503	0.027832	0.986244
0.02832	2.19678	0.02832	1.8046	0.02832	0.986287
0.028809	2.19666	0.028809	1.80359	0.028809	0.987557
0.029297	2.19672	0.029297	1.80351	0.029297	0.98681
0.029785	2.19637	0.029785	1.80754	0.029785	0.987014
0.030273	2.19642	0.030273	1.81089	0.030273	0.986977
0.030762	2.19697	0.030762	1.80675	0.030762	0.986579
0.03125	2.19714	0.03125	1.80386	0.03125	0.986259
0.031738	2.19694	0.031738	1.80413	0.031738	0.986001
0.032227	2.19702	0.032227	1.80728	0.032227	0.987061
0.032715	2.19709	0.032715	1.80724	0.032715	0.985572
0.033203	2.19724	0.033203	1.80562	0.033203	0.986654
0.033691	2.19708	0.033691	1.80327	0.033691	0.986637
0.03418	2.19724	0.03418	1.80302	0.03418	0.986185
0.034668	2.1974	0.034668	1.80349	0.034668	0.986753
0.035156	2.19735	0.035156	1.80158	0.035156	0.98724
0.035645	2.19749	0.035645	1.79923	0.035645	0.986148
0.036133	2.198	0.036133	1.79988	0.036133	0.985622
0.036621	2.19789	0.036621	1.80008	0.036621	0.986421
0.037109	2.1974	0.037109	1.80012	0.037109	0.987011
0.037598	2.19752	0.037598	1.79904	0.037598	0.987776
0.038086	2.19736	0.038086	1.79859	0.038086	0.985731
0.038574	2.19773	0.038574	1.79983	0.038574	0.985247
0.039062	2.19769	0.039062	1.79993	0.039062	0.986463
0.039551	2.19769	0.039551	1.79972	0.039551	0.986818
0.040039	2.19792	0.040039	1.80066	0.040039	0.986892
0.040527	2.1979	0.040527	1.80126	0.040527	0.986056
0.041016	2.1982	0.041016	1.80183	0.041016	0.986048
0.041504	2.19788	0.041504	1.80116	0.041504	0.987061
0.041992	2.19799	0.041992	1.80163	0.041992	0.987091
0.04248	2.19767	0.04248	1.80334	0.04248	0.987088
0.042969	2.19775	0.042969	1.80483	0.042969	0.98585
0.043457	2.19778	0.043457	1.80503	0.043457	0.98513
0.043945	2.19757	0.043945	1.8041	0.043945	0.985855
0.044434	2.1974	0.044434	1.80379	0.044434	0.987446
0.044922	2.1972	0.044922	1.80528	0.044922	0.985917
0.04541	2.19733	0.04541	1.80493	0.04541	0.985619
0.045898	2.19748	0.045898	1.80419	0.045898	0.985798
0.046387	2.19737	0.046387	1.8047	0.046387	0.986225
0.046875	2.19746	0.046875	1.80379	0.046875	0.987024
