Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.14098	0	1.29996	0	0.978873
0.000488	2.14096	0.000488	1.30047	0.000488	0.978732
0.000977	2.14098	0.000977	1.30091	0.000977	0.979625
0.001465	2.14099	0.001465	1.29833	0.001465	0.978893
0.001953	2.14095	0.001953	1.29861	0.001953	0.979243
0.002441	2.14102	0.002441	1.29609	0.002441	0.978684
0.00293	2.141	0.00293	1.29889	0.00293	0.978744
0.003418	2.14099	0.003418	1.30217	0.003418	0.97791
0.003906	2.14099	0.003906	1.30176	0.003906	0.979136
0.004395	2.14093	0.004395	1.29994	0.004395	0.979116
0.004883	2.14096	0.004883	1.30021	0.004883	0.978672
0.005371	2.14102	0.005371	1.29798	0.005371	0.979178
0.005859	2.14095	0.005859	1.29806	0.005859	0.978744
0.006348	2.141	0.006348	1.3023	0.006348	0.979054
0.006836	2.14095	0.006836	1.30198	0.006836	0.978334
0.007324	2.14095	0.007324	1.2979	0.007324	0.97822
0.007812	2.14097	0.007812	1.29998	0.007812	0.978188
0.008301	2.14096	0.008301	1.29913	0.008301	0.97833
0.008789	2.14099	0.008789	1.29901	0.008789	0.978811
0.009277	2.14091	0.009277	1.30409	0.009277	0.978545
0.009766	2.14097	0.009766	1.30144	0.009766	0.978248
0.010254	2.14099	0.010254	1.30084	0.010254	0.977565
0.010742	2.14099	0.010742	1.29596	0.010742	0.978717
0.01123	2.14097	0.01123	1.29628	0.01123	0.978642
0.011719	2.14099	0.011719	1.30039	0.011719	0.978679
0.012207	2.14101	0.012207	1.29971	0.012207	0.978141
0.012695	2.141	0.012695	1.29927	0.012695	0.978734
0.013184	2.14096	0.013184	1.29995	0.013184	0.978781
0.013672	2.14094	0.013672	1.29919	0.013672	0.978089
0.01416	2.141	0.01416	1.29873	0.01416	0.978642
0.014648	2.14093	0.014648	1.30213	0.014648	0.97821
0.015137	2.14104	0.015137	1.30109	0.015137	0.978106
0.015625	2.141	0.015625	1.30091	0.015625	0.978061
0.016113	2.14102	0.016113	1.30137	0.016113	0.978652
0.016602	2.14102	0.016602	1.30375	0.016602	0.978245
0.01709	2.14099	0.01709	1.29836	0.01709	0.978806
