Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.16606	0	1.29926	0	0
0.000488	2.16604	0.000488	1.29763	0.000488	0
0.000977	2.16605	0.000977	1.29745	0.000977	0
0.001465	2.16607	0.001465	1.29766	0.001465	0
0.001953	2.16604	0.001953	1.29801	0.001953	0
0.002441	2.16609	0.002441	1.29966	0.002441	0
0.00293	2.16605	0.00293	1.29862	0.00293	0
0.003418	2.16608	0.003418	1.29811	0.003418	0
0.003906	2.16607	0.003906	1.30206	0.003906	0
0.004395	2.16605	0.004395	1.30056	0.004395	0
0.004883	2.16608	0.004883	1.29834	0.004883	0
0.005371	2.16605	0.005371	1.30083	0.005371	0
0.005859	2.16605	0.005859	1.30079	0.005859	0
0.006348	2.16603	0.006348	1.29885	0.006348	0
0.006836	2.16608	0.006836	1.29616	0.006836	0
0.007324	2.16606	0.007324	1.29993	0.007324	0
0.007812	2.16608	0.007812	1.29944	0.007812	0
0.008301	2.16604	0.008301	1.29952	0.008301	0
0.008789	2.16603	0.008789	1.30087	0.008789	0
0.009277	2.16607	0.009277	1.29767	0.009277	0
0.009766	2.16609	0.009766	1.29927	0.009766	0
0.010254	2.16607	0.010254	1.29829	0.010254	0
0.010742	2.16604	0.010742	1.29898	0.010742	0
0.01123	2.16609	0.01123	1.29647	0.01123	0
0.011719	2.16603	0.011719	1.2948	0.011719	0
0.012207	2.1661	0.012207	1.29785	0.012207	0
0.012695	2.16603	0.012695	1.29925	0.012695	0
0.013184	2.16606	0.013184	1.29803	0.013184	0
0.013672	2.16605	0.013672	1.2962	0.013672	0
0.01416	2.16601	0.01416	1.2995	0.01416	0
0.014648	2.16611	0.014648	1.30103	0.014648	0
0.015137	2.16607	0.015137	1.29603	0.015137	0
0.015625	2.16607	0.015625	1.29419	0.015625	0
0.016113	2.16603	0.016113	1.29574	0.016113	0
0.016602	2.16605	0.016602	1.29956	0.016602	0
0.01709	2.16604	0.01709	1.30125	0.01709	0
0.017578	2.16606	0.017578	1.29897	0.017578	0
0.018066	2.16605	0.018066	1.29809	0.018066	0
0.018555	2.16606	0.018555	1.30051	0.018555	0
0.019043	2.16611	0.019043	1.3026	0.019043	0
0.019531	2.16601	0.019531	1.30175	0.019531	0
0.02002	2.16605	0.02002	1.29957	0.02002	0
0.020508	2.16607	0.020508	1.29906	0.020508	0
0.020996	2.16605	0.020996	1.30023	0.020996	0
0.021484	2.16607	0.021484	1.29762	0.021484	0
0.021973	2.16604	0.021973	1.29419	0.021973	0
0.022461	2.166	0.022461	1.29859	0.022461	0
0.022949	2.16605	0.022949	1.29723	0.022949	0
0.023437	2.16607	0.023437	1.29585	0.023437	0
0.023926	2.16604	0.023926	1.30072	0.023926	0
0.024414	2.16605	0.024414	1.3014	0.024414	0
