Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.16043	0	1.30101	0	0.540574
0.000488	2.16034	0.000488	1.30028	0.000488	0.540189
0.000977	2.16038	0.000977	1.30156	0.000977	0.540824
0.001465	2.16036	0.001465	1.30403	0.001465	0.540224
0.001953	2.16037	0.001953	1.30128	0.001953	0.540393
0.002441	2.1604	0.002441	1.29753	0.002441	0.540095
0.00293	2.16036	0.00293	1.29823	0.00293	0.539807
0.003418	2.16042	0.003418	1.29929	0.003418	0.540095
0.003906	2.1604	0.003906	1.3008	0.003906	0.540219
0.004395	2.16039	0.004395	1.29975	0.004395	0.539981
0.004883	2.16034	0.004883	1.30104	0.004883	0.540676
0.005371	2.16041	0.005371	1.29835	0.005371	0.540534
0.005859	2.16038	0.005859	1.30076	0.005859	0.540365
0.006348	2.1604	0.006348	1.29758	0.006348	0.541222
0.006836	2.16031	0.006836	1.29948	0.006836	0.541063
0.007324	2.1604	0.007324	1.30058	0.007324	0.540127
0.007812	2.16039	0.007812	1.30194	0.007812	0.539784
0.008301	2.16035	0.008301	1.29945	0.008301	0.540996
0.008789	2.16039	0.008789	1.29919	0.008789	0.540748
0.009277	2.16037	0.009277	1.30323	0.009277	0.540134
0.009766	2.16039	0.009766	1.30144	0.009766	0.538444
0.010254	2.16041	0.010254	1.30159	0.010254	0.540785
0.010742	2.16042	0.010742	1.30138	0.010742	0.540494
0.01123	2.16035	0.01123	1.30001	0.01123	0.540723
0.011719	2.16038	0.011719	1.29908	0.011719	0.541519
0.012207	2.16037	0.012207	1.29853	0.012207	0.540643
0.012695	2.16046	0.012695	1.30211	0.012695	0.540407
0.013184	2.16037	0.013184	1.3008	0.013184	0.539646
0.013672	2.16043	0.013672	1.29857	0.013672	0.540331
0.01416	2.1604	0.01416	1.29861	0.01416	0.540703
0.014648	2.1604	0.014648	1.29679	0.014648	0.540743
0.015137	2.16039	0.015137	1.30052	0.015137	0.540336
0.015625	2.1604	0.015625	1.30038	0.015625	0.54035
0.016113	2.16037	0.016113	1.30258	0.016113	0.540045
0.016602	2.16039	0.016602	1.29888	0.016602	0.540378
0.01709	2.1604	0.01709	1.29584	0.01709	0.539966
0.017578	2.16038	0.017578	1.29826	0.017578	0.540596
0.018066	2.1604	0.018066	1.30134	0.018066	0.53969
0.018555	2.16037	0.018555	1.29887	0.018555	0.540499
0.019043	2.16038	0.019043	1.29705	0.019043	0.539864
0.019531	2.1604	0.019531	1.29892	0.019531	0.539817
0.02002	2.16041	0.02002	1.30286	0.02002	0.540164
0.020508	2.16043	0.020508	1.30092	0.020508	0.540546
0.020996	2.1604	0.020996	1.30026	0.020996	0.54078
0.021484	2.16037	0.021484	1.30016	0.021484	0.539368
0.021973	2.16042	0.021973	1.30161	0.021973	0.540435
0.022461	2.16041	0.022461	1.30256	0.022461	0.54072
0.022949	2.16037	0.022949	1.29859	0.022949	0.540581
0.023437	2.16039	0.023437	1.29475	0.023437	0.540398
0.023926	2.1604	0.023926	1.29807	0.023926	0.540497
0.024414	2.16032	0.024414	1.29967	0.024414	0.540082
0.024902	2.16044	0.024902	1.29826	0.024902	0.540318
0.025391	2.16042	0.025391	1.30049	0.025391	0.540273
0.025879	2.16044	0.025879	1.30044	0.025879	0.540167
0.026367	2.16037	0.026367	1.2974	0.026367	0.539953
0.026855	2.16041	0.026855	1.2994	0.026855	0.540385
0.027344	2.16042	0.027344	1.30145	0.027344	0.540259
0.027832	2.1604	0.027832	1.29761	0.027832	0.539621
0.02832	2.16036	0.02832	1.29794	0.02832	0.540415
0.028809	2.16045	0.028809	1.29996	0.028809	0.540569
0.029297	2.16042	0.029297	1.30003	0.029297	0.540549
0.029785	2.16043	0.029785	1.30315	0.029785	0.539981
0.030273	2.16037	0.030273	1.29918	0.030273	0.539981
0.030762	2.16043	0.030762	1.29977	0.030762	0.541398
0.03125	2.16042	0.03125	1.30147	0.03125	0.539596
0.031738	2.1604	0.031738	1.3	0.031738	0.53971
0.032227	2.16044	0.032227	1.29887	0.032227	0.53968
0.032715	2.16044	0.032715	1.30148	0.032715	0.539499
0.033203	2.16042	0.033203	1.30086	0.033203	0.540745
0.033691	2.16039	0.033691	1.29826	0.033691	0.540373
0.03418	2.16042	0.03418	1.30161	0.03418	0.540204
0.034668	2.16037	0.034668	1.30363	0.034668	0.539963
0.035156	2.16038	0.035156	1.29832	0.035156	0.539981
0.035645	2.16042	0.035645	1.29599	0.035645	0.539603
0.036133	2.16045	0.036133	1.29908	0.036133	0.540142
0.036621	2.1604	0.036621	1.30096	0.036621	0.540065
0.037109	2.16045	0.037109	1.29745	0.037109	0.540261
0.037598	2.16047	0.037598	1.29771	0.037598	0.539976
0.038086	2.16044	0.038086	1.29979	0.038086	0.540316
0.038574	2.16043	0.038574	1.29875	0.038574	0.539554
