Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0	1.12449	0	1.91457	0	4.38944
0.000488	1.12818	0.000488	1.91457	0.000488	4.38945
0.000977	1.12751	0.000977	1.91453	0.000977	4.38967
0.001465	1.1289	0.001465	1.91463	0.001465	4.38965
0.001953	1.13113	0.001953	1.91455	0.001953	4.38878
0.002441	1.1248	0.002441	1.9146	0.002441	4.38939
0.00293	1.1229	0.00293	1.91463	0.00293	4.38783
0.003418	1.1229	0.003418	1.91464	0.003418	4.38914
0.003906	1.1257	0.003906	1.9146	0.003906	4.38822
0.004395	1.12733	0.004395	1.9146	0.004395	4.38857
0.004883	1.1278	0.004883	1.91458	0.004883	4.39075
0.005371	1.12818	0.005371	1.91467	0.005371	4.39025
0.005859	1.1273	0.005859	1.91464	0.005859	4.38845
0.006348	1.12795	0.006348	1.91463	0.006348	4.38837
0.006836	1.12669	0.006836	1.9146	0.006836	4.3894
0.007324	1.12762	0.007324	1.91462	0.007324	4.38886
0.007812	1.12939	0.007812	1.91464	0.007812	4.38928
0.008301	1.12716	0.008301	1.91467	0.008301	4.3892
0.008789	1.12429	0.008789	1.91466	0.008789	4.38854
0.009277	1.12698	0.009277	1.9147	0.009277	4.38873
0.009766	1.12261	0.009766	1.91467	0.009766	4.38882
0.010254	1.12737	0.010254	1.91466	0.010254	4.38925
0.010742	1.128	0.010742	1.91472	0.010742	4.38888
0.01123	1.12712	0.01123	1.91465	0.01123	4.38839
0.011719	1.12806	0.011719	1.91464	0.011719	4.3893
0.012207	1.12635	0.012207	1.91471	0.012207	4.3898
0.012695	1.12754	0.012695	1.91473	0.012695	4.3896
0.013184	1.12581	0.013184	1.91469	0.013184	4.38843
0.013672	1.12493	0.013672	1.91465	0.013672	4.38926
0.01416	1.12929	0.01416	1.91468	0.01416	4.38901
0.014648	1.12951	0.014648	1.91469	0.014648	4.38961
0.015137	1.12538	0.015137	1.91467	0.015137	4.39024
0.015625	1.12478	0.015625	1.91465	0.015625	4.38914
0.016113	1.12613	0.016113	1.91468	0.016113	4.38921
0.016602	1.12757	0.016602	1.91461	0.016602	4.38962
0.01709	1.12229	0.01709	1.91461	0.01709	4.38934
0.017578	1.12561	0.017578	1.91454	0.017578	4.38876
0.018066	1.12757	0.018066	1.91457	0.018066	4.38883
0.018555	1.12352	0.018555	1.91461	0.018555	4.38972
0.019043	1.12877	0.019043	1.91451	0.019043	4.38977
0.019531	1.12717	0.019531	1.91447	0.019531	4.39031
0.02002	1.12374	0.02002	1.91452	0.02002	4.38926
0.020508	1.12571	0.020508	1.91444	0.020508	4.39004
0.020996	1.12207	0.020996	1.91442	0.020996	4.39038
0.021484	1.12427	0.021484	1.91438	0.021484	4.39089
0.021973	1.12817	0.021973	1.91431	0.021973	4.39032
0.022461	1.12336	0.022461	1.91424	0.022461	4.39082
0.022949	1.12795	0.022949	1.91419	0.022949	4.38981
0.023437	1.12457	0.023437	1.91417	0.023437	4.39053
0.023926	1.12685	0.023926	1.91415	0.023926	4.39096
0.024414	1.12626	0.024414	1.91403	0.024414	4.39048
0.024902	1.12729	0.024902	1.91396	0.024902	4.39064
0.025391	1.12515	0.025391	1.91386	0.025391	4.39069
0.025879	1.12294	0.025879	1.91377	0.025879	4.39072
0.026367	1.12272	0.026367	1.91371	0.026367	4.39131
0.026855	1.12169	0.026855	1.91364	0.026855	4.39078
0.027344	1.12456	0.027344	1.91359	0.027344	4.39098
0.027832	1.12287	0.027832	1.91358	0.027832	4.39109
0.02832	1.12315	0.02832	1.91368	0.02832	4.39007
0.028809	1.12404	0.028809	1.91366	0.028809	4.39092
0.029297	1.12416	0.029297	1.9137	0.029297	4.39128
0.029785	1.12416	0.029785	1.91367	0.029785	4.3905
0.030273	1.12259	0.030273	1.91367	0.030273	4.39117
0.030762	1.12073	0.030762	1.91381	0.030762	4.39161
0.03125	1.12008	0.03125	1.91382	0.03125	4.39172
0.031738	1.12091	0.031738	1.91378	0.031738	4.3918
0.032227	1.12114	0.032227	1.9137	0.032227	4.39104
0.032715	1.12298	0.032715	1.91374	0.032715	4.39113
0.033203	1.12231	0.033203	1.91369	0.033203	4.39167
0.033691	1.12079	0.033691	1.91368	0.033691	4.392
0.03418	1.12268	0.03418	1.91362	0.03418	4.39142
0.034668	1.12533	0.034668	1.91359	0.034668	4.39124
0.035156	1.12563	0.035156	1.91366	0.035156	4.39197
0.035645	1.1233	0.035645	1.91369	0.035645	4.39221
0.036133	1.12144	0.036133	1.91356	0.036133	4.39235
0.036621	1.12233	0.036621	1.91351	0.036621	4.3919
0.037109	1.11968	0.037109	1.91356	0.037109	4.39132
0.037598	1.1232	0.037598	1.91353	0.037598	4.39297
0.038086	1.12262	0.038086	1.91343	0.038086	4.39305
0.038574	1.12297	0.038574	1.91334	0.038574	4.39272
0.039062	1.12593	0.039062	1.9134	0.039062	4.3924
0.039551	1.12504	0.039551	1.91336	0.039551	4.39243
0.040039	1.12552	0.040039	1.91338	0.040039	4.39156
0.040527	1.12482	0.040527	1.9134	0.040527	4.39249
0.041016	1.118	0.041016	1.91345	0.041016	4.39299
0.041504	1.12077	0.041504	1.91347	0.041504	4.39293
0.041992	1.12454	0.041992	1.91336	0.041992	4.39318
0.04248	1.12627	0.04248	1.91333	0.04248	4.39236
0.042969	1.12406	0.042969	1.91331	0.042969	4.39309
0.043457	1.12259	0.043457	1.91332	0.043457	4.39234
0.043945	1.12293	0.043945	1.91323	0.043945	4.3936
0.044434	1.12286	0.044434	1.91316	0.044434	4.3936
0.044922	1.12466	0.044922	1.91317	0.044922	4.39243
0.04541	1.1258	0.04541	1.91322	0.04541	4.39289
0.045898	1.12193	0.045898	1.91319	0.045898	4.39411
0.046387	1.11945	0.046387	1.91319	0.046387	4.3939
0.046875	1.12111	0.046875	1.91326	0.046875	4.39284
0.047363	1.12232	0.047363	1.91326	0.047363	4.39275
0.047852	1.1193	0.047852	1.91316	0.047852	4.3938
0.04834	1.12096	0.04834	1.91313	0.04834	4.39426
