Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0	1.12228	0	2.24186	0	1.23514
0.000488	1.12044	0.000488	2.24185	0.000488	1.23443
0.000977	1.12299	0.000977	2.24177	0.000977	1.23455
0.001465	1.12242	0.001465	2.24182	0.001465	1.23488
0.001953	1.12033	0.001953	2.2418	0.001953	1.23595
0.002441	1.12008	0.002441	2.2418	0.002441	1.23468
0.00293	1.1207	0.00293	2.24183	0.00293	1.2349
0.003418	1.12017	0.003418	2.2418	0.003418	1.23473
0.003906	1.12205	0.003906	2.24182	0.003906	1.23497
0.004395	1.11972	0.004395	2.24185	0.004395	1.23559
0.004883	1.1178	0.004883	2.24182	0.004883	1.23495
0.005371	1.12189	0.005371	2.2418	0.005371	1.23481
0.005859	1.12113	0.005859	2.24184	0.005859	1.23681
0.006348	1.12355	0.006348	2.24182	0.006348	1.23634
0.006836	1.12304	0.006836	2.24181	0.006836	1.23529
0.007324	1.12227	0.007324	2.24183	0.007324	1.2349
0.007812	1.12076	0.007812	2.24183	0.007812	1.23587
0.008301	1.12024	0.008301	2.24182	0.008301	1.23448
0.008789	1.12504	0.008789	2.24179	0.008789	1.23516
0.009277	1.12589	0.009277	2.24182	0.009277	1.23393
0.009766	1.12489	0.009766	2.24179	0.009766	1.23458
0.010254	1.12381	0.010254	2.24184	0.010254	1.23477
0.010742	1.12351	0.010742	2.24181	0.010742	1.23366
0.01123	1.12317	0.01123	2.24182	0.01123	1.23542
0.011719	1.1224	0.011719	2.24179	0.011719	1.2347
0.012207	1.12141	0.012207	2.24183	0.012207	1.23437
0.012695	1.121	0.012695	2.24181	0.012695	1.23468
0.013184	1.12108	0.013184	2.24178	0.013184	1.23459
0.013672	1.12231	0.013672	2.24184	0.013672	1.2343
0.01416	1.12469	0.01416	2.24184	0.01416	1.23489
0.014648	1.12356	0.014648	2.2418	0.014648	1.23473
0.015137	1.12149	0.015137	2.24181	0.015137	1.23438
0.015625	1.12135	0.015625	2.2418	0.015625	1.2342
0.016113	1.12084	0.016113	2.24184	0.016113	1.23469
0.016602	1.11797	0.016602	2.24176	0.016602	1.23483
0.01709	1.12139	0.01709	2.24185	0.01709	1.23568
0.017578	1.12077	0.017578	2.24192	0.017578	1.23612
0.018066	1.11998	0.018066	2.24179	0.018066	1.23494
0.018555	1.12064	0.018555	2.24187	0.018555	1.23497
0.019043	1.12439	0.019043	2.24184	0.019043	1.23514
0.019531	1.12167	0.019531	2.2418	0.019531	1.23471
0.02002	1.12012	0.02002	2.24186	0.02002	1.23465
0.020508	1.12206	0.020508	2.24183	0.020508	1.2345
0.020996	1.12389	0.020996	2.24185	0.020996	1.23531
0.021484	1.12112	0.021484	2.24175	0.021484	1.2352
0.021973	1.12179	0.021973	2.24181	0.021973	1.23484
0.022461	1.12341	0.022461	2.24185	0.022461	1.23518
0.022949	1.12103	0.022949	2.24184	0.022949	1.23473
0.023437	1.12336	0.023437	2.24179	0.023437	1.23549
0.023926	1.12088	0.023926	2.24186	0.023926	1.23524
0.024414	1.1226	0.024414	2.24183	0.024414	1.23483
0.024902	1.12158	0.024902	2.24185	0.024902	1.23425
0.025391	1.12257	0.025391	2.2418	0.025391	1.23534
0.025879	1.12423	0.025879	2.24182	0.025879	1.23387
0.026367	1.12134	0.026367	2.24181	0.026367	1.23592
0.026855	1.12288	0.026855	2.24178	0.026855	1.23376
0.027344	1.12068	0.027344	2.24184	0.027344	1.23404
0.027832	1.1188	0.027832	2.24181	0.027832	1.23573
0.02832	1.12224	0.02832	2.24186	0.02832	1.23421
0.028809	1.12042	0.028809	2.24183	0.028809	1.23449
0.029297	1.12102	0.029297	2.24184	0.029297	1.2351
0.029785	1.12397	0.029785	2.24185	0.029785	1.23616
0.030273	1.1216	0.030273	2.24184	0.030273	1.23633
0.030762	1.1245	0.030762	2.24183	0.030762	1.23537
0.03125	1.12352	0.03125	2.24179	0.03125	1.23428
0.031738	1.12329	0.031738	2.24181	0.031738	1.23514
0.032227	1.12136	0.032227	2.2418	0.032227	1.23421
0.032715	1.11894	0.032715	2.24181	0.032715	1.23512
0.033203	1.11952	0.033203	2.24187	0.033203	1.23484
0.033691	1.12038	0.033691	2.24185	0.033691	1.23563
0.03418	1.12132	0.03418	2.24178	0.03418	1.2365
0.034668	1.12125	0.034668	2.24183	0.034668	1.23544
0.035156	1.12117	0.035156	2.24185	0.035156	1.23551
0.035645	1.12171	0.035645	2.24185	0.035645	1.23471
0.036133	1.12218	0.036133	2.24185	0.036133	1.23609
0.036621	1.12163	0.036621	2.24187	0.036621	1.23526
0.037109	1.12067	0.037109	2.24184	0.037109	1.23454
0.037598	1.12227	0.037598	2.24182	0.037598	1.23547
0.038086	1.12124	0.038086	2.24184	0.038086	1.23523
0.038574	1.12058	0.038574	2.24188	0.038574	1.2324
0.039062	1.12251	0.039062	2.2418	0.039062	1.2338
0.039551	1.1227	0.039551	2.24186	0.039551	1.23565
0.040039	1.11981	0.040039	2.24187	0.040039	1.23553
0.040527	1.11991	0.040527	2.24184	0.040527	1.23515
0.041016	1.11972	0.041016	2.24179	0.041016	1.23489
0.041504	1.12482	0.041504	2.24186	0.041504	1.23596
0.041992	1.12289	0.041992	2.24185	0.041992	1.23398
0.04248	1.12169	0.04248	2.24176	0.04248	1.23556
0.042969	1.12239	0.042969	2.24183	0.042969	1.23574
0.043457	1.12197	0.043457	2.24182	0.043457	1.23432
0.043945	1.12374	0.043945	2.24185	0.043945	1.23565
0.044434	1.12218	0.044434	2.24183	0.044434	1.23409
0.044922	1.12372	0.044922	2.24181	0.044922	1.23637
0.04541	1.12006	0.04541	2.24189	0.04541	1.23466
0.045898	1.12083	0.045898	2.24186	0.045898	1.23475
0.046387	1.12212	0.046387	2.24187	0.046387	1.23437
0.046875	1.12146	0.046875	2.24186	0.046875	1.23567
0.047363	1.12022	0.047363	2.24181	0.047363	1.23514
0.047852	1.12207	0.047852	2.24188	0.047852	1.2355
0.04834	1.12211	0.04834	2.24182	0.04834	1.23588
0.048828	1.12403	0.048828	2.24184	0.048828	1.235
0.049316	1.1228	0.049316	2.24187	0.049316	1.23505
0.049805	1.12399	0.049805	2.24181	0.049805	1.23489
0.050293	1.12418	0.050293	2.2418	0.050293	1.23515
0.050781	1.12239	0.050781	2.2418	0.050781	1.23416
0.05127	1.12102	0.05127	2.24185	0.05127	1.23424
0.051758	1.12248	0.051758	2.2418	0.051758	1.23595
0.052246	1.12396	0.052246	2.24181	0.052246	1.23514
0.052734	1.1244	0.052734	2.24184	0.052734	1.23528
0.053223	1.12347	0.053223	2.24184	0.053223	1.2347
0.053711	1.1248	0.053711	2.24185	0.053711	1.23464
0.054199	1.12452	0.054199	2.24181	0.054199	1.23442
0.054687	1.12162	0.054687	2.24184	0.054687	1.23471
0.055176	1.12388	0.055176	2.24189	0.055176	1.23546
0.055664	1.12235	0.055664	2.24182	0.055664	1.23415
0.056152	1.12164	0.056152	2.24181	0.056152	1.23497
0.056641	1.11846	0.056641	2.24186	0.056641	1.23455
0.057129	1.1216	0.057129	2.24182	0.057129	1.23497
0.057617	1.12255	0.057617	2.24181	0.057617	1.23492
0.058105	1.12139	0.058105	2.24182	0.058105	1.23531
0.058594	1.12351	0.058594	2.24173	0.058594	1.23391
0.059082	1.12824	0.059082	2.2418	0.059082	1.23469
0.05957	1.12551	0.05957	2.24177	0.05957	1.23468
0.060059	1.12165	0.060059	2.24185	0.060059	1.23484
0.060547	1.12105	0.060547	2.24187	0.060547	1.23408
0.061035	1.12151	0.061035	2.24179	0.061035	1.23413
0.061523	1.12211	0.061523	2.24185	0.061523	1.23503
0.062012	1.12075	0.062012	2.24187	0.062012	1.23499
0.0625	1.11907	0.0625	2.24186	0.0625	1.23592
0.062988	1.11881	0.062988	2.24185	0.062988	1.2353
0.063477	1.12142	0.063477	2.24184	0.063477	1.23503
0.063965	1.12152	0.063965	2.24188	0.063965	1.23523
0.064453	1.12399	0.064453	2.24182	0.064453	1.23494
0.064941	1.12372	0.064941	2.24185	0.064941	1.23427
0.06543	1.12459	0.06543	2.24186	0.06543	1.23475
0.065918	1.12553	0.065918	2.24185	0.065918	1.23587
0.066406	1.12594	0.066406	2.24186	0.066406	1.23475
0.066895	1.12393	0.066895	2.24179	0.066895	1.23476
0.067383	1.11939	0.067383	2.24183	0.067383	1.23574
0.067871	1.12086	0.067871	2.24183	0.067871	1.23601
0.068359	1.12122	0.068359	2.24188	0.068359	1.23443
0.068848	1.12043	0.068848	2.24185	0.068848	1.23517
0.069336	1.12538	0.069336	2.24184	0.069336	1.23507
0.069824	1.12516	0.069824	2.24181	0.069824	1.23456
0.070312	1.12182	0.070312	2.24183	0.070312	1.23526
0.070801	1.12352	0.070801	2.24186	0.070801	1.23535
0.071289	1.12327	0.071289	2.24184	0.071289	1.23636
0.071777	1.12318	0.071777	2.2418	0.071777	1.23448
0.072266	1.12334	0.072266	2.24186	0.072266	1.23498
0.072754	1.12367	0.072754	2.24185	0.072754	1.23484
0.073242	1.12422	0.073242	2.24184	0.073242	1.23371
0.07373	1.12313	0.07373	2.24184	0.07373	1.2364
0.074219	1.12384	0.074219	2.24184	0.074219	1.2349
0.074707	1.12027	0.074707	2.24182	0.074707	1.2349
0.075195	1.11866	0.075195	2.24184	0.075195	1.23546
0.075684	1.12238	0.075684	2.24187	0.075684	1.23606
0.076172	1.12118	0.076172	2.24179	0.076172	1.23471
0.07666	1.12161	0.07666	2.24187	0.07666	1.23577
0.077148	1.12383	0.077148	2.24184	0.077148	1.23531
0.077637	1.12482	0.077637	2.24189	0.077637	1.23483
0.078125	1.12448	0.078125	2.24178	0.078125	1.23549
0.078613	1.12132	0.078613	2.24184	0.078613	1.23521
0.079102	1.12224	0.079102	2.24181	0.079102	1.23474
0.07959	1.1213	0.07959	2.24186	0.07959	1.23456
0.080078	1.12353	0.080078	2.24185	0.080078	1.23572
0.080566	1.11996	0.080566	2.24182	0.080566	1.23525
0.081055	1.12191	0.081055	2.24177	0.081055	1.23564
0.081543	1.12372	0.081543	2.24181	0.081543	1.23636
0.082031	1.1228	0.082031	2.24183	0.082031	1.23578
