Time - Temperature	Amplitude - Temperature
0	15.8498
0.071429	15.8215
0.142857	15.8171
0.214286	15.784
0.285714	15.8026
0.357143	16.4983
0.428571	16.8726
0.5	17.0352
0.571429	17.0882
0.642857	17.1525
0.714286	17.2085
0.785714	17.2386
0.857143	17.2809
0.928571	17.3228
1	17.3376
1.071428	17.3606
1.142857	17.3554
1.214286	17.3914
1.285714	17.4033
1.357143	17.4219
1.428571	17.4322
1.5	17.4367
1.571428	17.4322
1.642857	17.4578
1.714285	17.4757
1.785714	17.4642
1.857143	17.4731
1.928571	17.4723
2	17.4823
2.071428	17.4875
2.142857	17.4875
2.214285	17.4953
2.285714	17.5153
2.357143	17.5087
2.428571	17.5176
2.5	17.5194
2.571428	17.5246
2.642857	17.525
2.714285	17.5398
2.785714	17.5365
2.857143	17.5346
2.928571	17.5402
3	17.5484
3.071428	17.5536
3.142857	17.548
3.214285	17.5595
3.285714	17.5469
3.357142	17.5562
3.428571	17.5799
3.5	17.5588
3.571428	17.5799
3.642857	17.5836
3.714285	17.5643
3.785714	17.6099
3.857142	17.6099
3.928571	17.5573
3.999999	17.4883
4.071428	17.4411
4.142857	17.4018
4.214285	17.4007
4.285714	17.3796
4.357142	17.3521
4.428571	17.3428
4.499999	17.24
4.571428	17.2441
4.642857	17.1966
4.714285	17.1617
4.785714	17.164
4.857142	17.1365
4.928571	17.1261
4.999999	17.1217
5.071428	17.1209
5.142856	17.0927
5.214285	17.0908
5.285714	17.0868
5.357142	17.0715
5.428571	17.0712
5.499999	17.0589
5.571428	17.0437
5.642856	17.0237
5.714285	17.0411
5.785714	17.0274
5.857142	16.9973
5.928571	16.9999
5.999999	16.9921
6.071428	16.9799
6.142856	16.9736
6.214285	16.9765
6.285713	16.9557
6.357142	16.9383
6.428571	16.922
6.499999	16.9253
6.571428	17.223
6.642856	17.3369
6.714285	17.384
6.785713	17.4159
6.857142	17.4408
6.928571	17.4582
6.999999	17.4541
7.071428	17.4827
7.142856	17.4734
7.214285	17.4972
7.285713	17.4857
7.357142	17.5176
7.428571	17.5328
7.499999	17.5161
7.571428	17.5328
7.642856	17.5558
7.714285	17.568
7.785713	17.5554
7.857142	17.5654
7.92857	17.5573
7.999999	17.5777
8.071428	17.5747
8.142856	17.5591
8.214285	17.5554
8.285713	17.5732
8.357142	17.5762
8.42857	17.5684
8.499999	17.5903
8.571428	17.5921
8.642856	17.5981
8.714285	17.5944
8.785713	17.5933
8.857142	17.6029
8.92857	17.601
8.999999	17.6107
9.071427	17.6285
9.142856	17.6092
9.214285	17.6181
9.285713	17.6367
9.357142	17.6374
9.42857	17.6307
9.499999	17.6203
9.571427	17.6493
9.642856	17.6433
9.714284	17.6337
9.785713	17.6352
9.857142	17.6459
9.92857	17.643
