Time - Temperature	Amplitude - Temperature
0	32.6648
0.071429	33.2421
0.142857	33.7923
0.214286	34.251
0.285714	34.6297
0.357143	35.2576
0.428571	35.9117
0.5	36.4032
0.571429	39.6859
0.642857	68.7472
0.714286	78.3319
0.785714	83.3369
0.857143	86.0955
0.928571	87.8871
1	88.6586
1.071428	89.5815
1.142857	90.0463
1.214286	90.4532
1.285714	90.8787
1.357143	91.2526
1.428571	91.5955
1.5	91.8428
1.571428	92.118
1.642857	92.3779
1.714285	92.6322
1.785714	92.8611
1.857143	93.0414
1.928571	93.2597
2	93.4865
2.071428	93.6892
2.142857	93.9398
2.214285	94.1281
2.285714	94.2612
2.357143	94.3741
2.428571	94.5297
2.5	94.6926
2.571428	94.8354
2.642857	94.9709
2.714285	95.062
2.785714	95.107
2.857143	95.1946
2.928571	95.2407
3	95.3142
3.071428	95.3764
3.142857	95.4246
3.214285	95.4802
3.285714	95.5129
3.357142	95.5558
3.428571	95.5822
3.5	95.6022
3.571428	95.6184
3.642857	95.7608
3.714285	93.7431
3.785714	91.1377
3.857142	89.4305
3.928571	87.6608
3.999999	86.1124
4.071428	84.9175
4.142857	83.6765
4.214285	82.7689
4.285714	81.7864
4.357142	80.9689
4.428571	80.2067
4.499999	79.3655
4.571428	78.6352
4.642857	77.8703
4.714285	77.204
4.785714	76.4871
4.857142	75.8523
4.928571	75.2194
4.999999	74.5383
5.071428	73.9736
5.142856	73.4898
5.214285	72.9896
5.285714	72.4258
5.357142	71.9109
5.428571	71.4048
5.499999	70.9549
5.571428	70.5301
5.642856	69.9844
5.714285	69.7601
5.785714	69.3921
5.857142	68.7839
5.928571	68.2715
5.999999	67.7764
6.071428	67.6129
6.142856	67.5526
6.214285	67.5808
6.285713	67.4098
6.357142	66.9798
6.428571	66.4865
6.499999	66.0316
6.571428	65.6084
6.642856	65.1711
6.714285	64.7656
6.785713	64.3682
6.857142	64.014
6.928571	63.6457
6.999999	63.2416
7.071428	62.8606
7.142856	62.5483
7.214285	62.2155
7.285713	61.9174
7.357142	61.5365
7.428571	61.3247
7.499999	61.4508
7.571428	61.2053
7.642856	60.788
7.714285	60.5556
7.785713	60.326
7.857142	60.0645
7.92857	59.8938
7.999999	64.7102
8.071428	81.2336
8.142856	86.7684
8.214285	88.9102
8.285713	89.9835
8.357142	90.6848
8.42857	91.2759
8.499999	91.6346
8.571428	91.9524
8.642856	92.4885
8.714285	92.7678
8.785713	93.033
8.857142	93.3069
8.92857	93.5667
8.999999	93.7698
9.071427	93.9236
9.142856	94.1193
9.214285	94.3333
9.285713	94.536
9.357142	94.6975
9.42857	94.7897
9.499999	94.8808
9.571427	94.9796
9.642856	95.0785
9.714284	95.1752
9.785713	95.2431
9.857142	95.31
9.92857	95.3409
