Time - Temperature	Amplitude - Temperature
0	95.5989
0.071429	95.9242
0.142857	96.1161
0.214286	95.7452
0.285714	95.7075
0.357143	95.6791
0.428571	95.6435
0.5	95.6492
0.571429	95.653
0.642857	95.6485
0.714286	95.62
0.785714	95.7262
0.857143	95.7248
0.928571	95.6136
1	95.7188
1.071428	95.627
1.142857	95.5563
1.214286	95.5454
1.285714	95.5732
1.357143	95.4962
1.428571	95.7248
1.5	95.8837
1.571428	95.5735
1.642857	95.512
1.714285	95.5078
1.785714	95.8714
1.857143	95.704
1.928571	95.6706
2	95.6917
2.071428	95.7318
2.142857	95.7118
2.214285	95.7329
2.285714	95.7399
2.357143	95.7406
2.428571	95.7821
2.5	95.799
2.571428	95.7518
2.642857	95.7346
2.714285	95.6653
2.785714	95.6478
2.857143	95.7729
2.928571	95.8324
