Time - Temperature	Amplitude - Temperature	
0	91.4159	
0.071429	91.1312	
0.142857	90.5182	
0.214286	92.1347	
0.285714	92.5475	
0.357143	93.1588	
0.428571	94.1427	
0.5	94.2251	
0.571429	94.0818	
0.642857	93.6996	
0.714286	93.2806	
0.785714	93.2218	
0.857143	92.8676	
0.928571	92.482	
1	92.9595	
1.071428	93.8421	
1.142857	94.034	
1.214286	94.6941	
1.285714	94.4017	
1.357143	93.4468	
1.428571	92.9317	
1.5	93.2877	
1.571428	92.6841	
1.642857	93.4701	
1.714285	94.0477	
1.785714	94.1416	
1.857143	94.5266	
1.928571	94.7219	
2	94.4109	
2.071428	94.3282	
2.142857	94.7539	
2.214285	94.8662	
2.285714	94.8813	
2.357143	94.5214	
2.428571	93.0983	
2.5	92.7239	
2.571428	93.9861	
2.642857	93.9164	
2.714285	94.092	
2.785714	94.2863	
2.857143	94.7771	
2.928571	94.458	
