Time - Temperature	Amplitude - Temperature	
0	93.241	
0.071429	93.2882	
0.142857	93.3053	
0.214286	93.325	
0.285714	93.3412	
0.357143	93.3025	
0.428571	93.3398	
0.5	93.2736	
0.571429	93.2667	
0.642857	93.2475	
0.714286	93.2715	
0.785714	93.2498	
0.857143	93.2402	
0.928571	93.2116	
1	93.2416	
1.071428	93.2514	
1.142857	93.2157	
1.214286	93.2409	
1.285714	93.2224	
1.357143	93.2062	
1.428571	93.2541	
1.5	93.2139	
1.571428	93.2315	
1.642857	93.1711	
1.714285	93.1817	
1.785714	93.2055	
1.857143	93.1976	
1.928571	93.1932	
2	93.1715	
2.071428	93.1872	
2.142857	93.1858	
2.214285	93.1674	
2.285714	93.1539	
2.357143	93.1476	
2.428571	93.0921	
2.5	93.0979	
2.571428	93.1511	
2.642857	93.1692	
2.714285	93.2296	
2.785714	93.2285	
2.857143	93.2384	
2.928571	93.187	
