today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 11:01:41 2018,72426777,0,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5500,1080,0,8,32,-0.0430956,0.105345,-10.4339,0.00957802,-0.0148991,0.00851379,47.5342,36.9422,-58.0758,1.64664e-40,0.00851379,
Sun Feb 18 11:01:41 2018,72436778,610.318,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5500,1080,0,8,32,0.0143652,0.0861913,-10.2568,0.00744957,-0.00957802,0.0117065,47.5342,36.9422,-58.0758,2.38419e-07,0.0117065,
Sun Feb 18 11:01:41 2018,72446781,610.318,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5338,5488,1080,0,32,14,-0.0143652,0.0909797,-10.3334,0.00638535,-0.0148991,0.00851379,47.5342,36.9422,-58.0758,2.38419e-07,0.00851379,
Sun Feb 18 11:01:41 2018,72456782,610.318,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5338,5488,1080,0,32,14,-0.023942,0.0766145,-10.4052,0.0106422,-0.0170276,0.00638535,47.5342,36.9422,-58.0758,2.38419e-07,0.00638535,
Sun Feb 18 11:01:41 2018,72466783,610.318,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5502,1080,0,30,14,-0.0335188,0.134075,-10.4148,0.0106422,-0.0170276,0.00851379,47.5342,36.9422,-58.0758,2.38419e-07,0.00851379,
Sun Feb 18 11:01:41 2018,72476784,610.318,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5522,1084,0,30,12,0.00957681,0.0574608,-10.4196,0.00744957,-0.0127707,0.0106422,47.5342,36.9422,-58.0758,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,72486792,606.156,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5522,1084,0,30,12,-0.0143652,0.0861913,-10.41,0.0106422,-0.0117065,0.00638535,47.5342,36.9422,-58.0758,2.38419e-07,0.00638535,
Sun Feb 18 11:01:41 2018,72496793,606.156,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5502,1080,0,8,32,-0.0047884,0.0766145,-10.3908,0.00957802,-0.0127707,0.00851379,47.5342,36.9422,-58.0758,2.38419e-07,0.00851379,
Sun Feb 18 11:01:41 2018,72506794,606.156,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5502,1080,0,8,32,-0.0047884,0.0191536,-10.3956,0.0106422,-0.0170276,0.0106422,47.5342,36.9422,-58.0758,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,72516795,606.156,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5502,1080,0,8,32,0,0.143652,-10.4531,0.0127707,-0.0180918,0.00851379,47.5342,36.9422,-58.0758,2.38419e-07,0.00851379,
