today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitch,desired pitch,roll,desired roll,yaw,desired yaw,msl,kppitch,kdpitch,kipitch,lampitch,pp,pd,pi,kproll,kdroll,kiroll,lamroll,rp,rd,ri,kpyaw,kdyaw,kiyaw,lamyaw,yp,yd,yi
Thu Oct  3 09:59:03 2019,8242775,576.335,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5396,5538,32,8,28,10,0.507571,0.0526724,-9.5385,0.019156,-0.019156,0.0244772,-34.9125,6.45469,-15.2109,22.2243,-0.093895,33.7637,0.0469513,0.0244772,0,576.335,0.0022,0.00035,0.00018,-0.0735238,-0.0736075,0.000143929,-6.0228e-05,0.0022,0.00035,0.00018,-0.128397,-0.150464,0.0221901,-0.000123677,0.28,0,0.03,-0.00685025,-0.0068536,-0,3.35231e-06,
Thu Oct  3 09:59:03 2019,8252776,576.335,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5546,38,16,6,30,0.45011,-0.143652,-9.6199,0.0170276,-0.0170276,0.0223487,-34.9125,6.45469,-15.2109,22.0631,-0.093895,33.5085,0.0469513,0.0223487,0,576.335,0.0022,0.00035,0.00018,0.34068,-0.0491001,0.38989,-0.000110427,0.0022,0.00035,0.00018,1.13926,-0.0741768,1.21366,-0.000215576,0.28,0,0.03,-0.00626131,-0.00625764,0,-3.67157e-06,
Thu Oct  3 09:59:03 2019,8262778,576.335,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5546,38,16,6,30,0.785298,-0.253785,-9.79707,0.0244772,0,0.0117065,-34.9125,6.45469,-15.2109,21.8481,-0.093895,33.0699,0.0469513,0.0117065,0,576.335,0.0022,0.00035,0.00018,-0.0432527,-0.0487454,0.00564319,-0.000150454,0.0022,0.00035,0.00018,-0.0649601,-0.0736154,0.00893131,-0.000276036,0.28,0,0.03,-0.00328659,-0.00327781,0,-8.77985e-06,
Thu Oct  3 09:59:03 2019,8272779,576.335,1513,1515,1088,1514,1088,1514,0.0469513,-0.0469437,0.9,0,-0.05,-1.19209e-07,5384,5540,34,8,28,10,0.78051,-0.162806,-9.57681,0.0106422,-0.0202203,0.0117065,-34.9125,6.45469,-15.2109,21.6546,-0.093895,32.6508,0.0469513,0.0117065,0,576.335,0.0022,0.00035,0.00018,-0.0409382,-0.0482725,0.0075244,-0.000190143,0.0022,0.00035,0.00018,-0.0576367,-0.0726506,0.0153498,-0.000335872,0.28,0,0.03,-0.0032901,-0.00327781,0,-1.22918e-05,
Thu Oct  3 09:59:03 2019,8282780,592.644,1513,1515,1088,1514,1088,1514,0.0469513,-0.0469437,0.9,0,-0.05,-1.19209e-07,5384,5540,34,8,28,10,0.837971,-0.0383072,-9.34696,0.0212845,-0.0361836,0.00106422,-34.9125,6.45469,-15.2109,21.4637,-0.0469437,32.2271,0.0469513,0.00106422,0,592.644,0.0022,0.00035,0.00018,-0.0395575,-0.0477435,0.00841541,-0.000229423,0.0022,0.00035,0.00018,-0.0574548,-0.0717285,0.0146687,-0.000394936,0.28,0,0.03,-0.00031219,-0.000297983,0,-1.42074e-05,
Thu Oct  3 09:59:03 2019,8292781,592.644,1513,1515,1088,1514,1088,1514,0.0469513,-0.0469437,0.9,0,-0.05,-1.19209e-07,5388,5538,36,10,28,10,0.665588,-0.0814029,-9.51935,0.0159634,-0.0383121,-0.00638535,-34.9125,6.45469,-15.2109,21.26,-0.0469437,31.8056,0.0469513,-0.00638535,0,592.644,0.0022,0.00035,0.00018,-0.0409087,-0.0473234,0.006683,-0.000268314,0.0022,0.00035,0.00018,-0.0564198,-0.0707964,0.0148298,-0.000453242,0.28,0,0.03,0.00177449,0.0017879,0,-1.34092e-05,
Thu Oct  3 09:59:03 2019,8302782,592.644,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5388,5538,36,10,28,10,0.23942,-0.263362,-9.66779,0.00744957,-0.0287341,0.00106422,-34.9125,6.45469,-15.2109,21.0394,-0.0469437,31.3896,0.0469513,0.00106422,0,592.644,0.0022,0.00035,0.00018,-0.0400535,-0.0468753,0.00712867,-0.00030685,0.0022,0.00035,0.00018,-0.0556271,-0.069869,0.0147527,-0.000510787,0.28,0,0.03,-0.000310594,-0.000297983,-0,-1.26111e-05,
Thu Oct  3 09:59:03 2019,8312783,592.644,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5544,34,8,6,28,0.555455,-0.0574608,-9.51935,-0.0042569,-0.0308625,0.0148991,-34.9125,6.45469,-15.2109,20.8223,-0.093895,30.967,0.0469513,0.0148991,0,592.644,0.0022,0.00035,0.00018,-0.0407604,-0.0464933,0.00607798,-0.000345046,0.0022,0.00035,0.00018,-0.0549615,-0.0689538,0.0145599,-0.000567578,0.28,0,0.03,-0.00418676,-0.00417176,-0,-1.50056e-05,
Thu Oct  3 09:59:03 2019,8322784,576.048,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5544,34,8,6,28,0.651223,-0.134075,-9.68694,0.0042569,-0.0212845,0.0202203,-34.9125,6.45469,-15.2109,20.6147,-0.093895,30.557,0.0469513,0.0202203,0,576.048,0.0022,0.00035,0.00018,-0.0388,-0.0460157,0.0075985,-0.00038289,0.0022,0.00035,0.00018,-0.0538558,-0.0680241,0.0147919,-0.000623615,0.28,0,0.03,-0.00568195,-0.00566167,-0,-2.02735e-05,
Thu Oct  3 09:59:03 2019,8332785,576.048,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5536,38,8,8,28,0.603339,-0.0383072,-9.72046,-0.00212845,-0.0255414,0.0138349,-34.9125,6.45469,-15.2109,20.4041,-0.093895,30.1424,0.0469513,0.0138349,0,576.048,0.0022,0.00035,0.00018,-0.0387136,-0.045559,0.00726572,-0.000420353,0.0022,0.00035,0.00018,-0.053452,-0.0671221,0.0143491,-0.000678902,0.28,0,0.03,-0.00389916,-0.00387378,0,-2.53817e-05,
Thu Oct  3 09:59:03 2019,8342786,576.048,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5536,38,8,8,28,0.517148,-0.105345,-9.69173,0.00851379,-0.0159634,0.0180918,-34.9125,6.45469,-15.2109,20.1928,-0.093895,29.7352,0.0469513,0.0180918,0,576.048,0.0022,0.00035,0.00018,-0.0381806,-0.0450956,0.0073724,-0.000457439,0.0022,0.00035,0.00018,-0.0524311,-0.0662099,0.0145123,-0.000733447,0.28,0,0.03,-0.00509588,-0.00506571,-0,-3.01708e-05,
