today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchGyr0,pitchAccel,pitchgyro_f,pitchAccel_f,ekp,ekoldp,edp,eip,lamdap,ekr,ekoldr,edr,eir,lamdar,eky,ekoldy,edy,eiy,lamday
Sun Feb 18 10:28:05 2018,18421166,611.76,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5340,5524,1088,0,30,14,0.0191536,0.124498,-10.5058,0.0106422,-0.0117065,0.00851379,-34.916,124.875,23.2969,-0.256403,0.104459,-0.00235913,-0.103268,0.390008,0.390008,-0.129604,0.00390656,0.00165887,0.696267,0.696267,-0.22912,0.00697412,0.00296319,,,,,
Sun Feb 18 10:28:05 2018,18431167,612.021,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5340,5524,1088,0,30,14,0,0.124498,-10.5536,0.0148991,-0.0138349,0.00851379,-34.916,124.875,23.2969,-0.255488,0,-0.00138539,-0.105726,-0.201775,-0.201775,-59.1782,0.000941165,-0.0448182,0.35506,0.35506,-34.1207,0.00525663,-0.0237198,,,,,
Sun Feb 18 10:28:05 2018,18441169,612.021,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5340,5524,1088,0,30,14,-0.0047884,0.181959,-10.4148,0.0180918,-0.0127707,0.00957802,-34.916,124.875,23.2969,-0.254268,-0.0263429,-0.000197546,-0.107503,-0.192972,-0.192972,0.88028,-0.00197373,-0.000215206,0.360494,0.360494,0.543451,0.00357777,0.00202547,,,,,
Sun Feb 18 10:28:05 2018,18451170,612.021,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5346,5488,1080,0,8,30,-0.0526724,0.186748,-10.3717,0.0148991,-0.0148991,0.00212845,-34.916,124.875,23.2969,-0.253659,-0.290974,0.000306836,-0.109048,-0.172386,-0.172386,2.05858,-0.00182679,0.000751733,0.366728,0.366728,0.623378,0.00363611,0.00211282,,,,,
Sun Feb 18 10:28:05 2018,18461171,612.021,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5346,5488,1080,0,8,30,-0.0191536,0.258574,-10.3334,0.00638535,-0.0127707,0.00106422,-34.916,124.875,23.2969,-0.256098,-0.106202,-0.00214917,-0.110724,-0.154469,-0.154469,1.79168,-0.00163428,0.000634314,0.375774,0.375774,0.904575,0.00371251,0.00236218,,,,,
Sun Feb 18 10:28:05 2018,18471172,612.021,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5324,5528,1086,0,30,14,-0.0957681,0.129287,-10.228,0.0127707,-0.0138349,0.00851379,-34.916,124.875,23.2969,-0.256098,-0.536462,-0.00205525,-0.11282,-0.135561,-0.135561,1.89085,-0.00145015,0.000792986,0.38686,0.38686,1.10862,0.00381317,0.00256347,,,,,
Sun Feb 18 10:28:05 2018,18481173,613.159,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5324,5528,1086,0,30,14,-0.0622492,0.234632,-10.3046,0.0106422,-0.0148991,0.00532112,-34.916,124.875,23.2969,-0.257012,-0.346114,-0.00283647,-0.115753,-0.119659,-0.119659,1.5902,-0.0012761,0.000641463,0.394439,0.394439,0.757855,0.00390649,0.0023373,,,,,
Sun Feb 18 10:28:05 2018,18491174,613.159,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5340,5520,1088,0,8,30,-0.047884,0.220267,-10.386,0.0159634,-0.0127707,0.00638535,-34.916,124.875,23.2969,-0.256707,-0.264156,-0.00237403,-0.119407,-0.100662,-0.100662,1.89964,-0.00110161,0.000956552,0.40666,0.40666,1.22217,0.0040055,0.00273682,,,,,
Sun Feb 18 10:28:05 2018,18501175,613.159,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5340,5520,1088,0,8,30,-0.0335188,0.191536,-10.41,0.0148991,-0.0117065,0.00532112,-34.916,124.875,23.2969,-0.256098,-0.184485,-0.00165032,-0.1233,-0.0866184,-0.0866184,1.4044,-0.000936404,0.000652281,0.414345,0.414345,0.76848,0.00410503,0.00243477,,,,,
Sun Feb 18 10:28:05 2018,18511176,613.159,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5344,5506,1086,0,8,30,-0.0335188,0.177171,-10.4244,0.0117065,-0.0159634,0.00957802,-34.916,124.875,23.2969,-0.256098,-0.18423,-0.00156514,-0.127168,-0.0758437,-0.0758437,1.07747,-0.00081231,0.000458187,0.415871,0.415871,0.152573,0.00415108,0.00198463,,,,,
