today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD{38}KP=0.004KI=0KD=0.0007,PITCH_MEAS{39},ROLL_CMD{40},ROLL_MEAS{41},YAW_CMD{42}KPy=0.3KIy=0.0035KDy=0,YAW_MEAS{43},
Sun Feb 18 11:33:15 2018,8823702,0,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5538,1052,0,32,14,0.0047884,-0.114922,-10.568,0.0106422,-0.0180918,0.00744957,21.9521,49.4297,16.1414,2.56065e+33,0,0,0,1.65112e-40,0.00744957,
Sun Feb 18 11:33:15 2018,8833703,602.837,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5334,5500,1056,0,8,32,0.0143652,-0.0574608,-10.3238,0.0106422,-0.019156,0.0127707,21.9521,49.4297,16.1414,7.62939e-06,-74.0345,-7.62939e-06,-110.416,2.38419e-07,0.0127707,
Sun Feb 18 11:33:15 2018,8843706,602.837,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5334,5500,1056,0,8,32,0.023942,-0.0526724,-10.3525,0.0138349,-0.019156,0.00744957,21.9521,49.4297,16.1414,7.62939e-06,-73.5883,-7.62939e-06,-109.719,2.38419e-07,0.00744957,
Sun Feb 18 11:33:15 2018,8853707,602.837,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5340,5502,1056,0,8,32,0.0287304,-0.0574608,-10.343,0.00532112,-0.0148991,0.0117065,21.9521,49.4297,16.1414,7.62939e-06,-73.7369,-7.62939e-06,-107.704,2.38419e-07,0.0117065,
Sun Feb 18 11:33:15 2018,8863708,602.837,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5340,5502,1056,0,8,32,0.071826,-0.0430956,-10.3046,0.0106422,-0.0148991,0.0138349,21.9521,49.4297,16.1414,7.62939e-06,-73.861,-7.62939e-06,-105.747,2.38419e-07,0.0138349,
Sun Feb 18 11:33:15 2018,8873709,602.837,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5540,1052,0,30,30,0.0287304,0,-10.2999,0.0106422,-0.0117065,0.0042569,21.9521,49.4297,16.1414,7.62939e-06,-73.9683,-7.62939e-06,-103.754,2.38419e-07,0.0042569,
Sun Feb 18 11:33:15 2018,8883710,601.629,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5540,1052,0,30,30,0.0670376,-0.0574608,-10.3717,0.00957802,-0.0170276,0.00744957,21.9521,49.4297,16.1414,7.62939e-06,-74.0605,-7.62939e-06,-101.725,2.38419e-07,0.00744957,
Sun Feb 18 11:33:15 2018,8893711,601.629,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5360,5532,1052,0,8,32,0.0526724,-0.047884,-10.386,0.00957802,-0.0159634,0.0127707,21.9521,49.4297,16.1414,7.62939e-06,-74.1333,-7.62939e-06,-99.67,2.38419e-07,0.0127707,
Sun Feb 18 11:33:15 2018,8903712,601.629,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5360,5532,1052,0,8,32,0.0430956,0.0143652,-10.343,0.00957802,-0.0127707,0.00744957,21.9521,49.4297,16.1414,7.62939e-06,-74.1884,-7.62939e-06,-97.5849,2.38419e-07,0.00744957,
Sun Feb 18 11:33:15 2018,8913713,601.629,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5340,5498,1052,0,32,14,0.023942,0.0383072,-10.3765,0.0148991,-0.0138349,0.0106422,21.9521,49.4297,16.1414,7.62939e-06,-74.2274,-7.62939e-06,-95.4796,2.38419e-07,0.0106422,
Sun Feb 18 11:33:15 2018,8923714,602.124,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5340,5498,1052,0,32,14,0.110133,-0.0526724,-10.252,0.00851379,-0.019156,0.0106422,21.9521,49.4297,16.1414,7.62939e-06,-74.2454,-7.62939e-06,-93.3608,2.38419e-07,0.0106422,
Sun Feb 18 11:33:15 2018,8933715,602.124,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5350,5538,1048,0,32,14,0.0766145,-0.00957681,-10.4914,0.0117065,-0.0159634,0.0106422,21.9521,49.4297,16.1414,7.62939e-06,-74.2442,-7.62939e-06,-91.2383,2.38419e-07,0.0106422,
Sun Feb 18 11:33:15 2018,8943716,602.124,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5350,5538,1048,0,32,14,0.00957681,-0.0143652,-10.2615,0.00957802,-0.0138349,0.00638535,21.9521,49.4297,16.1414,7.62939e-06,-74.2245,-7.62939e-06,-89.1095,2.38419e-07,0.00638535,
Sun Feb 18 11:33:15 2018,8953717,602.124,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5520,1054,0,30,14,0.0622492,-0.0287304,-10.3621,0.00744957,-0.0148991,0.0106422,21.9521,49.4297,16.1414,7.62939e-06,-74.1868,-7.62939e-06,-86.9821,2.38419e-07,0.0106422,
Sun Feb 18 11:33:15 2018,8963718,602.124,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5520,1054,0,30,14,0.0430956,-0.0622492,-10.5297,0.0148991,-0.0148991,0.0106422,21.9521,49.4297,16.1414,7.62939e-06,-74.1286,-7.62939e-06,-84.8599,2.38419e-07,0.0106422,
Sun Feb 18 11:33:15 2018,8973719,602.124,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5532,1052,0,28,32,-0.023942,-0.0957681,-10.386,0.00744957,-0.0138349,0.00851379,21.9521,49.4297,16.1414,7.62939e-06,-74.0524,-7.62939e-06,-82.7503,2.38419e-07,0.00851379,
Sun Feb 18 11:33:15 2018,8983720,601.186,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5532,1052,0,28,32,0.0526724,-0.0430956,-10.4052,0.0117065,-0.0170276,0.0117065,21.9521,49.4297,16.1414,7.62939e-06,-73.9592,-7.62939e-06,-80.6617,2.38419e-07,0.0117065,
