today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD{38}KP=0.004KI=0KD=0.0007,PITCH_MEAS{39},ROLL_CMD{40},ROLL_MEAS{41},YAW_CMD{42}KPy=0.3KIy=0.0035KDy=0,YAW_MEAS{43},
Sun Feb 18 11:18:31 2018,11772192,0,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5528,1132,0,18,30,0.0191536,0.023942,-10.4291,0.0117065,-0.0170276,0.00851379,33.1875,43.7063,11.9813,2.52453e+33,0,0,0,1.65112e-40,0.00851379,
Sun Feb 18 11:18:31 2018,11782193,601.238,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5504,1130,0,30,14,0.0574608,-0.114922,-10.4914,0.0106422,-0.0148991,0.00851379,33.1875,43.7063,11.9813,7.62939e-06,-49.4494,-7.62939e-06,168.775,2.38419e-07,0.00851379,
Sun Feb 18 11:18:31 2018,11792196,601.238,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5504,1130,0,30,14,0.00957681,-0.0814029,-10.4196,0.0138349,-0.0148991,0.00744957,33.1875,43.7063,11.9813,7.62939e-06,-49.6986,-7.62939e-06,168.675,2.38419e-07,0.00744957,
Sun Feb 18 11:18:31 2018,11802197,601.238,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5350,5500,1134,0,32,12,0.0622492,-0.0957681,-10.3669,0.0138349,-0.0159634,0.00638535,33.1875,43.7063,11.9813,7.62939e-06,-50.1186,-7.62939e-06,168.521,2.38419e-07,0.00638535,
Sun Feb 18 11:18:31 2018,11812198,601.238,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5350,5500,1134,0,32,12,0.0957681,-0.100556,-10.4291,0.0138349,-0.0127707,0.0127707,33.1875,43.7063,11.9813,7.62939e-06,-50.5425,-7.62939e-06,168.364,2.38419e-07,0.0127707,
Sun Feb 18 11:18:31 2018,11822199,601.238,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5536,1132,0,8,30,0.0861913,-0.129287,-10.3621,0.0127707,-0.0159634,0.00957802,33.1875,43.7063,11.9813,7.62939e-06,-50.9707,-7.62939e-06,168.203,2.38419e-07,0.00957802,
Sun Feb 18 11:18:31 2018,11832200,601.75,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5536,1132,0,8,30,0.110133,-0.148441,-10.4052,0.0138349,-0.0117065,0.00957802,33.1875,43.7063,11.9813,7.62939e-06,-51.4013,-7.62939e-06,168.036,2.38419e-07,0.00957802,
Sun Feb 18 11:18:31 2018,11842201,601.75,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5350,5536,1132,0,6,30,0.0287304,-0.124498,-10.2903,0.0127707,-0.0127707,0.0106422,33.1875,43.7063,11.9813,7.62939e-06,-51.8372,-7.62939e-06,167.866,2.38419e-07,0.0106422,
Sun Feb 18 11:18:31 2018,11852202,601.75,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5350,5536,1132,0,6,30,-0.0047884,-0.124498,-10.4866,0.0138349,-0.0148991,0.00851379,33.1875,43.7063,11.9813,7.62939e-06,-52.2764,-7.62939e-06,167.689,2.38419e-07,0.00851379,
Sun Feb 18 11:18:31 2018,11862203,601.75,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5522,1132,0,30,14,0.0335188,-0.0670376,-10.477,0.0148991,-0.0117065,0.0106422,33.1875,43.7063,11.9813,7.62939e-06,-52.7184,-7.62939e-06,167.508,2.38419e-07,0.0106422,
Sun Feb 18 11:18:31 2018,11872204,602.272,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5522,1132,0,30,14,0.0526724,-0.143652,-10.4339,0.0148991,-0.0159634,0.0127707,33.1875,43.7063,11.9813,7.62939e-06,-53.1632,-7.62939e-06,167.32,2.38419e-07,0.0127707,
Sun Feb 18 11:18:31 2018,11882205,602.272,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5514,1138,0,30,30,0.0574608,-0.0957681,-10.5345,0.0106422,-0.00957802,0.00532112,33.1875,43.7063,11.9813,7.62939e-06,-53.6115,-7.62939e-06,167.126,2.38419e-07,0.00532112,
Sun Feb 18 11:18:31 2018,11892206,602.272,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5514,1138,0,30,30,0.0766145,-0.105345,-10.343,0.00851379,-0.0138349,0.0127707,33.1875,43.7063,11.9813,7.62939e-06,-54.0638,-7.62939e-06,166.926,2.38419e-07,0.0127707,
Sun Feb 18 11:18:31 2018,11902207,602.272,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5350,5506,1132,0,8,30,0.0957681,-0.0861913,-10.4004,0.0148991,-0.0127707,0.00957802,33.1875,43.7063,11.9813,7.62939e-06,-54.5175,-7.62939e-06,166.722,2.38419e-07,0.00957802,
Sun Feb 18 11:18:31 2018,11912208,602.272,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5350,5506,1132,0,8,30,0.0335188,-0.153229,-10.5058,0.00957802,-0.00957802,0.0170276,33.1875,43.7063,11.9813,7.62939e-06,-54.9754,-7.62939e-06,166.514,2.38419e-07,0.0170276,
Sun Feb 18 11:18:31 2018,11922209,602.272,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5536,1126,0,30,14,0.148441,-0.205901,-10.5249,0.0127707,-0.00532112,0.0372479,33.1875,43.7063,11.9813,7.62939e-06,-55.4395,-7.62939e-06,166.299,2.38419e-07,0.0372479,
Sun Feb 18 11:18:31 2018,11932210,601.742,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5536,1126,0,30,14,-0.0957681,-0.124498,-10.3908,-0.00212845,-0.0308625,-0.0138349,33.1875,43.7063,11.9813,7.62939e-06,-55.9023,-7.62939e-06,166.093,2.38419e-07,-0.0138349,
Sun Feb 18 11:18:31 2018,11942211,601.742,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5538,1114,6,30,30,-0.0526724,-0.047884,-10.6494,0.0117065,0.0340552,-0.0500185,33.1875,43.7063,11.9813,7.62939e-06,-56.3698,-7.62939e-06,165.859,2.38419e-07,-0.0500185,
Sun Feb 18 11:18:31 2018,11952212,601.742,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5538,1114,6,30,30,0.134075,-0.134075,-10.4579,0.00957802,-0.019156,-0.00319267,33.1875,43.7063,11.9813,7.62939e-06,-56.8373,-7.62939e-06,165.578,2.38419e-07,-0.00319267,
Sun Feb 18 11:18:31 2018,11962213,601.742,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5490,1122,8,32,14,0.100556,-0.0622492,-10.3046,0.00851379,-0.0606608,0.0297983,33.1875,43.7063,11.9813,7.62939e-06,-57.2974,-7.62939e-06,165.315,2.38419e-07,0.0297983,
