today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD{38}KP=0.004KI=0KD=0.0007,PITCH_MEAS{39},ROLL_CMD{40},ROLL_MEAS{41},YAW_CMD{42}KPy=0.3KIy=0.0035KDy=0,YAW_MEAS{43},
Sun Feb 18 11:20:14 2018,89305210,610.552,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5340,5504,1044,0,30,12,0.0957681,-0.0574608,-10.2615,0.0138349,-0.00957802,0.00532112,7.43262,25.1484,-16.807,0.0469513,-4.18257,0.093895,7.8112,2.38419e-07,0.00532112,
Sun Feb 18 11:20:14 2018,89315211,610.552,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5304,5502,1038,0,30,32,0.0861913,-0.071826,-10.4196,0.019156,-0.0170276,0.00744957,7.43262,25.1484,-16.807,7.62939e-06,57.7307,-7.62939e-06,-127.828,2.38419e-07,0.00744957,
Sun Feb 18 11:20:14 2018,89325215,608.258,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5304,5502,1038,0,30,32,0.124498,-0.0383072,-10.4866,0.0148991,-0.00957802,0.00957802,7.43262,25.1484,-16.807,7.62939e-06,57.6765,-7.62939e-06,-127.528,2.38419e-07,0.00957802,
Sun Feb 18 11:20:14 2018,89335216,608.258,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5340,5516,1044,0,8,30,0.100556,-0.0526724,-10.41,0.0106422,-0.0117065,0.00638535,7.43262,25.1484,-16.807,7.62939e-06,58.0343,-7.62939e-06,-126.626,2.38419e-07,0.00638535,
Sun Feb 18 11:20:14 2018,89345217,608.258,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5340,5516,1044,0,8,30,0,-0.110133,-10.4914,0.0106422,-0.0127707,0.00851379,7.43262,25.1484,-16.807,7.62939e-06,58.3675,-7.62939e-06,-125.752,2.38419e-07,0.00851379,
Sun Feb 18 11:20:14 2018,89355218,608.258,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5334,5500,1040,0,30,32,0.134075,-0.100556,-10.4866,0.0106422,-0.0138349,0.00638535,7.43262,25.1484,-16.807,7.62939e-06,58.695,-7.62939e-06,-124.862,2.38419e-07,0.00638535,
Sun Feb 18 11:20:14 2018,89365219,608.258,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5334,5500,1040,0,30,32,0.0814029,-0.0574608,-10.4387,0.0106422,-0.0148991,0.0127707,7.43262,25.1484,-16.807,7.62939e-06,59.0186,-7.62939e-06,-123.959,2.38419e-07,0.0127707,
Sun Feb 18 11:20:14 2018,89375220,608.258,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5334,5494,1042,0,8,30,-0.0143652,-0.0957681,-10.4866,0.00957802,-0.0170276,0.00744957,7.43262,25.1484,-16.807,7.62939e-06,59.3364,-7.62939e-06,-123.038,2.38419e-07,0.00744957,
Sun Feb 18 11:20:14 2018,89385221,603.818,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5334,5494,1042,0,8,30,0.0766145,-0.047884,-10.4339,0.0127707,-0.0117065,0.00957802,7.43262,25.1484,-16.807,7.62939e-06,59.6457,-7.62939e-06,-122.1,2.38419e-07,0.00957802,
Sun Feb 18 11:20:14 2018,89395222,603.818,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5340,5520,1038,0,30,14,0.0143652,-0.114922,-10.4196,0.0106422,-0.00851379,0.00532112,7.43262,25.1484,-16.807,7.62939e-06,59.9485,-7.62939e-06,-121.146,2.38419e-07,0.00532112,
Sun Feb 18 11:20:14 2018,89405223,603.818,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5340,5520,1038,0,30,14,0.0143652,-0.105345,-10.2328,0.0138349,-0.0159634,0.0106422,7.43262,25.1484,-16.807,7.62939e-06,60.2439,-7.62939e-06,-120.174,2.38419e-07,0.0106422,
Sun Feb 18 11:20:14 2018,89415224,603.818,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5340,5526,1038,0,8,30,0.0861913,-0.0574608,-10.4339,0.0106422,-0.0170276,0.00638535,7.43262,25.1484,-16.807,7.62939e-06,60.5326,-7.62939e-06,-119.184,2.38419e-07,0.00638535,
