today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD{38}KP=0.0038KI=0KD=0.00073,PITCH_MEAS{39},ROLL_CMD{40},ROLL_MEAS{41},YAW_CMD{42}KPy=0.26KIy=0.0038KDy=0,YAW_MEAS{43},
Sun Feb 18 11:50:33 2018,439076205,580.506,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5510,1044,0,8,32,0.0861913,-0.177171,-10.4579,0.0170276,-0.0138349,0.0170276,31.8047,39.1969,-26.625,-20,-17.5525,-1.03287,4.34855,2.38419e-07,0.0170276,
Sun Feb 18 11:50:33 2018,439086206,581.062,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5510,1044,0,8,32,0.0143652,-0.11971,-10.41,0.0159634,-0.00957802,0.0127707,31.8047,39.1969,-26.625,7.62939e-06,-34.2432,-7.62939e-06,163.268,2.38419e-07,0.0127707,
Sun Feb 18 11:50:33 2018,439096208,581.062,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5528,1036,0,8,30,0.124498,-0.105345,-10.3765,0.0170276,-0.0106422,0.0117065,31.8047,39.1969,-26.625,7.62939e-06,-34.5207,-7.62939e-06,163.294,2.38419e-07,0.0117065,
Sun Feb 18 11:50:33 2018,439106209,581.062,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5528,1036,0,8,30,0.105345,-0.162806,-10.4579,0.0127707,-0.0117065,0.0106422,31.8047,39.1969,-26.625,7.62939e-06,-35.0365,-7.62939e-06,163.296,2.38419e-07,0.0106422,
Sun Feb 18 11:50:33 2018,439116210,581.062,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5510,1040,0,8,30,-0.0143652,-0.134075,-10.4818,0.0117065,-0.00638535,0.0138349,31.8047,39.1969,-26.625,7.62939e-06,-35.5287,-7.62939e-06,163.296,2.38419e-07,0.0138349,
Sun Feb 18 11:50:33 2018,439126211,581.062,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5510,1040,0,8,30,-0.023942,-0.0670376,-10.4483,0.0127707,-0.00744957,0.0117065,31.8047,39.1969,-26.625,7.62939e-06,-36.0248,-7.62939e-06,163.289,2.38419e-07,0.0117065,
Sun Feb 18 11:50:33 2018,439136212,580.228,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5514,1044,0,6,30,-0.00957681,-0.138864,-10.4339,0.0117065,-0.00532112,0.0117065,31.8047,39.1969,-26.625,7.62939e-06,-36.5214,-7.62939e-06,163.287,2.38419e-07,0.0117065,
Sun Feb 18 11:50:33 2018,439146213,580.228,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5514,1044,0,6,30,0.110133,-0.124498,-10.4291,0.0106422,-0.00638535,0.0117065,31.8047,39.1969,-26.625,7.62939e-06,-37.0161,-7.62939e-06,163.279,2.38419e-07,0.0117065,
Sun Feb 18 11:50:33 2018,439156214,580.228,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5534,1042,0,8,30,-0.0047884,-0.172383,-10.41,0.0138349,-0.0138349,0.0138349,31.8047,39.1969,-26.625,7.62939e-06,-37.5105,-7.62939e-06,163.272,2.38419e-07,0.0138349,
Sun Feb 18 11:50:33 2018,439166215,580.228,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5534,1042,0,8,30,-0.0143652,-0.167594,-10.3477,0.0117065,-0.0117065,0.00957802,32.8418,39.8906,-26.9578,7.62939e-06,-38.0066,-7.62939e-06,163.263,2.38419e-07,0.00957802,
Sun Feb 18 11:50:33 2018,439176216,580.228,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5532,1044,0,8,30,0.0622492,-0.110133,-10.477,0.0148991,-0.00744957,0.0106422,32.8418,39.8906,-26.9578,7.62939e-06,-38.5105,-7.62939e-06,163.242,2.38419e-07,0.0106422,
Sun Feb 18 11:50:33 2018,439186217,580.228,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5532,1044,0,8,30,0.0574608,-0.0957681,-10.386,0.0138349,-0.00744957,0.0117065,32.8418,39.8906,-26.9578,7.62939e-06,-39.0168,-7.62939e-06,163.22,2.38419e-07,0.0117065,
Sun Feb 18 11:50:33 2018,439196218,582.061,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5536,1040,0,8,30,0.0191536,-0.110133,-10.4866,0.00851379,-0.0106422,0.0138349,32.8418,39.8906,-26.9578,7.62939e-06,-39.5233,-7.62939e-06,163.198,2.38419e-07,0.0138349,
Sun Feb 18 11:50:33 2018,439206219,582.061,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5536,1040,0,8,30,-0.0430956,-0.201113,-10.4579,0.0159634,-0.0106422,0.0148991,32.8418,39.8906,-26.9578,7.62939e-06,-40.0318,-7.62939e-06,163.176,2.38419e-07,0.0148991,
Sun Feb 18 11:50:33 2018,439216220,582.061,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5514,1042,6,8,30,-0.00957681,-0.177171,-10.4244,0.00957802,-0.00851379,0.0127707,32.8418,39.8906,-26.9578,7.62939e-06,-40.5376,-7.62939e-06,163.146,2.38419e-07,0.0127707,
Sun Feb 18 11:50:33 2018,439226221,582.061,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5514,1042,6,8,30,0.114922,-0.263362,-10.4052,0.0148991,-0.00744957,0.00638535,32.8418,39.8906,-26.9578,7.62939e-06,-41.0432,-7.62939e-06,163.115,2.38419e-07,0.00638535,
