today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0015, kiei(I)=5e-06, kded(D)=0.0009,signal, mad_pitch, multiplier
Thu Sep 26 21:39:06 2019,34908965,937.851,1513,1517,1088,1513,1088,1514,-0.0469513,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5404,5550,1230,0,28,28,-0.253785,-0.277727,-9.51935,0.0106422,0.0276698,0.0159634,-20.8406,36.3973,29.9033,-1.52714,708.75,-0.380839,-0.0160932,-0.396932,0.00167749,1.2323e-09,0.00443627,-0.140839,-1.25917,0,
Thu Sep 26 21:39:06 2019,34918966,937.851,1513,1517,1088,1513,1088,1514,-0.0469513,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5528,1228,0,28,30,-0.383072,-0.258574,-9.84975,0.0117065,0.0244772,0.0148991,-20.8406,36.3973,29.9033,-2.2272,709.038,-0.38997,-0.0138567,-0.403826,0.000349755,-2.2129e-08,-0.0796642,-0.140839,-0.374009,0,
Thu Sep 26 21:39:06 2019,34928968,938.016,1513,1517,1088,1513,1088,1514,-0.0469513,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5528,1228,0,28,30,-0.335188,-0.335188,-9.76355,0.00957802,0.0223487,0.0117065,-20.8406,36.3973,29.9033,-1.96623,709.325,-0.404353,-0.0120632,-0.416416,0.000373559,3.96737e-10,0.00142825,-0.140839,-0.389878,0,
Thu Sep 26 21:39:06 2019,34938969,938.016,1513,1517,1088,1513,1088,1514,-0.0469513,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5392,5532,1232,0,28,28,-0.148441,-0.23942,-9.69652,0.0117065,0.0244772,0.00851379,-20.8406,36.3973,29.9033,-0.877053,709.611,-0.422628,-0.0115973,-0.434226,0.000402593,4.839e-10,0.00174204,-0.140839,-0.409234,0,
Thu Sep 26 21:39:06 2019,34948970,938.016,1513,1517,1088,1513,1088,1514,-0.0469513,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5392,5532,1232,0,28,28,-0.23942,-0.292093,-9.71088,0.0117065,0.0180918,0.00638535,-20.8406,36.3973,29.9033,-1.41233,709.899,-0.442599,-0.00874677,-0.451346,0.000409353,1.12668e-10,0.000405604,-0.140839,-0.413741,0,
Thu Sep 26 21:39:06 2019,34958971,938.016,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5524,1226,0,28,30,-0.191536,-0.201113,-9.73482,0.00851379,0.0106422,0.00319267,-20.8406,36.3973,29.9033,-1.12717,710.188,-0.46376,-0.00580033,-0.46956,0.000430332,3.49645e-10,0.00125872,-0.140839,-0.427727,0,
Thu Sep 26 21:39:06 2019,34968972,938.016,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5524,1226,0,28,30,-0.158017,-0.234632,-9.59596,0.0117065,0.00851379,0.00957802,-20.8406,36.3973,29.9033,-0.943409,710.475,-0.485722,-0.00460827,-0.49033,0.000438312,1.33001e-10,0.000478804,-0.140839,-0.433047,0,
Thu Sep 26 21:39:06 2019,34978973,938.016,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5526,1226,0,26,26,-0.124498,-0.244209,-9.52892,0.0117065,0.00638535,0.00851379,-20.8406,36.3973,29.9033,-0.748546,710.762,-0.507535,-0.00343908,-0.510974,0.000450219,1.98448e-10,0.000714414,-0.140839,-0.440985,0,
Thu Sep 26 21:39:06 2019,34988974,941.188,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5526,1226,0,26,26,-0.162806,-0.373495,-9.52892,0.00532112,0,0.0106422,-20.8406,36.3973,29.9033,-0.978828,711.05,-0.528805,-0.0011966,-0.530002,0.000459724,1.58419e-10,0.00057031,-0.140839,-0.447321,0,
Thu Sep 26 21:39:06 2019,34998975,941.188,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5390,5528,1228,0,30,28,-0.320823,-0.277727,-9.69652,0.0127707,-0.00212845,0.0202203,-21.5531,35.3215,33.0146,-1.89502,711.337,-0.550614,-0.000360881,-0.550975,0.000470461,1.7895e-10,0.000644221,-0.140839,-0.454479,0,
Thu Sep 26 21:39:06 2019,35008976,941.188,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5390,5528,1228,0,30,28,-0.272939,-0.272939,-9.57681,0.00851379,-0.0106422,0.0202203,-21.5531,35.3215,33.0146,-1.63249,711.626,-0.574533,0.00223623,-0.572296,0.000504977,5.75265e-10,0.00207095,-0.140839,-0.47749,0,
Thu Sep 26 21:39:06 2019,35018977,941.188,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5544,1228,0,28,26,-0.248997,-0.282516,-9.48104,0.0127707,-0.0159634,0.0148991,-21.5531,35.3215,33.0146,-1.50439,711.914,-0.600539,0.00368867,-0.59685,0.000551327,7.72499e-10,0.002781,-0.140839,-0.50839,0,
Thu Sep 26 21:39:06 2019,35028978,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5544,1228,0,28,26,-0.335188,-0.253785,-9.65342,0.019156,-0.0202203,0.0106422,-21.5531,35.3215,33.0146,-1.98864,712.202,-0.628325,0.00469857,-0.623627,0.000596898,7.59524e-10,0.00273429,-0.140839,-0.538771,0,
Thu Sep 26 21:39:06 2019,35038979,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5410,5538,1230,0,30,28,-0.301669,-0.258574,-9.63906,0.0106422,-0.0234129,0.00638535,-21.5531,35.3215,33.0146,-1.79258,712.489,-0.658243,0.00529974,-0.652944,0.000655063,9.69407e-10,0.00348986,-0.140839,-0.577547,0,
Thu Sep 26 21:39:06 2019,35048980,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5410,5538,1230,0,30,28,-0.244209,-0.215478,-9.36133,0.0127707,-0.0287341,0.00851379,-21.5531,35.3215,33.0146,-1.49433,712.777,-0.689805,0.00650119,-0.683304,0.000709011,8.99135e-10,0.00323688,-0.140839,-0.613513,0,
Thu Sep 26 21:39:06 2019,35058981,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5536,1226,0,28,28,-0.21069,-0.339977,-9.57681,0.0117065,-0.0361836,0.00532112,-21.5531,35.3215,33.0146,-1.2603,713.066,-0.721782,0.00806428,-0.713718,0.000768566,9.9258e-10,0.00357329,-0.140839,-0.653216,0,
Thu Sep 26 21:39:06 2019,35068982,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5536,1226,0,28,28,-0.186748,-0.258574,-9.52413,0.00957802,-0.0308625,0.00957802,-21.5531,35.3215,33.0146,-1.1233,713.351,-0.753166,0.00598509,-0.747181,0.00082998,1.02357e-09,0.00368485,-0.140839,-0.694159,0,
Thu Sep 26 21:39:06 2019,35078983,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5528,1228,0,28,28,-0.268151,-0.306458,-9.59596,0.00638535,-0.0351194,0.0127707,-21.5531,35.3215,33.0146,-1.60066,713.639,-0.78386,0.00674555,-0.777114,0.000879433,8.24212e-10,0.00296716,-0.140839,-0.727127,0,
