today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0025, kiei(I)=0, kded(D)=0.00085,signal, mad_pitch, multiplier
Thu Sep 26 21:56:11 2019,6807479,0,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5396,5550,1234,0,28,28,0.335188,-0.0957681,-9.51935,0.0308625,0.0138349,0.0223487,-22.6219,32.8113,28.8662,2.01663,0.282516,0.0019032,0.270245,0.272148,6.32241e+30,0,2.14962e+32,2.52896e+33,0,0,
Thu Sep 26 21:56:11 2019,6817480,934.48,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5348,5516,1226,0,28,28,0.201113,-0.0909797,-9.63906,0.0393763,0.00744957,0.0383121,-22.6219,32.8113,28.8662,1.19527,0.570824,0.00857192,0.522044,0.530616,0.0935396,-0,-2.14962e+32,-0.140839,-37.5567,0,
Thu Sep 26 21:56:11 2019,6827482,934.48,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5540,1230,0,30,28,0.0957681,-0.296881,-9.57202,0.0542754,-0.00638535,0.0702388,-22.6219,32.8113,28.8662,0.573226,0.861267,0.0193418,0.752515,0.771857,0.0926087,-0,-0.0316509,-0.140839,-37.1843,0,
Thu Sep 26 21:56:11 2019,6837483,934.48,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5540,1230,0,30,28,-0.023942,-0.445322,-9.73004,0.0340552,-0.0223487,0.0851379,-22.6219,32.8113,28.8662,-0.140984,1.15232,0.0312004,0.961143,0.992343,0.091676,-0,-0.0317096,-0.140839,-36.8113,0,
Thu Sep 26 21:56:11 2019,6847484,934.48,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5540,1230,0,30,26,-0.071826,-0.35913,-9.7444,0.0180918,-0.0404405,0.0893948,-22.6219,32.8113,28.8662,-0.42232,1.44398,0.0418097,1.149,1.19081,0.0908131,-0,-0.0293413,-0.140839,-36.4661,0,
Thu Sep 26 21:56:11 2019,6857485,934.48,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5536,1234,0,30,26,-0.138864,-0.311246,-9.73961,-0.0042569,-0.0585323,0.0936517,-22.6219,32.8113,28.8662,-0.816847,1.73564,0.0496585,1.31655,1.36621,0.0899806,-0,-0.0283031,-0.140839,-36.1331,0,
Thu Sep 26 21:56:11 2019,6867486,936.087,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5536,1234,0,30,26,-0.205901,-0.325611,-9.85453,-0.0223487,-0.080881,0.0744957,-22.6219,32.8113,28.8662,-1.19697,2.02852,0.0535828,1.46606,1.51964,0.0891747,-0,-0.0274013,-0.140839,-35.8107,0,
Thu Sep 26 21:56:11 2019,6877487,936.087,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5362,5528,1230,0,30,28,-0.162806,-0.258574,-9.89284,-0.0478901,-0.0936517,0.0489543,-22.6219,32.8113,28.8662,-0.942828,2.31866,0.0530513,1.5947,1.64775,0.0884033,-0,-0.0262269,-0.140839,-35.5022,0,
Thu Sep 26 21:56:11 2019,6887488,936.087,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5362,5528,1230,0,30,28,-0.138864,0.0814029,-9.54808,-0.0297983,-0.113872,0.0159634,-22.6219,32.8113,28.8662,-0.833231,2.61093,0.0486692,1.70843,1.7571,0.0876627,-0,-0.0251812,-0.140839,-35.2059,0,
Thu Sep 26 21:56:11 2019,6897489,936.087,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5402,5532,1228,0,28,26,-0.023942,0.138864,-9.59596,-0.0159634,-0.125578,-0.00851379,-22.6219,32.8113,28.8662,-0.142953,2.90077,0.0418782,1.80372,1.8456,0.08696,-0,-0.023892,-0.140839,-34.9248,0,
Thu Sep 26 21:56:11 2019,6907490,935.296,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5380,5544,1230,0,28,28,0.114922,0.0191536,-9.63906,0.019156,-0.152184,-0.0117065,-22.6219,32.8113,28.8662,0.683077,3.19487,0.0350948,1.88818,1.92327,0.0862625,-0,-0.0237153,-0.140839,-34.6458,0,
Thu Sep 26 21:56:11 2019,6917491,935.296,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5380,5544,1230,0,28,28,0.105345,-0.110133,-9.50498,0.0276698,-0.169212,-0.0287341,-22.6219,32.8113,28.8662,0.634991,3.48623,0.030509,1.95571,1.98622,0.0855899,-0,-0.0228677,-0.140839,-34.3768,0,
