today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD{38}KP=0.004KI=0KD=0.0007,PITCH_MEAS{39},ROLL_CMD{40},ROLL_MEAS{41},YAW_CMD{42}KPy=0.3KIy=0.0035KDy=0,YAW_MEAS{43},
Sun Feb 18 11:36:23 2018,1026961361,583.886,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5350,5524,1076,0,30,12,0.0430956,-0.0814029,-10.41,0.0170276,-0.0117065,0.0106422,-20.3965,23.9344,7.32188,-0.18779,4.27699,-10.4225,44.2592,2.38419e-07,0.0106422,
Sun Feb 18 11:36:23 2018,1026971362,583.886,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5526,1072,0,30,12,-0.0861913,-0.158017,-10.3669,0.0148991,-0.0106422,0.0127707,-20.3965,23.9344,7.32188,7.62939e-06,26.0119,-7.62939e-06,-113.576,2.38419e-07,0.0127707,
Sun Feb 18 11:36:23 2018,1026981365,583.886,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5526,1072,0,30,12,0.0861913,-0.148441,-10.3334,0.0159634,-0.0180918,0.0127707,-20.3965,23.9344,7.32188,7.62939e-06,26.1515,-7.62939e-06,-113.219,2.38419e-07,0.0127707,
Sun Feb 18 11:36:23 2018,1026991366,583.886,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5532,1070,0,8,30,-0.0574608,-0.172383,-10.41,0.0170276,-0.0138349,0.0117065,-20.3965,23.9344,7.32188,7.62939e-06,26.3945,-7.62939e-06,-112.609,2.38419e-07,0.0117065,
Sun Feb 18 11:36:23 2018,1027001367,551.641,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5354,5532,1070,0,8,30,0.0526724,-0.0957681,-10.3573,0.0148991,-0.0106422,0.0138349,-20.7422,22.8938,9.98438,7.62939e-06,26.6194,-7.62939e-06,-112.027,2.38419e-07,0.0138349,
Sun Feb 18 11:36:23 2018,1027011368,551.641,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5358,5536,1070,0,30,12,-0.023942,-0.143652,-10.3573,0.0117065,-0.00851379,0.0180918,-20.7422,22.8938,9.98438,7.62939e-06,26.841,-7.62939e-06,-111.44,2.38419e-07,0.0180918,
Sun Feb 18 11:36:23 2018,1027021369,551.641,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5358,5536,1070,0,30,12,0.0143652,-0.071826,-10.5105,0.0148991,-0.0117065,0.00957802,-20.7422,22.8938,9.98438,7.62939e-06,27.06,-7.62939e-06,-110.852,2.38419e-07,0.00957802,
Sun Feb 18 11:36:23 2018,1027031370,551.641,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5520,1070,0,8,32,0.023942,-0.148441,-10.4818,0.0159634,-0.0117065,0.0106422,-20.7422,22.8938,9.98438,7.62939e-06,27.2729,-7.62939e-06,-110.26,2.38419e-07,0.0106422,
Sun Feb 18 11:36:23 2018,1027041371,584.06,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5520,1070,0,8,32,0.0383072,-0.220267,-10.4339,0.0159634,-0.0106422,0.019156,-20.7422,22.8938,9.98438,7.62939e-06,27.486,-7.62939e-06,-109.667,2.38419e-07,0.019156,
Sun Feb 18 11:36:23 2018,1027051372,584.06,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5354,5540,1074,0,8,30,-0.0766145,-0.181959,-10.3765,0.0127707,-0.0106422,0.0180918,-20.7422,22.8938,9.98438,7.62939e-06,27.6984,-7.62939e-06,-109.073,2.38419e-07,0.0180918,
Sun Feb 18 11:36:23 2018,1027061373,584.06,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5354,5540,1074,0,8,30,0.0766145,-0.181959,-10.3573,0.0159634,-0.0159634,0.00851379,-20.7422,22.8938,9.98438,7.62939e-06,27.9072,-7.62939e-06,-108.477,2.38419e-07,0.00851379,
Sun Feb 18 11:36:23 2018,1027071374,584.06,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5350,5536,1072,0,30,14,0.00957681,-0.148441,-10.5297,0.0138349,-0.0042569,0.00957802,-20.7422,22.8938,9.98438,7.62939e-06,28.1121,-7.62939e-06,-107.879,2.38419e-07,0.00957802,
Sun Feb 18 11:36:23 2018,1027081375,584.06,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5350,5536,1072,0,30,14,0.0143652,-0.205901,-10.5393,0.0159634,-0.00744957,0.0106422,-20.7422,22.8938,9.98438,7.62939e-06,28.3141,-7.62939e-06,-107.279,2.38419e-07,0.0106422,
Sun Feb 18 11:36:23 2018,1027091376,584.06,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5346,5498,1072,0,8,32,0.0143652,-0.153229,-10.4339,0.0127707,-0.00957802,0.0159634,-20.7422,22.8938,9.98438,7.62939e-06,28.5143,-7.62939e-06,-106.676,2.38419e-07,0.0159634,
Sun Feb 18 11:36:23 2018,1027101377,583.191,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5346,5498,1072,0,8,32,-0.105345,-0.181959,-10.501,0.0127707,-0.0117065,0.0117065,-20.7422,22.8938,9.98438,7.62939e-06,28.7121,-7.62939e-06,-106.072,2.38419e-07,0.0117065,
Sun Feb 18 11:36:23 2018,1027111378,583.191,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5332,5498,1070,10,32,12,0.301669,-0.138864,-10.3908,0.0138349,0.0276698,0.0510828,-20.7422,22.8938,9.98438,7.62939e-06,28.9068,-7.62939e-06,-105.465,2.38419e-07,0.0510828,
Sun Feb 18 11:36:23 2018,1027121379,583.191,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5332,5498,1070,10,32,12,0.0622492,-0.0526724,-9.95509,-0.0106422,-0.0223487,0.0266056,-20.7422,22.8938,9.98438,7.62939e-06,29.1167,-7.62939e-06,-104.866,2.38419e-07,0.0266056,
Sun Feb 18 11:36:23 2018,1027131380,583.191,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5326,5498,1028,8,30,10,-0.320823,0.0574608,-10.6494,0.0446974,-0.0351194,-0.0553397,-20.7422,22.8938,9.98438,7.62939e-06,29.324,-7.62939e-06,-104.253,2.38419e-07,-0.0553397,
Sun Feb 18 11:36:23 2018,1027141381,584.268,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5326,5498,1028,8,30,10,0.435745,-0.339977,-10.5058,0.0532112,0.00638535,-0.0319267,-20.7422,22.8938,9.98438,7.62939e-06,29.4727,-7.62939e-06,-103.634,2.38419e-07,-0.0319267,
Sun Feb 18 11:36:23 2018,1027151382,584.268,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5346,5532,1066,8,30,12,0.196325,-0.646434,-9.89763,0.0127707,-0.0436332,0.0798168,-20.7422,22.8938,9.98438,7.62939e-06,29.6179,-7.62939e-06,-103.011,2.38419e-07,0.0798168,
Sun Feb 18 11:36:23 2018,1027161383,584.268,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5346,5532,1066,8,30,12,-0.153229,-0.181959,-10.8936,0.0180918,-0.00744957,0.0979086,-20.7422,22.8938,9.98438,7.62939e-06,29.836,-7.62939e-06,-102.379,2.38419e-07,0.0979086,
Sun Feb 18 11:36:23 2018,1027171384,584.268,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5354,5532,1068,0,8,30,0.0766145,0.383072,-10.5536,-0.0404405,-0.0212845,0.0553397,-20.7422,22.8938,9.98438,7.62939e-06,30.0658,-7.62939e-06,-101.786,2.38419e-07,0.0553397,
Sun Feb 18 11:36:23 2018,1027181385,584.268,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5354,5532,1068,0,8,30,-0.344765,0.167594,-10.2137,0.0468259,0.00532112,-0.0319267,-20.7422,22.8938,9.98438,7.62939e-06,30.2609,-7.62939e-06,-101.201,2.38419e-07,-0.0319267,
Sun Feb 18 11:36:23 2018,1027191386,584.268,1514,1514,1088,1514,1940,1940,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,0.5,5340,5512,1074,0,30,14,-0.0335188,-0.339977,-10.4818,0.0255414,-0.0117065,-0.0627892,-20.7422,22.8938,9.98438,7.62939e-06,30.4082,-7.62939e-06,-100.561,2.38419e-07,-0.0627892,
