today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD_KP=0.0045KI=0KD=0.000742,PITCH_MEAS,ROLL_CMD_KP0.0045KI=0KD=0.000742,ROLL_MEAS,YAW_CMDKPy=0.231KIy=0KDy=0,YAW_MEAS,
Thu Feb 15 18:54:56 2018,8976802,0,1515,1516,1088,1514,1940,1514,0.0704269,0.140846,1,2.38419e-07,0.5,-1.19209e-07,5138,18,1052,0,28,30,-0.201113,-0.316035,-10.2424,-0.00319267,0.0223487,-0.019156,41.5957,16.6359,46.7771,2.51629e+33,45.1232,0,61.9481,1.65875e-40,-0.019156,
Thu Feb 15 18:54:56 2018,8986803,559.183,1515,1515,1088,1514,1940,1514,0.0704269,0.0704269,1,2.38419e-07,0.5,-1.19209e-07,5138,18,1052,0,28,30,-0.196325,-0.335188,-10.0556,-0.0042569,0.0297983,-0.0223487,41.5957,16.6359,46.7771,0.140846,44.9439,0.0704269,61.5623,2.38419e-07,-0.0223487,
Thu Feb 15 18:54:56 2018,8996806,559.183,1515,1515,1088,1514,1940,1514,0.0704269,0.0704269,1,2.38419e-07,0.5,-1.19209e-07,5118,16,1048,0,8,30,-0.268151,-0.234632,-10.2855,-0.00319267,0.0308625,-0.019156,41.5957,16.6359,46.7771,0.0704269,44.8215,0.0704269,60.7435,2.38419e-07,-0.019156,
Thu Feb 15 18:54:56 2018,9006807,559.183,1515,1515,1088,1514,1940,1514,0.0704269,0.0704269,1,2.38419e-07,0.5,-1.19209e-07,5118,16,1048,0,8,30,-0.110133,-0.292093,-10.3908,-0.00532112,0.0234129,-0.0212845,41.5957,16.6359,46.7771,0.0704269,44.7003,0.0704269,59.9684,2.38419e-07,-0.0212845,
Thu Feb 15 18:54:56 2018,9016808,559.183,1515,1515,1088,1514,1940,1514,0.0704269,0.0704269,1,2.38419e-07,0.5,-1.19209e-07,5140,16,1046,0,28,12,-0.220267,-0.344765,-10.2424,-0.00532112,0.0297983,-0.0180918,41.5957,16.6359,46.7771,0.0704269,44.5715,0.0704269,59.2008,2.38419e-07,-0.0180918,
Thu Feb 15 18:54:56 2018,9026809,559.183,1515,1515,1088,1514,1940,1514,0.0704269,0.0704269,1,2.38419e-07,0.5,-1.19209e-07,5140,16,1046,0,28,12,-0.143652,-0.282516,-10.1993,-0.0042569,0.0244772,-0.0223487,41.5957,16.6359,46.7771,0.0704269,44.4423,0.0704269,58.4341,2.38419e-07,-0.0223487,
Thu Feb 15 18:54:56 2018,9036810,558.583,1515,1515,1088,1514,1940,1514,0.0704269,0.0704269,1,2.38419e-07,0.5,-1.19209e-07,5114,16,1044,0,8,30,-0.229843,-0.316035,-10.1993,-0.0042569,0.0266056,-0.019156,41.5957,16.6359,46.7771,0.0704269,44.3061,0.0704269,57.6711,2.38419e-07,-0.019156,
Thu Feb 15 18:54:56 2018,9046811,558.583,1515,1515,1088,1514,1940,1514,0.0704269,0.0704269,1,2.38419e-07,0.5,-1.19209e-07,5114,16,1044,0,8,30,-0.229843,-0.320823,-10.2807,-0.0106422,0.0244772,-0.0202203,41.5957,16.6359,46.7771,0.0704269,44.1662,0.0704269,56.9119,2.38419e-07,-0.0202203,
Thu Feb 15 18:54:56 2018,9056812,558.583,1515,1516,1088,1514,1940,1514,0.0704269,0.140846,1,2.38419e-07,0.5,-1.19209e-07,5118,20,1048,0,28,14,-0.181959,-0.272939,-10.3142,-0.00957802,0.0276698,-0.0202203,41.5957,16.6359,46.7771,0.0704269,44.0212,0.0704269,56.1568,2.38419e-07,-0.0202203,
Thu Feb 15 18:54:56 2018,9066813,558.583,1515,1516,1088,1514,1940,1514,0.0704269,0.140846,1,2.38419e-07,0.5,-1.19209e-07,5118,20,1048,0,28,14,-0.196325,-0.311246,-10.2759,-0.00319267,0.0255414,-0.0180918,41.5957,16.6359,46.7771,0.140846,43.8716,0.0704269,55.406,2.38419e-07,-0.0180918,
