today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD_KP=0.005KI=0KD=0.000742,PITCH_MEAS,ROLL_CMD_KP0.005KI=0KD=0.000742,ROLL_MEAS,YAW_CMDKPy=0.231KIy=0KDy=0,YAW_MEAS,
Thu Feb 15 18:19:49 2018,33175109,0,1515,1516,1088,1514,1088,1940,0.0469437,0.093895,1,2.38419e-07,-0.5,0.5,5152,16,1142,0,8,28,-0.0861913,-0.047884,-10.1945,-0.00744957,0.0276698,-0.0212845,-17.8008,11.3344,26.2793,2.55939e+33,8.53377,0,-12.4124,1.65875e-40,-0.0212845,
Thu Feb 15 18:19:49 2018,33185110,557.793,1515,1516,1088,1514,1088,1940,0.0469437,0.093895,1,2.38419e-07,-0.5,0.5,5136,18,1136,0,28,28,-0.0670376,-0.0814029,-10.2807,-0.00532112,0.0308625,-0.0223487,-17.8008,11.3344,26.2793,0.093895,8.41504,0.0469437,-12.1941,2.38419e-07,-0.0223487,
Thu Feb 15 18:19:49 2018,33195113,557.793,1515,1516,1088,1514,1088,1940,0.0469437,0.093895,1,2.38419e-07,-0.5,0.5,5136,18,1136,0,28,28,-0.0909797,-0.0047884,-10.1849,-0.00744957,0.0276698,-0.0138349,-17.8008,11.3344,26.2793,0.093895,8.28036,0.0469437,-11.9336,2.38419e-07,-0.0138349,
Thu Feb 15 18:19:49 2018,33205114,557.793,1515,1516,1088,1514,1088,1940,0.0469437,0.093895,1,2.38419e-07,-0.5,0.5,5130,16,1140,0,8,30,-0.0383072,-0.105345,-10.2232,-0.00744957,0.0255414,-0.0170276,-17.8008,11.3344,26.2793,0.093895,8.14982,0.0469437,-11.674,2.38419e-07,-0.0170276,
Thu Feb 15 18:19:49 2018,33215115,557.793,1515,1516,1088,1514,1088,1940,0.0469437,0.093895,1,2.38419e-07,-0.5,0.5,5130,16,1140,0,8,30,-0.0909797,-0.143652,-10.3094,-0.0117065,0.0287341,-0.0202203,-17.8008,11.3344,26.2793,0.093895,8.02017,0.0469437,-11.4195,2.38419e-07,-0.0202203,
Thu Feb 15 18:19:49 2018,33225116,557.793,1515,1516,1088,1515,1088,1940,0.0469437,0.093895,1,-0.00234723,-0.5,0.5,5130,18,1140,0,6,28,-0.0909797,-0.071826,-10.252,-0.00851379,0.0255414,-0.0159634,-17.8008,11.3344,26.2793,0.093895,7.88796,0.0469437,-11.1675,2.38419e-07,-0.0159634,
Thu Feb 15 18:19:49 2018,33235117,557.949,1515,1516,1088,1515,1088,1940,0.0469437,0.093895,1,-0.00234723,-0.5,0.5,5130,18,1140,0,6,28,-0.124498,-0.114922,-10.4004,-0.00638535,0.0234129,-0.0170276,-17.8008,11.3344,26.2793,0.093895,7.75901,0.0469437,-10.9192,-0.00234723,-0.0170276,
Thu Feb 15 18:19:49 2018,33245118,557.949,1515,1516,1088,1515,1088,1940,0.0469437,0.093895,1,-0.00234723,-0.5,0.5,5128,18,1138,0,8,30,-0.0526724,-0.0622492,-10.1993,-0.00744957,0.0255414,-0.019156,-17.8008,11.3344,26.2793,0.093895,7.63106,0.0469437,-10.6754,-0.00234723,-0.019156,
Thu Feb 15 18:19:49 2018,33255119,557.949,1515,1516,1088,1515,1088,1940,0.0469437,0.093895,1,-0.00234723,-0.5,0.5,5128,18,1138,0,8,30,-0.047884,-0.047884,-10.3956,-0.00957802,0.0255414,-0.0223487,-17.8008,11.3344,26.2793,0.093895,7.50989,0.0469437,-10.4412,-0.00234723,-0.0223487,
Thu Feb 15 18:19:49 2018,33265120,557.949,1515,1516,1088,1514,1088,1940,0.0469437,0.093895,1,2.38419e-07,-0.5,0.5,5136,16,1140,0,8,28,-0.0957681,-0.0574608,-10.2711,-0.00957802,0.0308625,-0.0148991,-17.8008,11.3344,26.2793,0.093895,7.38405,0.0469437,-10.2061,-0.00234723,-0.0148991,
Thu Feb 15 18:19:49 2018,33275121,557.74,1515,1516,1088,1514,1088,1940,0.0469437,0.093895,1,2.38419e-07,-0.5,0.5,5136,16,1140,0,8,28,-0.0335188,-0.100556,-10.161,-0.00638535,0.0308625,-0.0180918,-17.8008,11.3344,26.2793,0.093895,7.26618,0.0469437,-9.97441,2.38419e-07,-0.0180918,
