Time (sec),AccY (m/s^2),AccZ (m/s^2),Gyro (deg/s)
4.427,-2.509981,-9.292676,5.914634
4.45,-2.509981,-9.292676,5.914634
4.463,-2.509981,-9.292676,5.914634
4.47,-2.509981,-9.292676,5.914634
4.482,-2.509981,-9.292676,5.914634
4.49,-2.509981,-9.292676,5.914634
4.502,-2.509981,-9.292676,5.914634
4.51,-2.318379,-9.216036,-7.814574
4.522,-2.299219,-9.254355,-7.818391
4.53,-2.318379,-9.311836,-7.575916
4.552,-2.299219,-9.235196,-7.028511
4.56,-2.299219,-9.273516,-6.726173
4.571,-2.280059,-9.292676,-6.484819
4.581,-2.299219,-9.254355,-6.12262
4.59,-2.280059,-9.101074,-5.575891
4.6,-2.280059,-9.081915,-5.456318
4.61,-2.222578,-9.196876,-5.152751
4.62,-2.222578,-9.235196,-4.851103
4.632,-2.203418,-9.273516,-4.489069
4.64,-2.222578,-9.235196,-3.942897
4.66,-2.203418,-9.311836,-3.580302
4.672,-2.222578,-9.369317,-3.279129
4.68,-2.222578,-9.350157,-3.098486
4.691,-2.222578,-9.120234,-2.6136
4.701,-2.222578,-9.120234,-2.737238
4.71,-2.222578,-9.216036,-2.1895
4.72,-2.184258,-9.235196,-1.886625
4.733,-2.165098,-9.254355,-1.4622
4.742,-2.165098,-9.120234,-1.221244
4.751,-2.145938,-9.062755,-1.161814
4.771,-2.145938,-9.311836,-0.1281572
4.781,-2.165098,-9.350157,-0.1927131
4.79,-2.184258,-9.273516,0.2928699
4.8,-2.203418,-9.350157,0.5343869
4.81,-2.222578,-9.388477,1.142676
4.82,-2.203418,-9.350157,1.079382
4.832,-2.184258,-9.216036,1.747367
4.842,-2.184258,-9.081915,1.805788
4.851,-2.145938,-9.120234,2.292355
4.861,-2.145938,-9.139395,2.28929
4.881,-2.203418,-9.292676,2.530068
4.89,-2.222578,-9.120234,2.711055
4.901,-2.260899,-9.158555,2.526702
4.91,-2.299219,-9.273516,2.830896
4.92,-2.337539,-9.350157,2.768992
4.932,-2.318379,-9.292676,2.585259
4.944,-2.260899,-9.158555,2.767275
4.951,-2.184258,-9.216036,2.522533
4.961,-2.165098,-9.235196,2.702512
4.971,-2.145938,-9.273516,2.637169
4.991,-2.203418,-9.139395,2.326468
5.005,-2.318379,-9.254355,2.38162
5.011,-2.318379,-9.235196,2.135804
5.022,-2.318379,-9.311836,1.76812
5.03,-2.318379,-9.235196,1.889156
5.04,-2.337539,-9.101074,1.399521
5.05,-2.356699,-9.177715,1.459123
5.061,-2.318379,-9.292676,1.213208
5.07,-2.280059,-9.330997,1.150586
5.779,-2.280059,-9.292676,0.7221103
5.794,-2.586621,-9.120234,14.19717
5.801,-2.567461,-9.120234,16.02598
5.81,-2.548301,-9.254355,18.83099
5.82,-2.548301,-9.177715,21.51398
5.83,-2.605781,-9.062755,22.97741
5.84,-2.701582,-8.966953,26.39212
5.852,-2.893184,-8.986114,29.56306
5.86,-2.931504,-8.966953,31.27067
5.87,-2.969824,-8.986114,33.22222
5.881,-3.008145,-8.947793,34.6251
5.9,-3.065625,-9.139395,37.91822
5.911,-3.084785,-9.139395,38.77206
5.92,-3.103945,-9.062755,39.38172
5.931,-3.238066,-8.813672,39.56452
5.94,-3.333867,-8.775352,39.6254
5.95,-3.467988,-8.756192,39.01555
5.962,-3.602109,-8.775352,38.46663
5.971,-3.793711,-8.717872,37.49091
5.98,-3.793711,-8.641231,36.57616
5.991,-3.812871,-8.660391,34.62482
6.011,-3.67875,-8.890313,30.78316
6.022,-3.64043,-8.947793,27.55097
6.031,-3.64043,-8.813672,25.66037
6.04,-3.64043,-8.851993,23.64781
6.052,-3.717071,-8.928633,20.4766
6.06,-3.812871,-8.909473,18.4637
6.07,-3.927832,-8.832832,15.65796
6.081,-4.042793,-8.641231,12.48607
6.09,-4.311035,-8.54543,9.497396
6.103,-4.330195,-8.52627,5.71575
6.123,-4.330195,-8.487949,-0.5651432
6.131,-4.253555,-8.43047,-2.638431
6.142,-4.157754,-8.487949,-6.114195
6.152,-4.042793,-8.52627,-8.614312
6.161,-3.889512,-8.717872,-10.57015
6.17,-3.812871,-8.737032,-12.52824
6.18,-3.774551,-8.62207,-13.87657
6.191,-3.755391,-8.641231,-16.2028
6.2,-3.812871,-8.871153,-17.85601
6.211,-3.889512,-8.909473,-19.5102
6.23,-3.985313,-8.794512,-21.35255
6.243,-4.061953,-8.775352,-22.951
6.251,-4.042793,-8.737032,-23.69251
6.262,-3.966152,-8.737032,-24.79528
6.27,-3.812871,-8.679551,-25.28175
6.281,-3.64043,-8.54543,-26.07176
6.29,-3.506309,-8.62207,-26.61854
6.3,-3.448828,-8.756192,-26.67752
6.31,-3.333867,-8.871153,-27.16611
6.321,-3.276387,-8.947793,-27.05263
6.341,-3.257227,-8.890313,-26.69526
6.351,-3.333867,-8.966953,-26.88454
6.36,-3.353028,-9.005274,-26.58373
6.371,-3.429668,-8.928633,-26.64419
6.382,-3.467988,-8.794512,-26.09472
6.391,-3.391348,-8.890313,-25.91127
6.4,-3.333867,-8.947793,-25.48393
6.41,-3.238066,-9.043594,-25.72466
6.421,-3.123106,-9.101074,-24.61583
6.43,-2.893184,-9.081915,-24.36347
6.441,-2.778223,-9.235196,-23.50699
6.451,-2.701582,-9.273516,-23.37658
6.462,-2.778223,-9.465117,-21.84718
6.471,-2.816543,-9.350157,-21.17739
6.48,-2.835703,-9.196876,-20.01979
6.49,-2.912344,-9.177715,-18.98414
6.5,-3.008145,-9.254355,-17.2171
6.511,-2.950664,-9.330997,-14.8969
6.523,-3.008145,-9.350157,-12.32088
6.53,-2.912344,-9.350157,-11.15482
6.54,-2.663262,-9.062755,-7.675445
6.55,-2.816543,-8.487949,-5.286113
6.561,-2.567461,-8.928633,-3.011794
6.57,-2.280059,-8.392149,-1.776236
6.581,-2.280059,-8.258028,-1.328011
6.591,-1.916016,-8.717872,-0.2144033
6.6,-1.820215,-8.737032,-0.3203077
6.611,-1.877695,-8.698711,0.1147512
6.622,-1.935176,-9.388477,0.3487813
6.632,-2.203418,-9.426797,0.09747462
6.652,-2.950664,-10.11656,0.2705291
6.66,-3.161426,-10.11656,0.5778043
6.672,-3.391348,-9.79084,0.7704619
6.68,-3.506309,-9.599238,0.8997112
6.691,-3.353028,-9.158555,1.397247
6.7,-3.142266,-8.890313,1.587471
6.71,-2.912344,-8.50711,1.415667
6.721,-2.586621,-8.392149,1.806546
6.732,-2.030977,-8.258028,2.197425
6.74,-1.877695,-8.334668,2.27717
6.753,-1.762734,-8.50711,2.710255
6.761,-1.781895,-8.737032,2.89175
6.77,-2.318379,-9.254355,3.002169
6.781,-2.682422,-9.484278,3.29167
6.79,-3.065625,-10.02076,3.585015
6.8,-3.410508,-10.289,3.75641
6.81,-3.67875,-10.21236,4.120257
6.821,-3.602109,-9.79084,4.569818
6.83,-3.391348,-9.465117,5.135646
6.842,-2.682422,-8.583751,5.768132
6.862,-2.030977,-8.200547,6.63318
6.871,-1.820215,-8.047266,6.389312
6.88,-1.801055,-7.932305,6.999104
6.89,-2.145938,-8.50711,7.365004
6.9,-2.49082,-8.928633,7.365039
6.91,-2.912344,-9.292676,7.791991
6.921,-3.544629,-9.886642,8.036291
6.932,-3.62127,-10.03992,8.646443
6.94,-3.67875,-10.07824,9.134547
6.952,-3.525469,-10.03992,9.500797
6.97,-2.605781,-9.024434,10.59846
6.98,-2.318379,-8.698711,11.02585
6.991,-2.069297,-8.43047,11.51442
7.002,-1.877695,-8.277188,12.1859
7.011,-1.992656,-8.296348,12.42963
7.02,-2.39502,-8.315508,13.46511
7.03,-2.739902,-8.238868,13.58596
7.04,-3.525469,-9.177715,14.01132
7.052,-3.851192,-9.407638,14.74156
7.06,-4.061953,-9.75252,15.53443
7.072,-4.157754,-9.829161,16.26642
7.08,-4.042793,-9.733359,16.32824
7.091,-3.832031,-9.560919,16.93911
7.1,-3.525469,-9.407638,17.36678
7.11,-2.816543,-8.871153,17.61119
7.12,-2.529141,-8.449629,17.79395
7.131,-2.280059,-8.258028,18.0986
7.142,-2.165098,-8.162227,18.5252
7.15,-2.318379,-8.219707,18.82991
7.161,-2.605781,-8.296348,18.64604
7.18,-3.353028,-8.737032,19.61999
7.191,-4.119434,-9.426797,19.74028
7.2,-4.406836,-9.637559,20.22684
7.21,-4.579278,-9.7142,20.89688
7.221,-4.579278,-9.522598,20.83648
7.23,-4.311035,-9.081915,21.38569
7.24,-4.004473,-9.024434,21.75198
7.251,-3.64043,-8.717872,22.48426
7.26,-3.276387,-8.52627,21.87453
7.271,-2.931504,-7.970625,21.87345
7.29,-2.797383,-7.989786,21.62847
7.3,-3.065625,-8.737032,21.32252
7.311,-3.333867,-8.813672,20.89465
7.322,-3.62127,-9.005274,20.46582
7.33,-4.023633,-9.273516,21.19603
7.341,-4.751719,-9.637559,21.37696
7.35,-5.134922,-9.503438,21.61937
7.361,-5.249883,-9.311836,22.10631
7.372,-4.943321,-8.641231,22.5334
7.381,-4.598438,-8.449629,22.59458
7.393,-4.234395,-8.123906,22.7166
7.402,-3.889512,-7.817344,22.83875
7.412,-3.276387,-7.606582,23.14329
7.42,-3.103945,-7.510782,23.14269
7.43,-3.046465,-7.702383,23.44696
7.441,-3.084785,-8.162227,23.5681
7.45,-3.238066,-8.52627,23.20164
7.46,-3.966152,-9.177715,23.13958
7.47,-4.406836,-9.254355,23.38141
7.481,-4.82836,-9.350157,23.50061
7.492,-5.498965,-9.273516,23.49993
7.5,-5.633086,-9.005274,23.74177
7.511,-5.690567,-8.602911,23.61842
7.522,-5.575606,-8.123906,24.04517
7.53,-4.981641,-7.683223,23.86218
7.541,-4.617598,-7.549102,24.28893
7.55,-4.272715,-7.568262,24.04498
7.561,-4.004473,-7.702383,23.67834
7.57,-3.755391,-7.970625,23.37234
7.58,-3.755391,-8.219707,23.06598
7.604,-4.598438,-8.909473,22.33278
7.61,-4.962481,-8.890313,22.08787
7.62,-5.307364,-8.717872,21.96338
7.63,-5.556446,-8.56459,21.9005
7.641,-5.728887,-8.334668,21.59308
7.652,-5.613926,-8.143066,21.59054
7.66,-5.460645,-7.951465,21.46754
7.671,-5.249883,-7.664063,21.2228
7.68,-5.077442,-7.568262,21.28315
7.691,-4.790039,-7.702383,21.09939
7.702,-4.675078,-7.874825,20.67235
