today,microseconds_since_start,msl,a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2]
Fri Jun 29 19:32:54 2018,175069660,950.893,-0.59855,-1.80044,-11.8609,-0.0957802,-0.0319267,-0.20646,13.9852,55.5844,-26.3625
Fri Jun 29 19:32:54 2018,175079661,950.893188,-0.019153614,2.93529129,-21.495142,-0.421432823,0.009578018,0.015963364,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175089668,950.893188,0.531512797,4.21858311,-5.43962622,-0.242643133,0.111743547,0.238386244,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175099669,950.893188,-2.13562799,0.876277804,-9.04050541,0.097908631,0.063853458,0.362900466,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175109671,981.052856,2.82036948,-2.72938991,-7.48427439,-0.184110805,-0.090459064,-0.077688374,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175119673,981.052856,0.598550439,-2.92571449,-13.4218941,0.14792718,0.108550876,-0.415047467,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175129674,981.052856,-2.01591778,0.191536129,-10.5584297,0.205395281,-0.118128896,-0.172404334,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175139676,981.052856,-7.65186834,2.63841033,-10.5967369,0.368221611,-0.320331514,0.328845292,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175149677,958.383179,2.11168575,1.15879357,-14.9877024,-0.554460824,-0.242643133,0.282019436,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175159679,958.383179,3.21780705,1.72861362,-3.26569104,-0.234129339,-0.023412934,-0.055339664,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175169680,958.383179,5.35822344,-0.181959331,-4.55855989,0.288404793,0.328845292,-0.203266844,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175179681,958.383179,-1.21625447,-1.8626889,-8.81066227,0.299047023,-0.048954316,-0.061725009,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175189683,958.383179,-0.062249243,-0.74220252,-7.20654678,0.305432379,-0.252221167,0.003192673,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175199684,958.383179,0.92895025,2.71023631,-6.58405447,0.172404334,-0.204331055,-0.041504748,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175209686,955.385437,4.46758032,3.63918662,-19.8239899,-0.427818149,0.312881947,0.121321566,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175219687,955.385437,-2.58573771,1.95845699,2.04464817,0.190496147,0.23945047,0.276698321,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175229689,955.385437,-0.952892244,-1.39821374,-9.87847614,0.027669832,-0.038312074,0.063853458,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175239691,955.385437,2.26970315,-2.8826189,-5.71256495,0.354386687,-0.155376747,-0.252221167,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175249692,955.724304,3.35667062,-2.13083959,-12.0284691,0.580002248,0.124514237,-0.221358657,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175259693,955.724304,-1.8770541,2.24576116,-17.7506104,0.009578018,0.085137941,0.087266393,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175269695,955.724304,-3.90254879,3.39018965,-10.1322613,-0.533176363,-0.193688825,0.300111234,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175279696,955.724304,-0.622492433,0.330399841,-3.20344186,-0.219230205,-0.162826315,0.154312521,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175289697,955.724304,3.69185901,-2.48518133,-10.7978497,0.100037083,0.118128896,-0.17346856,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175299698,955.724304,3.26569104,-2.28406835,-7.60398436,0.302239686,0.118128896,-0.210716411,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175309699,956.410767,-2.9065609,-1.09175599,-11.8704519,0.576809585,-0.047890093,-0.022348709,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175319700,956.410767,-3.50511122,2.10689735,-15.571888,-0.311817706,-0.190496147,0.105358206,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175329701,956.410767,-3.53863001,2.42772055,-12.0380459,-0.440588862,-0.26499185,0.127706915,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175339703,956.410767,2.96881008,2.15478158,-3.68228221,0.212844849,0.086202167,0.17346856,13.985157,55.5843773,-26.3625011
Fri Jun 29 19:32:54 2018,175349705,955.315918,1.16358197,-2.52348852,-10.2519712,0.432075053,0.061725009,0.097908631,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175359706,955.315918,1.13485157,-3.23696065,-13.9677725,0.028734056,-0.059596561,-0.14792718,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175369707,955.315918,-1.7669208,0.478840321,-3.05978966,0.501249611,-0.305432379,-0.222422868,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175379708,955.315918,-0.914585054,1.19231248,-19.1009407,-0.186239243,-0.018091813,-0.045761645,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175389709,955.315918,-0.359130263,1.71903682,-6.64151525,-0.228808224,0.001064224,0.292661667,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175399710,955.315918,-2.58094931,-0.703895271,-7.71890593,0.150055617,0.143670276,0.276698321,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175409711,955.498413,4.01268196,-1.89141929,-9.4570961,-0.290533215,0.026605606,-0.159633636,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175419712,955.498413,-1.73340201,-2.57616091,-10.970232,0.087266393,-0.125578463,-0.355450898,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175429718,955.498413,-1.24977326,-0.876277804,-10.3621044,0.363964707,-0.005321121,-0.144734502,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175439720,955.498413,-3.24174905,1.31202257,-11.1569796,0.258606493,-0.088330612,0.210716411,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175449724,956.567139,2.7581203,1.9393034,-11.9518547,-0.657690585,0.073431477,0.162826315,13.4472656,53.2382812,-24.8015633
