today,microseconds_since_start,msl,T_Baro,rc0,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,rc6_scaled,rc7_scaled,roll_desired,,roll_cmd,roll_error,roll_error_rate,roll_error_sum,pitch_desired,,pitch_cmd,pitch_error,pitch_error_rate,pitch_error_sum,yaw_rate_desired,yaw_mpu_madgwick,yaw_cmd,yaw_rate_error,yaw_rate_error_rate,yaw_rate_error_sum,a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],m1cmd,m2cmd,m3cmd,m4cmd,throttle,time_gps,lat,lng,msl_gps,horz_accuracy,vert_accuracy,status_gps,prescribed_input1,prescribed_input2,prescribed_input3,prescribed_input4,prescribed_input_index,rpm
Fri Jun 29 20:29:52 2018,40359648,0,0,1513,1509,1088,1510,1088,1940,1514,1514,-0.0469513,-0.234749,1,-0.469482,-0.5,0.5,-260.274,-14622.5,0,,17.0864,0,0,0,0,,-4.5634,0,0,0,0,176.691,0.260392,0,0,0,-0.172383,0.713472,-9.65821,0.00212845,-0.0404405,0.00319267,60.2438,36.0938,18.3844,0.7,1.95,1.95,0.7,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,0
Fri Jun 29 20:29:52 2018,40369658,693.376282,29.3894386,1513,1509,1088,1510,1088,1940,1514,1514,-0.046951294,-0.23474884,1.00000012,-0.469482422,-0.500000119,0.5,-339.938324,-14506.5576,0,,17.0767689,0,0,0,0,,-4.60628176,0,0,0,0,176.656845,0.2629852,0,0,0,-0.22505495,0.794874966,-9.58159542,-0.001064224,-0.034055177,0,60.2437515,36.09375,18.3843765,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40379710,693.376282,29.3894386,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-311.150421,-14644.2988,0,,17.0647182,0,0,0,0,,-4.6529603,0,0,0,0,176.626831,0.26285401,0,0,0,-0.20590134,0.584185183,-9.672575,-0.001064224,-0.036183626,0,60.2437515,36.09375,18.3843765,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40389815,693.376282,29.3894386,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-267.446655,-14753.041,0,,17.0521793,0,0,0,0,,-4.7000947,0,0,0,0,176.599075,0.262732685,0,0,0,-0.177170917,0.790086567,-9.74440098,0.002128449,-0.037247852,0,60.2437515,36.09375,18.3843765,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40399852,693.376282,29.3894386,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-325.539612,-14644.2998,0,,17.0402946,0,0,0,0,,-4.74773312,0,0,0,0,176.571625,0.261697799,0,0,0,-0.215478152,0.694318473,-9.672575,0.001064224,-0.037247852,0.001064224,60.2437515,36.09375,18.3843765,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40409947,694.879456,29.5408516,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-260.249695,-14383.3096,0,,17.0276737,0,0,0,0,,-4.79540825,0,0,0,0,176.548523,0.259766996,0,0,0,-0.172382519,0.737414122,-9.50019264,0.002128449,-0.038312074,0.003192673,60.2437515,36.09375,18.3843765,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40420017,694.879456,29.5408516,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-434.207611,-14687.8057,0,,17.0148506,0,0,0,0,,-4.84389877,0,0,0,0,176.534225,0.268853486,0,0,0,-0.287304193,0.770932913,-9.70130539,0,-0.035119399,-0.00744957,60.2437515,36.09375,18.3843765,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40430076,694.879456,29.5408516,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-325.510864,-14593.5527,0,,17.0016193,0,0,0,0,,-4.8928957,0,0,0,0,176.522034,0.257821381,0,0,0,-0.215478152,0.723048925,-9.63905621,-0.002128449,-0.031926729,0.005321121,60.2437515,36.09375,18.3843765,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40440152,694.879456,29.5408516,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-224.035049,-14637.0439,0,,16.988081,0,0,0,0,,-4.9412303,0,0,0,0,176.511932,0.257777214,0,0,0,-0.14844051,0.703895271,-9.6677866,-0.003192673,-0.037247852,0.005321121,60.2437515,36.09375,18.3843765,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40450190,694.879456,29.5408516,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-354.480713,-14528.3076,0,,16.9731941,0,0,0,0,,-4.98966599,0,0,0,0,176.508118,0.265079707,0,0,0,-0.234631762,0.751779318,-9.59596062,0.002128449,-0.0393763,-0.003192673,60.2437515,36.09375,18.3843765,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
