today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:08:47 2018,4245726,0,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4890,20,1204,0,60,62,0.105345,0.162806,-10.2999,0.00744957,-0.0180918,0.0127707,-35.2617,45.4406,43.2656,-0.585916,-0.00518292,
Mon Feb  5 12:08:47 2018,4255727,759.7,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4824,14,1200,0,16,60,0.0957681,0.234632,-10.2089,0.0042569,-0.0170276,0.0117065,-35.7803,44.5734,43.432,-0.537326,-0.0152439,
Mon Feb  5 12:08:47 2018,4265732,759.7,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4824,14,1200,0,16,60,0.071826,0.244209,-10.2807,0,-0.0159634,0.00957802,-35.7803,44.5734,43.432,-0.400177,-0.0246951,
Mon Feb  5 12:08:47 2018,4275733,759.7,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,12,1204,0,62,24,0.0622492,0.158017,-10.1897,0.00319267,-0.0138349,0.00957802,-35.7803,44.5734,43.432,-0.349975,-0.0332317,
Mon Feb  5 12:08:47 2018,4285734,759.7,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,12,1204,0,62,24,0.105345,0.177171,-10.3046,-0.00106422,-0.0170276,0.00638535,-35.7803,44.5734,43.432,-0.585631,-0.0420731,
Mon Feb  5 12:08:47 2018,4295735,759.7,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,12,1204,0,62,24,0.0287304,0.220267,-10.2615,0.00319267,-0.0180918,0.0117065,-35.7803,44.5734,43.432,-0.16038,-0.0521341,
Mon Feb  5 12:08:47 2018,4305736,759.926,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1210,0,58,24,0.0143652,0.263362,-10.252,0.00319267,-0.0148991,0.0106422,-35.7803,44.5734,43.432,-0.0802571,-0.0615853,
Mon Feb  5 12:08:47 2018,4315737,759.926,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1210,0,58,24,0.114922,0.100556,-10.2711,0.00212845,-0.0170276,0.00851379,-35.7803,44.5734,43.432,-0.641014,-0.0707316,
Mon Feb  5 12:08:47 2018,4325738,759.926,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1204,0,16,62,0.0861913,0.205901,-10.3621,-0.00106422,-0.0170276,0.00851379,-35.7803,44.5734,43.432,-0.476477,-0.0804877,
Mon Feb  5 12:08:47 2018,4335739,759.926,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1204,0,16,62,0.0335188,0.167594,-10.2472,0.00106422,-0.0180918,0.0117065,-35.7803,44.5734,43.432,-0.18739,-0.0905487,
