today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1
Mon Feb  5 11:25:14 2018,4232737,0,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,16,1210,0,62,24,0.0622492,0.110133,-10.3813,0.00319267,-0.0202203,0.00638535,-29.5576,22.3734,45.0961,-0.34354,
Mon Feb  5 11:25:14 2018,4242738,745.806,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4904,14,1202,0,62,24,0.0909797,0.167594,-10.2041,0.00638535,-0.0170276,0.00638535,-29.5576,22.3734,45.0961,-0.510767,
Mon Feb  5 11:25:14 2018,4252741,745.806,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4904,14,1202,0,62,24,0.071826,0.21069,-10.2041,0.00106422,-0.0117065,0.00851379,-29.0391,23.2406,45.5953,-0.403209,
Mon Feb  5 11:25:14 2018,4262742,745.806,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1204,0,16,64,0.0861913,0.215478,-10.3717,-0.00106422,-0.0148991,0.0106422,-29.0391,23.2406,45.5953,-0.476029,
Mon Feb  5 11:25:14 2018,4272743,745.806,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1204,0,16,64,0.11971,0.225055,-10.3094,0.0042569,-0.0170276,0.00744957,-29.0391,23.2406,45.5953,-0.665113,
Mon Feb  5 11:25:14 2018,4282744,745.806,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1206,0,62,24,0.00957681,0.201113,-10.2807,-0.00106422,-0.0170276,0.00638535,-29.0391,23.2406,45.5953,-0.0533627,
Mon Feb  5 11:25:14 2018,4292745,744.885,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1206,0,62,24,0.100556,0.215478,-10.2663,0.00106422,-0.0180918,0.00851379,-29.0391,23.2406,45.5953,-0.561058,
Mon Feb  5 11:25:14 2018,4302746,744.885,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1206,0,62,62,0.114922,0.21069,-10.2999,-0.00319267,-0.0159634,0.00532112,-29.0391,23.2406,45.5953,-0.639123,
Mon Feb  5 11:25:14 2018,4312747,744.885,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1206,0,62,62,0.023942,0.186748,-10.2328,0.00638535,-0.0159634,0.00638535,-29.0391,23.2406,45.5953,-0.134034,
Mon Feb  5 11:25:14 2018,4322748,744.885,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,16,1202,0,62,62,0.0574608,0.220267,-10.2615,0.00106422,-0.0148991,0.00957802,-29.0391,23.2406,45.5953,-0.320758,
