today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:15:53 2018,4249838,0,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1214,0,60,60,-0.153229,0.392649,-11.2144,-0.201138,-0.192625,-0.00744957,-33.8789,40.9313,40.9359,0.782335,-0.0551829,
Mon Feb  5 12:15:53 2018,4259839,761.047,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1214,0,60,60,0.153229,0.335188,-10.8888,-0.126643,-0.184111,-0.0606608,-33.8789,40.9313,40.9359,-0.805838,-0.16311,
Mon Feb  5 12:15:53 2018,4269841,761.047,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4864,16,1196,0,62,24,0.368707,-0.0287304,-10.7452,-0.17134,-0.256478,-0.0138349,-33.8789,40.9313,40.9359,-1.96525,-0.289329,
Mon Feb  5 12:15:53 2018,4279842,761.047,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4864,16,1196,0,62,24,1.28329,-0.387861,-11.9854,-0.241579,-0.291597,0.00957802,-33.8789,40.9313,40.9359,-6.10829,-0.446341,
Mon Feb  5 12:15:53 2018,4289843,761.047,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4892,14,1202,0,16,24,0.924162,0.129287,-11.5496,-0.303304,-0.336295,0.0117065,-33.8789,40.9313,40.9359,-4.57458,-0.626219,
Mon Feb  5 12:15:53 2018,4299844,761.047,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4892,14,1202,0,16,24,0.474052,-0.272939,-10.8936,-0.344809,-0.345873,-0.00106422,-33.8789,40.9313,40.9359,-2.49096,-0.821646,
Mon Feb  5 12:15:53 2018,4309845,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4880,14,1202,0,60,22,0.407014,-0.641646,-11.157,-0.399084,-0.405469,-0.0148991,-33.8789,40.9313,40.9359,-2.08582,-1.03689,
Mon Feb  5 12:15:53 2018,4319846,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4880,14,1202,0,60,22,0.138864,-0.339977,-10.2328,-0.434204,-0.448038,-0.0170276,-33.8789,40.9313,40.9359,-0.777052,-1.2814,
Mon Feb  5 12:15:53 2018,4329847,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4892,16,1204,0,60,62,-0.201113,-0.316035,-10.6925,-0.47358,-0.474644,-0.0223487,-33.8789,40.9313,40.9359,1.07707,-1.54573,
Mon Feb  5 12:15:53 2018,4339848,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4892,16,1204,0,60,62,-0.0047884,0.191536,-11.0516,-0.52147,-0.494864,-0.019156,-33.8789,40.9313,40.9359,0.0248211,-1.82347,
Mon Feb  5 12:15:53 2018,4349849,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4876,16,1202,0,16,24,0.0143652,0.919373,-11.0277,-0.542754,-0.523598,-0.0244772,-33.8789,40.9313,40.9359,-0.0743782,-2.11524,
Mon Feb  5 12:15:53 2018,4359850,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4876,16,1202,0,16,24,-0.0909797,0.622492,-10.9607,-0.565103,-0.547011,-0.0564039,-33.8789,40.9313,40.9359,0.474811,-2.42195,
Mon Feb  5 12:15:53 2018,4369851,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4880,18,1200,0,16,62,-0.234632,0.665588,-10.3765,-0.605544,-0.59703,-0.0489543,-33.8789,40.9313,40.9359,1.29269,-2.74969,
Mon Feb  5 12:15:53 2018,4379852,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4880,18,1200,0,16,62,-0.282516,0.521936,-10.3956,-0.641727,-0.595966,-0.0564039,-30.249,39.7172,45.4289,1.55475,-3.09146,
Mon Feb  5 12:15:53 2018,4389853,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4882,16,1206,0,16,60,-0.320823,0.593762,-10.6638,-0.657691,-0.61725,-0.0702388,-30.249,39.7172,45.4289,1.72058,-3.43902,
Mon Feb  5 12:15:53 2018,4399854,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4882,16,1206,0,16,60,-0.124498,0.694318,-10.9176,-0.625764,-0.618314,-0.0659819,-30.249,39.7172,45.4289,0.652027,-3.79298,
Mon Feb  5 12:15:53 2018,4409855,761.385,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4884,16,1200,0,16,26,-0.225055,0.694318,-9.88805,-0.657691,-0.63747,-0.0893948,-30.249,39.7172,45.4289,1.30064,-4.15274,
Mon Feb  5 12:15:53 2018,4419856,761.385,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4884,16,1200,0,16,26,-0.919373,1.39343,-10.6398,-0.66514,-0.614057,-0.0776884,-30.249,39.7172,45.4289,4.89697,-4.51128,
Mon Feb  5 12:15:53 2018,4429857,761.385,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4880,16,1202,0,60,24,-0.857124,1.92973,-10.3286,-0.670461,-0.64492,-0.104294,-30.249,39.7172,45.4289,4.66353,-4.87195,
Mon Feb  5 12:15:53 2018,4439858,761.385,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4880,16,1202,0,60,24,-1.0343,1.87705,-9.51935,-0.651305,-0.642791,-0.1309,-30.249,39.7172,45.4289,6.08471,-5.24085,
Mon Feb  5 12:15:53 2018,4449859,759.413,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4894,14,1196,0,16,62,-0.861913,1.59454,-9.82102,-0.651305,-0.636406,-0.152184,-30.249,39.7172,45.4289,4.95104,-5.60731,
Mon Feb  5 12:15:53 2018,4459860,759.413,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4894,14,1196,0,16,62,-1.25456,1.81002,-9.5385,-0.650241,-0.634278,-0.173469,-30.249,39.7172,45.4289,7.36297,-5.97134,
Mon Feb  5 12:15:53 2018,4469861,759.413,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,14,1200,0,16,24,-1.18752,2.00634,-9.90721,-0.63747,-0.616186,-0.204331,-30.249,39.7172,45.4289,6.70039,-6.32957,
Mon Feb  5 12:15:53 2018,4479862,759.413,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,14,1200,0,16,24,-1.14443,1.76692,-10.3813,-0.603415,-0.610865,-0.234129,-30.249,39.7172,45.4289,6.20239,-6.68109,
Mon Feb  5 12:15:53 2018,4489863,759.413,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,16,1202,0,16,62,-1.15879,1.5275,-9.7875,-0.584259,-0.602351,-0.241579,-30.249,39.7172,45.4289,6.67209,-7.02865,
Mon Feb  5 12:15:53 2018,4499864,759.413,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,16,1202,0,16,62,-1.00556,1.53708,-10.003,-0.574681,-0.585323,-0.225616,-30.249,39.7172,45.4289,5.6743,-7.3689,
Mon Feb  5 12:15:53 2018,4509865,759.265,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4854,16,1194,0,62,62,-1.05824,1.68073,-9.79228,-0.533176,-0.603415,-0.216038,-30.249,39.7172,45.4289,6.07971,-7.70944,
Mon Feb  5 12:15:53 2018,4519866,759.265,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4854,16,1194,0,62,62,-1.32639,1.80523,-9.77792,-0.499121,-0.59703,-0.20646,-30.249,39.7172,45.4289,7.59822,-8.05335,
Mon Feb  5 12:15:53 2018,4529867,759.265,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4862,14,1196,0,16,62,-1.83875,2.27449,-9.85932,-0.46613,-0.604479,-0.209652,-30.249,39.7172,45.4289,10.2997,-8.39755,
Mon Feb  5 12:15:53 2018,4539868,759.265,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4862,14,1196,0,16,62,-2.07338,2.7246,-10.1849,-0.423561,-0.587452,-0.23945,-30.249,39.7172,45.4289,11.1257,-8.73902,
Mon Feb  5 12:15:53 2018,4549869,761.185,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,14,1196,0,62,24,-1.70467,2.58574,-9.73482,-0.352258,-0.595966,-0.275634,-30.249,39.7172,45.4289,9.60584,-9.07804,
Mon Feb  5 12:15:53 2018,4559870,761.185,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,14,1196,0,62,24,-1.52271,1.99676,-9.89284,-0.308625,-0.602351,-0.290533,-30.249,39.7172,45.4289,8.57996,-9.42133,
Mon Feb  5 12:15:53 2018,4569871,761.185,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,16,1194,0,16,62,-1.39343,1.87227,-9.98861,-0.278827,-0.601287,-0.271377,-30.249,39.7172,45.4289,7.80735,-9.76615,
Mon Feb  5 12:15:53 2018,4579872,761.185,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,16,1194,0,16,62,-1.45567,1.88184,-9.98861,-0.221359,-0.587452,-0.25435,-30.249,39.7172,45.4289,8.15014,-10.1067,
Mon Feb  5 12:15:53 2018,4589873,761.185,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,14,1200,0,16,58,-1.56581,1.78129,-10.386,-0.168147,-0.573617,-0.22668,-30.249,39.7172,45.4289,8.45181,-10.4393,
