today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:05:44 2018,4244815,0,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4896,14,1202,0,16,60,-0.0335188,0.258574,-10.2137,-0.00638535,-0.0170276,0.0127707,-32.6689,41.1047,38.7727,0.18797,-0.00182927,
Mon Feb  5 12:05:44 2018,4254816,761.177,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4832,14,1196,0,16,60,0.134075,0.339977,-10.3765,0,-0.0180918,0.0117065,-31.8047,41.625,37.275,-0.739886,-0.00365853,
Mon Feb  5 12:05:44 2018,4264818,761.177,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4832,14,1196,0,16,60,0.148441,0.129287,-10.2472,0.0117065,-0.0127707,0.00638535,-31.8047,41.625,37.275,-0.829862,-0.000304878,
Mon Feb  5 12:05:44 2018,4274819,761.177,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4848,18,1200,0,62,58,0.0047884,0.071826,-10.1993,0.00106422,-0.0159634,0.00744957,-31.8047,41.625,37.275,-0.0268988,0.00335366,
Mon Feb  5 12:05:44 2018,4284820,761.177,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4848,18,1200,0,62,58,-0.023942,0.272939,-10.1562,-0.00744957,-0.0159634,0.00106422,-31.8047,41.625,37.275,0.135019,0.00152439,
Mon Feb  5 12:05:44 2018,4294821,761.177,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4852,18,1198,0,62,58,0.148441,0.335188,-10.1801,0.0117065,-0.019156,0.00851379,-31.8047,41.625,37.275,-0.83494,0.0027439,
Mon Feb  5 12:05:44 2018,4304822,760.004,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4852,18,1198,0,62,58,0.0957681,0.129287,-10.2663,0.00744957,-0.0212845,0.0159634,-31.8047,41.625,37.275,-0.534418,0.0082317,
Mon Feb  5 12:05:44 2018,4314823,760.004,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,14,1202,0,16,58,-0.0574608,0.11971,-10.1418,0,-0.019156,0.0170276,-31.8047,41.625,37.275,0.324596,0.0103658,
Mon Feb  5 12:05:44 2018,4324824,760.004,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,14,1202,0,16,58,0.0622492,0.402226,-10.3573,-0.00638535,-0.0170276,0.0106422,-31.8047,41.625,37.275,-0.344094,0.00853658,
Mon Feb  5 12:05:44 2018,4334825,760.004,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4848,16,1192,0,62,26,0.0766145,0.354342,-10.2472,0.00532112,-0.0202203,0.00744957,-31.8047,41.625,37.275,-0.428116,0.0082317,
