today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:27:12 2019,4219563,0,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4828,0,24,20,62,66,0.172383,0.0430956,-9.5816,0.00532112,-0.00106422,-0.0042569,-18.9053,59.0209,8.30566,-91.0308,0.286784,
Thu Sep 19 06:27:12 2019,4229564,2426.74,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,0,22,20,66,62,0.167594,0.0861913,-9.62469,0.00744957,-0.00319267,-0.00638535,-18.9053,59.0209,8.30566,-90.9977,0.573873,
Thu Sep 19 06:27:12 2019,4239567,2426.74,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,0,22,20,66,62,0.143652,0.0047884,-9.73961,0.00957802,-0.00212845,-0.0042569,-18.9053,59.0209,8.30566,-90.8451,0.860047,
Thu Sep 19 06:27:12 2019,4249568,2426.74,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4812,0,20,20,64,66,0.100556,0.0814029,-9.51456,0.00957802,-0.00212845,-0.0042569,-18.9053,59.0209,8.30566,-90.6056,1.14653,
Thu Sep 19 06:27:12 2019,4259569,2426.74,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4812,0,20,20,64,66,0.148441,0.0047884,-9.68215,0.00851379,-0.00212845,-0.00851379,-18.9053,59.0209,8.30566,-90.8784,1.43301,
Thu Sep 19 06:27:12 2019,4269570,2426.74,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4808,0,22,20,66,66,0.143652,0.105345,-9.663,0.00638535,-0.00532112,-0.0042569,-18.9053,59.0209,8.30566,-90.8518,1.7204,
Thu Sep 19 06:27:12 2019,4279571,284.158,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4808,0,22,20,66,66,0.138864,0.0383072,-9.69652,0.00851379,-0.00319267,-0.00319267,-18.9053,59.0209,8.30566,-90.8205,2.00627,
Thu Sep 19 06:27:12 2019,4289572,284.158,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,22,22,64,66,0.167594,0.0766145,-9.77313,0.00957802,-0.00319267,-0.00638535,-18.9053,59.0209,8.30566,-90.9825,2.29275,
Thu Sep 19 06:27:12 2019,4299573,284.158,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,22,22,64,66,0.134075,0.0526724,-9.64863,0.0117065,-0.00532112,-0.00106422,-18.9053,59.0209,8.30566,-90.7962,2.57984,
Thu Sep 19 06:27:12 2019,4309574,284.158,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4812,0,24,22,66,66,0.148441,0.0191536,-9.73482,0.0117065,0.00212845,-0.0042569,-18.9053,59.0209,8.30566,-90.8737,2.86418,
Thu Sep 19 06:27:12 2019,4319575,338.056,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4812,0,24,22,66,66,0.148441,0.00957681,-9.46188,0.00851379,0,-0.0042569,-18.9053,59.0209,8.30566,-90.8989,3.15127,
Thu Sep 19 06:27:12 2019,4329576,338.056,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4814,0,22,18,66,66,0.0574608,0.0191536,-9.79228,0.0042569,-0.0042569,-0.00319267,-18.9053,59.0209,8.30566,-90.3363,3.43897,
Thu Sep 19 06:27:12 2019,4339577,338.056,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4814,0,22,18,66,66,0.129287,0.00957681,-9.62948,0.0106422,-0.0042569,-0.00638535,-18.9053,59.0209,8.30566,-90.7693,3.72545,
Thu Sep 19 06:27:12 2019,4349578,338.056,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4814,0,24,18,62,66,0.11971,0,-9.6199,0.00532112,-0.00532112,-0.00744957,-18.9053,59.0209,8.30566,-90.713,4.01223,
Thu Sep 19 06:27:12 2019,4359579,338.056,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4814,0,24,18,62,66,0.153229,0.0814029,-9.55765,0.00638535,-0.0042569,-0.0042569,-18.9053,59.0209,8.30566,-90.9186,4.29841,
