today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:31:22 2019,4215063,0,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4982,0,22,8,66,24,0.172383,0.0861913,-9.65342,0.00638535,-0.00532112,-0.00638535,-22.1977,33.133,17.5764,1.02303,0.288004,
Thu Sep 19 06:31:22 2019,4225064,946.497,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4984,0,24,8,62,24,0.0287304,0.0909797,-9.56723,0.00532112,-0.00212845,-0.00532112,-22.1977,33.133,17.5764,0.172059,0.573568,
Thu Sep 19 06:31:22 2019,4235066,946.497,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4984,0,24,8,62,24,0.114922,0.0383072,-9.54808,0.00957802,-0.0042569,-0.0106422,-22.1977,33.133,17.5764,0.689586,0.860657,
Thu Sep 19 06:31:22 2019,4245067,946.497,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4950,0,20,10,62,26,0.143652,0.134075,-9.76834,0.00532112,-0.0042569,-0.00532112,-22.1977,33.133,17.5764,0.842525,1.14714,
Thu Sep 19 06:31:22 2019,4255068,946.497,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4950,0,20,10,62,26,0.114922,0.114922,-9.71567,0.00638535,0.00106422,-0.0042569,-22.1977,33.133,17.5764,0.677691,1.43209,
Thu Sep 19 06:31:22 2019,4265069,946.497,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4980,0,24,8,62,24,0.0861913,0.129287,-9.65821,0.00744957,-0.00106422,-0.00957802,-22.1977,33.133,17.5764,0.511303,1.71918,
Thu Sep 19 06:31:22 2019,4275070,946.818,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4980,0,24,8,62,24,0.124498,-0.0287304,-9.55287,0.00638535,-0.00319267,-0.00532112,-22.1977,33.133,17.5764,0.74667,2.00627,
Thu Sep 19 06:31:22 2019,4285071,946.818,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,22,10,62,24,0.148441,0.0957681,-9.67257,0,-0.00319267,-0.0106422,-22.1977,33.133,17.5764,0.879223,2.29275,
Thu Sep 19 06:31:22 2019,4295072,946.818,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,22,10,62,24,0.114922,0.177171,-9.48583,0.00638535,-0.00638535,-0.00744957,-22.1977,33.133,17.5764,0.69411,2.58014,
Thu Sep 19 06:31:22 2019,4305073,946.818,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,62,26,0.023942,0.105345,-9.70131,0.00638535,-0.00319267,-0.00851379,-22.1977,33.133,17.5764,0.141401,2.86571,
Thu Sep 19 06:31:22 2019,4315074,946.879,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,62,26,0.0909797,0.0191536,-9.72525,0.00319267,-0.00212845,-0.00957802,-22.1977,33.133,17.5764,0.535987,3.15188,
Thu Sep 19 06:31:22 2019,4325075,946.879,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,8,18,18,66,0.196325,0.0335188,-9.79228,0.00532112,-0.0042569,-0.00212845,-22.1977,33.133,17.5764,1.14856,3.43897,
