today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt
Thu Sep 19 07:02:46 2019,4219190,0,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5036,0,8,20,14,62,0.234632,0.071826,-9.79707,0.00212845,-0.0042569,-0.0106422,-24.9047,39.4699,17.4023,1.37193,0.287699,0.00129476,0.275202,0.276497,
Thu Sep 19 07:02:46 2019,4229191,950.137,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4946,0,14,20,16,60,0.167594,-0.0430956,-9.72046,0.0106422,-0.0170276,0.00532112,-24.9047,39.4699,17.4023,0.987761,0.577836,0.00599633,0.528311,0.534308,
Thu Sep 19 07:02:46 2019,4239193,950.137,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4946,0,14,20,16,60,-0.023942,0.134075,-9.61511,0.0042569,0.00106422,0.0117065,-24.9047,39.4699,17.4023,-0.142669,0.859133,0.0133002,0.749459,0.762759,
Thu Sep 19 07:02:46 2019,4249194,950.137,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,8,62,62,-0.00957681,0.172383,-9.55765,0.00319267,-0.00319267,-0.0234129,-24.9047,39.4699,17.4023,-0.0574106,1.14683,0.020542,0.955108,0.97565,
Thu Sep 19 07:02:46 2019,4259195,950.137,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,8,62,62,0.229843,0.0670376,-9.45231,0.00532112,-0.00744957,0.00744957,-24.9047,39.4699,17.4023,1.39294,1.43453,0.0281623,1.13967,1.16784,
Thu Sep 19 07:02:46 2019,4269196,950.137,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,16,62,-0.00957681,0.0526724,-9.49062,0.00106422,-0.0042569,-0,-24.9047,39.4699,17.4023,-0.0578162,1.72009,0.0375492,1.30221,1.33976,
Thu Sep 19 07:02:46 2019,4279197,950.772,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,16,62,-0.138864,0.531513,-9.20331,-0.00532112,0.0223487,-0.052147,-24.9047,39.4699,17.4023,-0.86444,1.99895,0.0463862,1.4396,1.48599,
Thu Sep 19 07:02:46 2019,4289198,950.772,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5006,0,10,20,18,58,0.732626,-0.129287,-10.0317,0.0383121,-0.0117065,-0.0851379,-24.9047,39.4699,17.4023,4.17696,2.29519,0.056553,1.57651,1.63306,
Thu Sep 19 07:02:46 2019,4299199,950.772,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5006,0,10,20,18,58,0.545878,-0.641646,-9.39006,-0.00319267,-0.0319267,0.112808,-24.9047,39.4699,17.4023,3.32707,2.58746,0.0758504,1.69204,1.76789,
Thu Sep 19 07:02:46 2019,4309200,950.772,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,2,22,8,62,28,-0.47884,0.622492,-9.8258,-0.0266056,-0.00638535,-0.00957802,-24.9047,39.4699,17.4023,-2.78999,2.86662,0.10081,1.77882,1.87963,
Thu Sep 19 07:02:46 2019,4319201,951.11,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,2,22,8,62,28,0.105345,0.517148,-9.5385,0.0127707,0.0042569,-0.0681104,-24.9047,39.4699,17.4023,0.63276,3.15005,0.12174,1.8556,1.97734,
Thu Sep 19 07:02:46 2019,4329202,951.11,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,2,22,10,58,28,0.263362,-0.153229,-9.77313,0.0244772,-0.00212845,0.0404405,-24.9047,39.4699,17.4023,1.54361,3.43836,0.140449,1.92351,2.06396,
Thu Sep 19 07:02:46 2019,4339203,951.11,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,2,22,10,58,28,0.0143652,-0.253785,-9.39964,0.0042569,0,-0.019156,-24.9047,39.4699,17.4023,0.0875636,3.72423,0.160631,1.97605,2.13669,
Thu Sep 19 07:02:46 2019,4349204,951.11,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4986,0,22,10,62,66,0.0909797,0.0814029,-9.60075,-0.00957802,-0.00532112,-0.0180918,-24.9047,39.4699,17.4023,0.542937,4.01223,0.180626,2.01872,2.19934,
Thu Sep 19 07:02:46 2019,4359205,951.11,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4986,0,22,10,62,66,0.205901,0.349553,-9.47146,0.00851379,-0.00106422,0.019156,-24.9047,39.4699,17.4023,1.24537,4.29749,0.200523,2.04751,2.24803,
Thu Sep 19 07:02:46 2019,4369206,951.11,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,12,20,18,62,0.162806,-0.148441,-9.59117,0.019156,-0.00532112,-0.0127707,-24.9047,39.4699,17.4023,0.972477,4.58519,0.221753,2.06846,2.29021,
Thu Sep 19 07:02:46 2019,4379207,951.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,12,20,18,62,0.00957681,-0.110133,-9.64863,-0.00212845,-0.00319267,-0.0148991,-24.9047,39.4699,17.4023,0.0568693,4.87106,0.243406,2.07807,2.32147,
Thu Sep 19 07:02:46 2019,4389208,951.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,20,62,0.0574608,0.215478,-9.68215,0.00212845,0,0.0042569,-24.9047,39.4699,17.4023,0.340031,5.15662,0.263646,2.07872,2.34237,
Thu Sep 19 07:02:46 2019,4399209,951.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,20,62,0.105345,0.229843,-9.57202,0.0127707,-0.00106422,-0.0106422,-24.9047,39.4699,17.4023,0.630544,5.44341,0.282462,2.07264,2.35511,
Thu Sep 19 07:02:46 2019,4409210,951.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,8,62,62,0.148441,-0.100556,-9.49062,0.0127707,-0.00532112,-0.0117065,-24.9047,39.4699,17.4023,0.896078,5.73111,0.300968,2.06013,2.3611,
Thu Sep 19 07:02:46 2019,4419211,951.727,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,8,62,62,0.0814029,-0.105345,-9.65342,0.0042569,-0.00212845,-0.00532112,-24.9047,39.4699,17.4023,0.483138,6.01667,0.319509,2.03886,2.35837,
Thu Sep 19 07:02:46 2019,4429212,951.727,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,2,12,18,18,62,0.023942,0.277727,-9.73004,0.00106422,-0.00106422,0.00212845,-24.9047,39.4699,17.4023,0.140984,6.30285,0.337158,2.01229,2.34945,
