today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt
Thu Sep 19 06:50:42 2019,4219504,0,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4986,0,22,8,64,26,0.11971,0.0622492,-9.72525,0.0042569,-0.00106422,-0.00532112,-22.7391,36.9352,17.4023,0.705231,0.286784,0.000665565,0.274327,0.274993,
Thu Sep 19 06:50:42 2019,4229505,949.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,24,8,62,26,0.129287,0.105345,-9.69173,0.00638535,-0.00532112,-0.00744957,-22.7391,36.9352,17.4023,0.764276,0.574483,0.00332447,0.525181,0.528506,
Thu Sep 19 06:50:42 2019,4239507,949.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,24,8,62,26,0.0287304,0.114922,-9.7444,0.00851379,-0.00212845,-0.00744957,-22.7391,36.9352,17.4023,0.168931,0.860047,0.00801245,0.750692,0.758705,
Thu Sep 19 06:50:42 2019,4249508,949.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,18,18,66,0.134075,0.0383072,-9.5385,0.00744957,-0.00532112,-0.00957802,-22.7391,36.9352,17.4023,0.80531,1.14744,0.0140719,0.955955,0.970027,
Thu Sep 19 06:50:42 2019,4259509,949.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,18,18,66,0.143652,0.0430956,-9.72525,0.00638535,-0.00212845,-0.00532112,-22.7391,36.9352,17.4023,0.846258,1.43301,0.0220415,1.13842,1.16046,
Thu Sep 19 06:50:42 2019,4269510,949.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,22,8,62,66,0.110133,0.0622492,-9.68215,0.00957802,-0.00532112,-0.00212845,-22.7391,36.9352,17.4023,0.651705,1.7204,0.0322229,1.30282,1.33504,
Thu Sep 19 06:50:42 2019,4279511,949.103,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,22,8,62,66,0.143652,0.0191536,-9.60075,0.00638535,-0.00319267,-0.00638535,-22.7391,36.9352,17.4023,0.85723,2.00627,0.0442552,1.44688,1.49113,
Thu Sep 19 06:50:42 2019,4289512,949.103,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,20,8,62,26,-0.0047884,0.0622492,-9.64384,0.00744957,-0.0042569,-0.00319267,-22.7391,36.9352,17.4023,-0.0284488,2.29305,0.0573042,1.57411,1.63141,
Thu Sep 19 06:50:42 2019,4299513,949.103,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,20,8,62,26,0.047884,0.071826,-9.51456,0.00319267,-0.00212845,-0.00532112,-22.7391,36.9352,17.4023,0.288351,2.57892,0.0700553,1.68371,1.75376,
Thu Sep 19 06:50:42 2019,4309514,949.103,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,0,10,20,20,64,0.181959,0.0335188,-9.59117,0.00532112,-0.00532112,-0.00851379,-22.7391,36.9352,17.4023,1.08686,2.86632,0.0830015,1.7791,1.8621,
Thu Sep 19 06:50:42 2019,4319515,948.13,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,0,10,20,20,64,0.143652,0.158017,-9.58638,0.00319267,-0.0042569,-0.00638535,-22.7391,36.9352,17.4023,0.858515,3.15249,0.097668,1.85849,1.95616,
Thu Sep 19 06:50:42 2019,4329516,948.13,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,10,18,20,64,0.110133,0.0861913,-9.60075,0.0042569,-0.00212845,-0.0042569,-22.7391,36.9352,17.4023,0.65723,3.43836,0.113986,1.92384,2.03782,
Thu Sep 19 06:50:42 2019,4339517,948.13,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,10,18,20,64,0.191536,0.138864,-9.65821,0.00106422,-0.00212845,-0.00638535,-22.7391,36.9352,17.4023,1.13611,3.72484,0.13161,1.97695,2.10856,
Thu Sep 19 06:50:42 2019,4349518,948.13,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,20,16,64,0.0957681,0.129287,-9.6199,0.0042569,-0.00106422,-0.00957802,-22.7391,36.9352,17.4023,0.570373,4.01101,0.150542,2.01779,2.16833,
Thu Sep 19 06:50:42 2019,4359519,948.13,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,20,16,64,0.023942,0.114922,-9.70609,0.00744957,0,-0.00744957,-22.7391,36.9352,17.4023,0.141331,4.29719,0.169579,2.04755,2.21713,
Thu Sep 19 06:50:42 2019,4369520,948.13,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,22,8,66,28,0.0957681,0.153229,-9.61033,0.0042569,-0.00106422,-0.0117065,-22.7391,36.9352,17.4023,0.570941,4.58397,0.187702,2.06763,2.25533,
Thu Sep 19 06:50:42 2019,4379521,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,22,8,66,28,0.0909797,0.071826,-9.53371,0.00957802,-0.00212845,-0.0117065,-22.7391,36.9352,17.4023,0.546754,4.87076,0.205303,2.0782,2.2835,
Thu Sep 19 06:50:42 2019,4389522,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4948,0,22,8,66,26,0.138864,-0.0287304,-9.54329,0.00532112,-0.00319267,-0.00851379,-22.7391,36.9352,17.4023,0.833649,5.15754,0.222992,2.08002,2.30301,
Thu Sep 19 06:50:42 2019,4399523,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4948,0,22,8,66,26,0.0861913,0.110133,-9.5816,0.0106422,-0.00532112,-0.0042569,-22.7391,36.9352,17.4023,0.515391,5.44463,0.240911,2.07413,2.31504,
Thu Sep 19 06:50:42 2019,4409524,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,14,18,18,66,0.172383,0.138864,-9.7444,0.00532112,0,-0.00744957,-22.7391,36.9352,17.4023,1.01348,5.72958,0.259113,2.05887,2.31798,
Thu Sep 19 06:50:42 2019,4419525,947.939,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,14,18,18,66,0.100556,0.129287,-9.73482,0.0106422,-0.0042569,-0.00744957,-22.7391,36.9352,17.4023,0.59182,6.01728,0.277749,2.03976,2.31751,
Thu Sep 19 06:50:42 2019,4429526,947.939,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,10,62,66,0.0909797,0.0526724,-9.68215,0.00638535,-0.00744957,-0.00638535,-22.7391,36.9352,17.4023,0.538372,6.30468,0.296334,2.01428,2.31061,
Thu Sep 19 06:50:42 2019,4439527,947.939,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,10,62,66,0.153229,0.110133,-9.73004,0.0042569,-0.00212845,-0.00957802,-22.7391,36.9352,17.4023,0.902222,6.58963,0.314647,1.98103,2.29567,
Thu Sep 19 06:50:42 2019,4449528,947.939,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,18,62,0.177171,0.110133,-9.76834,0.00638535,-0.00319267,-0.0042569,-22.7391,36.9352,17.4023,1.03908,6.87641,0.333408,1.94487,2.27828,
Thu Sep 19 06:50:42 2019,4459529,947.939,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,18,62,0.00957681,0.105345,-9.69173,0.00532112,-0.00212845,-0.00957802,-22.7391,36.9352,17.4023,0.0566164,7.16259,0.352182,1.90387,2.25605,
Thu Sep 19 06:50:42 2019,4469530,947.939,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,18,16,62,0.11971,0.0526724,-9.64863,0.00319267,-0.00319267,-0.0106422,-22.7391,36.9352,17.4023,0.71083,7.44937,0.369789,1.85974,2.22953,
Thu Sep 19 06:50:42 2019,4479531,949.364,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,18,16,62,0.158017,0.0622492,-9.663,0.00851379,-0.00212845,-0.00851379,-22.7391,36.9352,17.4023,0.936865,7.73555,0.386784,1.81176,2.19854,
Thu Sep 19 06:50:42 2019,4489532,949.364,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,20,8,66,66,0.0957681,0.0957681,-9.69173,0.00532112,-0.00319267,-0.00532112,-22.7391,36.9352,17.4023,0.566146,8.02233,0.403847,1.7616,2.16545,
Thu Sep 19 06:50:42 2019,4499533,949.364,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,20,8,66,66,0.110133,0.0191536,-9.55287,0.00851379,0.00106422,-0.00638535,-22.7391,36.9352,17.4023,0.660524,8.30759,0.420512,1.7076,2.12811,
