today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0001, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 13:33:01 2018,9836595,0,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5024,4142,1218,0,30,14,0.148441,-0.148441,-10.3477,0.00638535,-0.0117065,0.0127707,25.582,31.9125,45.9281,0.821864,0.289833,0.000775639,0.277244,0.278019,0,0,0,50.3838,0,
Sun Feb 11 13:33:01 2018,9846596,948.608,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1218,0,8,32,0.0526724,-0.148441,-10.2568,0.00106422,-0.00744957,0.00851379,25.582,31.9125,45.9281,0.294234,0.575092,0.00331139,0.525506,0.528817,0.243582,0,0,50.3838,-48.3452,
Sun Feb 11 13:33:01 2018,9856597,948.608,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1218,0,8,32,0.0766145,-0.0574608,-10.3908,0.00957802,-0.00638535,0.0159634,25.582,31.9125,45.9281,0.42245,0.861267,0.00734885,0.75156,0.758909,0.241769,-0,-0,50.3838,-47.9854,
Sun Feb 11 13:33:01 2018,9866598,948.608,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1216,0,32,14,0.0383072,-0.100556,-10.2041,0.00744957,0,0.0106422,26.9648,32.2594,49.2563,0.215094,1.14592,0.0122935,0.954109,0.966403,0.239052,-0,-0,50.3838,-47.4463,
Sun Feb 11 13:33:01 2018,9876600,948.608,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1216,0,32,14,0.0766145,-0.153229,-10.2855,0.00957802,-0.00532112,0.00319267,26.9648,32.2594,49.2563,0.426777,1.43392,0.017979,1.13905,1.15703,0.236453,-0,-0,50.3838,-46.9304,
Sun Feb 11 13:33:01 2018,9886601,948.608,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1218,0,8,32,0.0670376,-0.0574608,-10.3813,0.00532112,-0.00638535,0.00319267,26.9648,32.2594,49.2563,0.369986,1.7207,0.0244712,1.30281,1.32728,0.233858,-0,-0,50.3838,-46.4152,
Sun Feb 11 13:33:01 2018,9896602,944.133,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1218,0,8,32,0.143652,-0.0574608,-10.3813,0.00957802,-0.00851379,0.00212845,26.9648,32.2594,49.2563,0.792788,2.00779,0.0321686,1.44802,1.48019,0.231286,-0,-0,50.3838,-45.9048,
Sun Feb 11 13:33:01 2018,9906603,944.133,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1216,0,8,32,0.105345,-0.21069,-10.3956,0.0042569,-0.0138349,-0.00106422,26.9648,32.2594,49.2563,0.580592,2.2958,0.0414839,1.57631,1.61779,0.228713,-0,-0,50.3838,-45.3942,
Sun Feb 11 13:33:01 2018,9916604,944.133,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1216,0,8,32,0.0909797,-0.0143652,-10.3621,0.00638535,-0.0106422,0.00319267,26.9648,32.2594,49.2563,0.503047,2.58136,0.0521698,1.6854,1.73757,0.22615,-0,-0,50.3838,-44.8855,
Sun Feb 11 13:33:01 2018,9926605,944.133,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4986,4122,1216,0,8,30,0.0335188,-0.11971,-10.2855,0.0127707,-0.0117065,0.00319267,26.9648,32.2594,49.2563,0.186718,2.86814,0.0634242,1.78004,1.84346,0.223592,-0,-0,50.3838,-44.3778,
Sun Feb 11 13:33:01 2018,9936606,945.341,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4986,4122,1216,0,8,30,0.0622492,-0.134075,-10.3286,0.00851379,-0.0106422,0.00106422,26.9648,32.2594,49.2563,0.345311,3.15432,0.0746359,1.85932,1.93396,0.221039,-0,-0,50.3838,-43.871,
Sun Feb 11 13:33:01 2018,9946607,945.341,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4142,1216,0,32,14,0.138864,-0.134075,-10.2951,0.0042569,-0.00851379,0.00744957,26.9648,32.2594,49.2563,0.772781,3.44019,0.0861704,1.92456,2.01073,0.218488,-0,-0,50.3838,-43.3648,
Sun Feb 11 13:33:01 2018,9956608,945.341,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4142,1216,0,32,14,0.196325,-0.0909797,-10.2137,0.00744957,-0.0106422,0.0117065,26.9648,32.2594,49.2563,1.10119,3.72728,0.0992231,1.97815,2.07738,0.215943,-0,-0,50.3838,-42.8597,
Sun Feb 11 13:33:01 2018,9966609,945.341,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1212,0,8,32,0.172383,-0.0766145,-10.252,0.00106422,-0.0117065,0.00957802,26.9648,32.2594,49.2563,0.963314,4.01406,0.114509,2.01943,2.13394,0.213402,-0,-0,50.3838,-42.3553,
Sun Feb 11 13:33:01 2018,9976610,945.341,1514,1514,1088,1514,1940,1514,-7.62939e-06,50.5,0.9,0,0.5,-1.19209e-07,4992,4124,1212,0,8,32,0.162806,-0.177171,-10.1849,0.00106422,-0.0106422,0.0127707,26.9648,32.2594,49.2563,0.915793,4.30024,0.131785,2.049,2.18078,0.210868,-0,-0,50.5,-41.8524,
Sun Feb 11 13:33:01 2018,9986611,945.341,1514,1514,1088,1514,1940,1514,-7.62939e-06,50.5,0.9,0,0.5,-1.19209e-07,5000,4140,1216,0,8,32,0.071826,-0.11971,-10.319,-0.00212845,-0.00957802,0.0106422,26.9648,32.2594,49.2563,0.398804,4.58641,0.15011,2.06832,2.21843,0.208812,-0,-0,50.5,-41.3489,
Sun Feb 11 13:33:01 2018,9996612,946.288,1514,1514,1088,1514,1940,1514,-7.62939e-06,50.5,0.9,0,0.5,-1.19209e-07,5000,4140,1216,0,8,32,0.143652,-0.134075,-10.2759,-0.0042569,-0.00851379,0.0159634,24.8906,32.2594,46.9266,0.800915,4.87258,0.168684,2.07818,2.24687,0.206274,-0,-0,50.5,-40.8464,
Sun Feb 11 13:33:01 2018,10006613,946.288,1514,1514,1088,1514,1940,1514,-7.62939e-06,50.5,0.9,0,0.5,-1.19209e-07,4992,4130,1216,0,32,32,0.114922,-0.134075,-10.4004,0,-0.00851379,0.0106422,24.8906,32.2594,46.9266,0.633077,5.15906,0.187528,2.07966,2.26719,0.203736,-0,-0,50.5,-40.3438,
Sun Feb 11 13:33:01 2018,10016614,946.288,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4130,1216,0,32,32,0.21069,-0.0909797,-10.252,0.0042569,-0.00957802,0.0159634,24.8906,32.2594,46.9266,1.17733,5.44585,0.207124,2.07345,2.28058,0.201201,-0,-0,50.3838,-39.8417,
Sun Feb 11 13:33:01 2018,10026615,946.288,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1218,0,8,30,0.0957681,-0.11971,-10.3286,0.00744957,-0.0159634,0.0170276,24.8906,32.2594,46.9266,0.53124,5.73416,0.227595,2.0614,2.289,0.198212,-0,-0,50.3838,-39.3404,
Sun Feb 11 13:33:01 2018,10036616,945.749,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1218,0,8,30,0.158017,-0.0383072,-10.477,0.00851379,-0.0138349,0.0138349,24.8906,32.2594,46.9266,0.864085,6.02003,0.248396,2.04026,2.28866,0.195712,-0,-0,50.3838,-38.8443,
Sun Feb 11 13:33:01 2018,10046617,945.749,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1216,0,32,16,0.186748,-0.105345,-10.3621,0.0042569,-0.00744957,0.00319267,24.8906,32.2594,46.9266,1.03248,6.30468,0.269598,2.01205,2.28165,0.193215,-0,-0,50.3838,-38.3487,
Sun Feb 11 13:33:01 2018,10056618,945.749,1514,1514,1088,1514,1940,1514,-7.62939e-06,50.5,0.9,0,0.5,-1.19209e-07,4992,4124,1216,0,32,16,0.21069,-0.100556,-10.3477,0.0117065,-0.0159634,0.0042569,24.8906,32.2594,46.9266,1.16644,6.59359,0.291845,1.98272,2.27457,0.190716,-0,-0,50.5,-37.8527,
