today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=1e-05, kiei(I)=0, kded(D)=0,signal, mad_pitch, multiplier
Sun Feb 11 13:59:08 2018,6235845,0,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5024,4142,1220,0,32,32,-0.430956,-0.0383072,-10.5105,0.061725,-0.245836,-0.0212845,26.2734,31.5656,47.5922,-2.34794,0.356906,-0.00221588,0.341404,0.339188,0,0,0,50.3838,0,2.56889e+33,
Sun Feb 11 13:59:08 2018,6245846,929.805,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4128,1214,0,32,32,-0.536301,-0.0383072,-10.3813,0.0627892,-0.237322,-0.0340552,26.2734,32.2594,47.2594,-2.9573,0.640946,-0.0114578,0.582804,0.571346,0.0271441,0,0,50.3838,-53.8746,50.3838,
Sun Feb 11 13:59:08 2018,6255848,929.805,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4128,1214,0,32,32,-0.229843,0.11971,-10.6877,0.0638535,-0.235194,-0.0574681,26.2734,32.2594,47.2594,-1.23198,0.926816,-0.0288316,0.80324,0.774408,0.0269544,-0,-0,50.3838,-53.4982,50.3838,
Sun Feb 11 13:59:08 2018,6265849,929.805,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,4128,1216,0,32,14,-0.225055,0.100556,-10.5153,0.0723673,-0.237322,-0.0670461,26.2734,32.2594,47.2594,-1.22609,1.2139,-0.0508936,1.00308,0.952182,0.0267755,-0,-0,50.3838,-53.143,50.3838,
Sun Feb 11 13:59:08 2018,6275850,929.805,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,4128,1216,0,32,14,-0.469264,0.138864,-10.4722,0.0915233,-0.235194,-0.0840737,26.2734,32.2594,47.2594,-2.56572,1.49977,-0.0767869,1.18098,1.10419,0.0266038,-0,-0,50.3838,-52.8023,50.3838,
Sun Feb 11 13:59:08 2018,6285851,929.805,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4990,4124,1216,0,8,32,-0.407014,0.0335188,-10.6494,0.106422,-0.230937,-0.0755599,26.2734,32.2594,47.2594,-2.18875,1.78503,-0.108255,1.33872,1.23046,0.0264301,-0,-0,50.3838,-52.4575,50.3838,
Sun Feb 11 13:59:08 2018,6295852,928.51,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4990,4124,1216,0,8,32,-0.23942,-0.172383,-10.3813,0.108551,-0.213909,-0.0627892,26.2734,32.2594,47.2594,-1.32116,2.06663,-0.144441,1.4745,1.33006,0.0262547,-0,-0,50.3838,-52.1094,50.3838,
Sun Feb 11 13:59:08 2018,6305853,928.51,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4124,1216,0,8,30,-0.138864,-0.502782,-10.3908,0.0968444,-0.208588,-0.0564039,26.2734,32.2594,47.2594,-0.765659,2.35159,-0.182287,1.59638,1.4141,0.0260752,-0,-0,50.3838,-51.7531,50.3838,
Sun Feb 11 13:59:08 2018,6315854,928.51,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4124,1216,0,8,30,0.0143652,-0.407014,-10.2137,0.0564039,-0.201138,-0.0489543,26.2734,32.2594,47.2594,0.0805848,2.63593,-0.218845,1.7013,1.48245,0.0258916,-0,-0,50.3838,-51.3887,50.3838,
Sun Feb 11 13:59:08 2018,6325866,928.51,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,4130,1218,0,30,30,0,-0.11971,-10.0748,0.0383121,-0.194753,-0.0478901,26.2734,32.2594,47.2594,0,2.92058,-0.252041,1.79117,1.53913,0.0257058,-0,-0,50.3838,-51.02,50.3838,
Sun Feb 11 13:59:08 2018,6335867,928.328,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,4130,1218,0,30,30,-0.172383,-0.153229,-10.1323,0.0510828,-0.186239,-0.0255414,26.2734,32.2594,47.2594,-0.974693,3.20462,-0.282308,1.86606,1.58375,0.0255198,-0,-0,50.3838,-50.6509,50.3838,
Sun Feb 11 13:59:08 2018,6345868,928.328,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1216,0,8,32,-0.248997,-0.392649,-10.228,0.0372479,-0.181982,-0.0042569,26.2734,32.2594,47.2594,-1.39457,3.48988,-0.312093,1.9287,1.61661,0.0253359,-0,-0,50.3838,-50.2859,50.3838,
Sun Feb 11 13:59:08 2018,6355869,928.328,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1216,0,8,32,-0.191536,-0.536301,-10.2759,0.0042569,-0.168147,-0.00638535,26.2734,32.2594,47.2594,-1.06783,3.7724,-0.342729,1.97612,1.63339,0.0251541,-0,-0,50.3838,-49.9249,50.3838,
Sun Feb 11 13:59:08 2018,6365870,928.328,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1218,0,8,32,-0.177171,-0.383072,-10.41,-0.0255414,-0.166019,-0.00638535,26.2734,32.2594,47.2594,-0.975042,4.05827,-0.373719,2.01525,1.64154,0.0249673,-0,-0,50.3838,-49.5542,50.3838,
Sun Feb 11 13:59:08 2018,6375871,928.328,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1218,0,8,32,-0.6608,-0.148441,-10.4052,-0.0351194,-0.162826,0.00212845,26.2734,32.2594,47.2594,-3.63379,4.34383,-0.406942,2.04316,1.63622,0.0247792,-0,-0,50.3838,-49.181,50.3838,
Sun Feb 11 13:59:08 2018,6385872,928.328,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4984,4122,1212,0,8,30,-0.847547,0.0622492,-10.4004,-0.0212845,-0.152184,0.0308625,26.2734,32.2594,47.2594,-4.65884,4.62726,-0.447981,2.05895,1.61097,0.0245961,-0,-0,50.3838,-48.8174,50.3838,
Sun Feb 11 13:59:08 2018,6395873,928.319,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4984,4122,1212,0,8,30,-0.761356,0.191536,-10.3525,0.00851379,-0.15112,0.0532112,26.2734,32.2594,47.2594,-4.20614,4.91344,-0.500035,2.06824,1.56821,0.024418,-0,-0,50.3838,-48.464,50.3838,
Sun Feb 11 13:59:08 2018,6405874,928.319,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,32,14,-0.746991,-0.071826,-10.5824,0.0106422,-0.146863,0.061725,26.2734,32.2594,47.2594,-4.03771,5.1987,-0.561923,2.06806,1.50614,0.0242436,-0,-0,50.3838,-48.1179,50.3838,
Sun Feb 11 13:59:08 2018,6415875,928.319,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,32,14,-1.02472,-0.497994,-10.3382,0.0234129,-0.144735,0.0627892,26.2734,32.2594,47.2594,-5.66067,5.48457,-0.633364,2.06068,1.42731,0.0240684,-0,-0,50.3838,-47.7701,50.3838,
Sun Feb 11 13:59:08 2018,6425876,928.319,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4120,1212,0,32,32,-1.28808,-0.268151,-10.1801,-0.0138349,-0.14367,0.0649177,26.2734,32.2594,47.2594,-7.21125,5.77074,-0.717643,2.04643,1.32879,0.0238913,-0,-0,50.3838,-47.4185,50.3838,
Sun Feb 11 13:59:08 2018,6435877,928.615,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4120,1212,0,32,32,-1.24498,0.0335188,-10.2232,-0.0223487,-0.129835,0.0819453,26.2734,32.2594,47.2594,-6.94329,6.05326,-0.817557,2.02217,1.20461,0.0237162,-0,-0,50.3838,-47.071,50.3838,
Sun Feb 11 13:59:08 2018,6445878,928.615,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4122,1216,0,32,14,-1.18752,-0.105345,-9.84496,-0.0042569,-0.127707,0.0862022,26.2734,32.2594,47.2594,-6.87794,6.33913,-0.932297,1.99555,1.06325,0.0235433,-0,-0,50.3838,-46.7279,50.3838,
Sun Feb 11 13:59:08 2018,6455879,928.615,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4122,1216,0,32,14,-1.33118,-0.47884,-9.78271,-0.0212845,-0.120257,0.0862022,26.2734,32.2594,47.2594,-7.7489,6.62347,-1.06061,1.96219,0.901578,0.0233693,-0,-0,50.3838,-46.3826,50.3838,
Sun Feb 11 13:59:08 2018,6465880,928.615,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4134,1216,0,32,14,-1.13485,-0.512359,-10.0269,-0.0564039,-0.102166,0.0840737,26.2734,32.2594,47.2594,-6.45729,6.90477,-1.20123,1.92135,0.720116,0.0231915,-0,-0,50.3838,-46.0297,50.3838,
Sun Feb 11 13:59:08 2018,6475881,928.615,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4134,1216,0,32,14,-0.914585,-0.373495,-10.0221,-0.080881,-0.0862022,0.0691746,26.2734,32.2594,47.2594,-5.21418,7.18667,-1.34979,1.87731,0.527518,0.0230072,-0,-0,50.3838,-45.6639,50.3838,
Sun Feb 11 13:59:08 2018,6485882,928.615,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4134,1218,0,8,32,-0.842759,-0.229843,-10.003,-0.110679,-0.0723673,0.0574681,26.2734,32.2594,47.2594,-4.81585,7.46919,-1.50111,1.83051,0.329398,0.0228158,-0,-0,50.3838,-45.284,50.3838,
Sun Feb 11 13:59:08 2018,6495883,927.963,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4134,1218,0,8,32,-0.627281,-0.0574608,-10.3621,-0.117065,-0.0670461,0.0319267,26.6191,32.2594,48.2578,-3.46424,7.75414,-1.65118,1.7831,0.131924,0.0226183,-0,-0,50.3838,-44.8921,50.3838,
Sun Feb 11 13:59:08 2018,6505884,927.963,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4128,1214,0,8,30,-0.636858,0.0861913,-10.7643,-0.104294,-0.0585323,0.0170276,26.6191,32.2594,48.2578,-3.38589,8.03819,-1.79654,1.73212,-0.0644197,0.0224146,-0,-0,50.3838,-44.4877,50.3838,
Sun Feb 11 13:59:08 2018,6515885,927.963,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4128,1214,0,8,30,-0.521936,0.100556,-10.4531,-0.0670461,-0.0532112,0.0170276,26.6191,32.2594,48.2578,-2.85848,8.32314,-1.93513,1.67981,-0.255318,0.0222087,-0,-0,50.3838,-44.0791,50.3838,
Sun Feb 11 13:59:08 2018,6525886,927.963,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4946,4122,1216,0,32,14,-0.474052,0.177171,-10.5249,-0.0553397,-0.0478901,0.0202203,26.6191,32.2594,48.2578,-2.57892,8.6081,-2.06566,1.62561,-0.440053,0.0219995,-0,-0,50.3838,-43.6639,50.3838,
Sun Feb 11 13:59:08 2018,6535887,928.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4946,4122,1216,0,32,14,-0.268151,0.411803,-10.477,-0.0308625,-0.0446974,0.0287341,26.6191,32.2594,48.2578,-1.46612,8.89366,-2.18625,1.57045,-0.615794,0.0217885,-0,-0,50.3838,-43.2451,50.3838,
Sun Feb 11 13:59:08 2018,6545888,928.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4120,1214,0,30,32,-0.0861913,0.45011,-10.5441,0.0127707,-0.0404405,0.0489543,26.6191,32.2594,48.2578,-0.468348,9.17892,-2.29398,1.51376,-0.780211,0.0215765,-0,-0,50.3838,-42.8243,50.3838,
Sun Feb 11 13:59:08 2018,6555889,928.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4120,1214,0,30,32,0.0526724,0.114922,-10.5153,0.042569,-0.0415047,0.052147,26.6191,32.2594,48.2578,0.286999,9.4657,-2.38589,1.45764,-0.928248,0.0213638,-0,-0,50.3838,-42.402,50.3838,
Sun Feb 11 13:59:08 2018,6565890,928.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4116,1216,0,8,32,0.0622492,0.225055,-10.4674,0.0436332,-0.0287341,0.0500185,26.6191,32.2594,48.2578,0.340731,9.74852,-2.46056,1.39699,-1.06357,0.021148,-0,-0,50.3838,-41.9739,50.3838,
Sun Feb 11 13:59:08 2018,6575891,928.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4116,1216,0,8,32,0.134075,0.339977,-10.4387,0.0723673,-0.0266056,0.0542754,26.6191,32.2594,48.2578,0.735869,10.0344,-2.51799,1.33914,-1.17885,0.0209284,-0,-0,50.3838,-41.5379,50.3838,
Sun Feb 11 13:59:08 2018,6585892,928.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4132,1218,0,32,14,0.0047884,0.3304,-10.1801,0.094716,-0.0297983,0.052147,26.6191,32.2594,48.2578,0.0269501,10.3218,-2.5593,1.2826,-1.2767,0.020709,-0,-0,50.3838,-41.1024,50.3838,
Sun Feb 11 13:59:08 2018,6595893,929.197,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4132,1218,0,32,14,-0.124498,0.143652,-10.1418,0.124514,-0.0255414,0.0500185,26.6191,32.2594,48.2578,-0.703313,10.607,-2.58735,1.22399,-1.36336,0.0204922,-0,-0,50.3838,-40.6722,50.3838,
Sun Feb 11 13:59:08 2018,6605894,929.197,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4120,1216,0,8,32,-0.21069,-0.148441,-10.1131,0.126643,-0.032991,0.0500185,26.6191,32.2594,48.2578,-1.19349,10.8957,-2.60569,1.16895,-1.43674,0.0202734,-0,-0,50.3838,-40.2378,50.3838,
Sun Feb 11 13:59:08 2018,6615895,929.197,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4120,1216,0,8,32,-0.335188,-0.134075,-10.3621,0.12345,-0.0234129,0.0489543,26.6191,32.2594,48.2578,-1.85273,11.1794,-2.61729,1.1095,-1.50779,0.0200538,-0,-0,50.3838,-39.8021,50.3838,
Sun Feb 11 13:59:08 2018,6625896,929.197,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4996,4118,1214,0,30,14,-0.234632,-0.215478,-10.4387,0.124514,-0.0180918,0.0404405,26.6191,32.2594,48.2578,-1.28763,11.4643,-2.62386,1.05209,-1.57177,0.0198349,-0,-0,50.3838,-39.3676,50.3838,
Sun Feb 11 13:59:08 2018,6635897,927.728,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4996,4118,1214,0,30,14,-0.215478,-0.35913,-10.4387,0.0989729,-0.0244772,0.0202203,26.6191,32.2594,48.2578,-1.18254,11.7527,-2.62527,0.998789,-1.62648,0.0196153,-0,-0,50.3838,-38.9317,50.3838,
Sun Feb 11 13:59:08 2018,6645898,927.728,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4990,4120,1216,0,8,30,-0.253785,-0.430956,-10.4196,0.052147,-0.0308625,-0.0117065,26.6191,32.2594,48.2578,-1.39526,12.041,-2.62141,0.946249,-1.67516,0.0193915,-0,-0,50.3838,-38.4875,50.3838,
Sun Feb 11 13:59:08 2018,6655899,927.728,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4990,4120,1216,0,8,30,-0.411803,-0.263362,-10.41,0.0361836,-0.0361836,-0.0457616,26.6191,32.2594,48.2578,-2.26535,12.329,-2.61387,0.894311,-1.71956,0.0191668,-0,-0,50.3838,-38.0415,50.3838,
Sun Feb 11 13:59:08 2018,6665900,927.728,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4118,1212,0,30,32,-0.550666,-0.21069,-10.4244,0.0244772,-0.0489543,-0.0542754,26.6191,32.2594,48.2578,-3.02384,12.6191,-2.60555,0.84545,-1.7601,0.018943,-0,-0,50.3838,-37.5974,50.3838,
Sun Feb 11 13:59:08 2018,6675901,927.728,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4118,1212,0,30,32,-0.56982,-0.023942,-10.4244,0.0138349,-0.0564039,-0.0553397,26.6191,32.2594,48.2578,-3.12881,12.9077,-2.5989,0.796093,-1.8028,0.018723,-0,-0,50.3838,-37.1608,50.3838,
Sun Feb 11 13:59:08 2018,6685902,927.728,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4960,4118,1210,0,8,32,-0.502782,0.153229,-10.3813,0.0446974,-0.0638535,-0.0585323,26.6191,32.2594,48.2578,-2.77277,13.1963,-2.59438,0.747926,-1.84645,0.0185071,-0,-0,50.3838,-36.7321,50.3838,
Sun Feb 11 13:59:08 2018,6695903,928.319,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4960,4118,1210,0,8,32,-0.656011,-0.023942,-10.4962,0.0595966,-0.0851379,-0.0361836,26.6191,32.2594,48.2578,-3.57634,13.4889,-2.59201,0.70482,-1.88719,0.0182955,-0,-0,50.3838,-36.3123,50.3838,
Sun Feb 11 13:59:08 2018,6705904,928.319,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4134,1218,0,32,14,-0.823605,-0.191536,-10.3238,0.0904591,-0.0968444,-0.0202203,26.6191,32.2594,48.2578,-4.56125,13.7787,-2.59373,0.660092,-1.93364,0.0180921,-0,-0,50.3838,-35.9085,50.3838,
Sun Feb 11 13:59:08 2018,6715905,928.319,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4134,1218,0,32,14,-0.727837,-0.158017,-10.3238,0.100037,-0.104294,-0.00319267,26.6191,32.2594,48.2578,-4.03274,14.0674,-2.6013,0.615506,-1.9858,0.0178947,-0,-0,50.3838,-35.5168,50.3838,
Sun Feb 11 13:59:08 2018,6725906,928.319,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4120,1214,0,8,32,-0.656011,-0.148441,-10.0987,0.0830095,-0.107487,0.0138349,26.6191,32.2594,48.2578,-3.7167,14.3548,-2.61384,0.571219,-2.04262,0.0177015,-0,-0,50.3838,-35.1333,50.3838,
Sun Feb 11 13:59:08 2018,6735907,928.875,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4120,1214,0,8,32,-0.794875,-0.306458,-10.1849,0.0830095,-0.119193,0.0148991,26.6191,32.2594,48.2578,-4.46256,14.6446,-2.63047,0.530873,-2.0996,0.0175121,-0,-0,50.3838,-34.7575,50.3838,
Sun Feb 11 13:59:08 2018,6745908,928.875,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4118,1214,0,32,14,-0.847547,-0.339977,-10.0509,0.0670461,-0.126643,0.0138349,29.7305,31.9125,47.2594,-4.82012,14.9332,-2.65225,0.490784,-2.16146,0.0173274,-0,-0,50.3838,-34.3909,50.3838,
Sun Feb 11 13:59:08 2018,6755909,928.875,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4118,1214,0,32,14,-0.742203,-0.316035,-10.3094,0.0361836,-0.139413,0.00532112,29.7305,31.9125,47.2594,-4.11777,15.2233,-2.67935,0.453707,-2.22564,0.0171483,-0,-0,50.3838,-34.0353,50.3838,
Sun Feb 11 13:59:08 2018,6765910,928.875,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4122,1214,0,32,12,-0.612916,-0.306458,-10.3621,0.042569,-0.145799,-0.0106422,29.7305,31.9125,47.2594,-3.38509,15.5116,-2.70955,0.416319,-2.29323,0.0169711,-0,-0,50.3838,-33.6836,50.3838,
Sun Feb 11 13:59:08 2018,6775911,928.875,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4122,1214,0,32,12,-0.746991,-0.325611,-10.4052,0.0106422,-0.158569,-0.0212845,29.7305,31.9125,47.2594,-4.10623,15.8018,-2.74111,0.382287,-2.35882,0.016794,-0,-0,50.3838,-33.3321,50.3838,
Sun Feb 11 13:59:08 2018,6785912,928.875,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4122,1216,0,8,30,-0.972046,-0.459687,-10.4435,0.00212845,-0.161762,-0.0180918,29.7305,31.9125,47.2594,-5.31758,16.0892,-2.7756,0.34708,-2.42852,0.016619,-0,-0,50.3838,-32.9849,50.3838,
Sun Feb 11 13:59:08 2018,6795913,927.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4122,1216,0,8,30,-0.919373,-0.42138,-10.3717,-0.00957802,-0.168147,-0.0148991,29.7305,31.9125,47.2594,-5.06561,16.3775,-2.81538,0.314429,-2.50095,0.0164496,-0,-0,50.3838,-32.6486,50.3838,
Sun Feb 11 13:59:08 2018,6805914,927.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4996,4122,1216,0,32,14,-0.919373,-0.440533,-10.1466,-0.0234129,-0.172404,-0.00106422,29.7305,31.9125,47.2594,-5.17737,16.6652,-2.86061,0.282783,-2.57783,0.0162812,-0,-0,50.3838,-32.3144,50.3838,
Sun Feb 11 13:59:08 2018,6815915,927.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4996,4122,1216,0,32,14,-1.02951,-0.229843,-10.3669,-0.0404405,-0.173469,0.0244772,29.7305,31.9125,47.2594,-5.67129,16.952,-2.91111,0.251883,-2.65922,0.0161149,-0,-0,50.3838,-31.9843,50.3838,
Sun Feb 11 13:59:08 2018,6825916,927.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4120,1216,0,8,32,-0.866701,-0.196325,-10.1993,-0.0564039,-0.17134,0.0383121,29.7305,31.9125,47.2594,-4.85713,17.2378,-2.9665,0.221784,-2.74471,0.0159545,-0,-0,50.3838,-31.6659,50.3838,
Sun Feb 11 13:59:08 2018,6835917,928.084,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4120,1216,0,8,32,-0.914585,-0.134075,-10.0078,-0.0361836,-0.172404,0.0574681,29.7305,31.9125,47.2594,-5.22162,17.5246,-3.02543,0.194279,-2.83115,0.0157958,-0,-0,50.3838,-31.351,50.3838,
Sun Feb 11 13:59:08 2018,6845918,928.084,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4118,1216,0,30,32,-0.914585,-0.272939,-10.1849,-0.0500185,-0.168147,0.0649177,29.7305,31.9125,47.2594,-5.13128,17.8099,-3.08721,0.16692,-2.92029,0.0156404,-0,-0,50.3838,-31.0426,50.3838,
Sun Feb 11 13:59:08 2018,6855919,928.084,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4118,1216,0,30,32,-0.842759,-0.177171,-10.2089,-0.032991,-0.167083,0.0595966,29.7305,31.9125,47.2594,-4.71916,18.0961,-3.15116,0.142132,-3.00903,0.0154871,-0,-0,50.3838,-30.7383,50.3838,
