today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=6e-05,signal, mad_pitch, multiplier
Sun Feb 11 14:26:36 2018,7845668,0,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5030,4142,1218,0,32,14,0.751779,-0.124498,-10.1897,-0.0202203,0.0393763,-0.0170276,25.582,30.1781,46.5938,4.21954,0.275199,0.00398221,0.263245,0.267228,0,0,0,50.3838,0,2.50171e+33,
Sun Feb 11 14:26:36 2018,7855669,923.67,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4974,4130,1218,0,32,14,0.708684,-0.162806,-10.1658,-0.019156,0.0361836,-0.0202203,25.582,30.1781,46.5938,3.98779,0.562592,0.0193389,0.514791,0.53413,0.0853078,0,12.8944,50.3838,-42.6539,50.3838,
Sun Feb 11 14:26:36 2018,7865671,923.67,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4974,4130,1218,0,32,14,0.723049,-0.148441,-10.3046,-0.019156,0.0404405,-0.0138349,25.582,30.1781,46.5938,4.01371,0.847852,0.0486147,0.740975,0.789589,0.0845389,-0,-0.116228,50.3838,-42.2694,50.3838,
Sun Feb 11 14:26:36 2018,7875672,923.67,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5008,4138,1218,0,8,32,0.665588,-0.234632,-10.2999,-0.0202203,0.0351194,-0.019156,25.582,30.1781,46.5938,3.69738,1.13586,0.0900479,0.947764,1.03781,0.0836031,-0,-0.141446,50.3838,-41.8015,50.3838,
Sun Feb 11 14:26:36 2018,7885673,923.67,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5008,4138,1218,0,8,32,0.651223,-0.11971,-10.4483,-0.0138349,0.042569,-0.019156,25.582,30.1781,46.5938,3.56653,1.4202,0.141753,1.1299,1.27166,0.0827235,-0,-0.132941,50.3838,-41.3618,50.3838,
Sun Feb 11 14:26:36 2018,7895674,923.67,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4124,1212,0,30,12,0.699107,-0.00957681,-10.3094,-0.00851379,0.0404405,-0.019156,25.582,30.1781,46.5938,3.87943,1.70729,0.202411,1.29492,1.49733,0.0818363,-0,-0.134108,50.3838,-40.9181,50.3838,
Sun Feb 11 14:26:36 2018,7905675,921.802,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4124,1212,0,30,12,0.670376,-0.0430956,-10.4052,0.00212845,0.0457616,-0.0234129,25.582,30.1781,46.5938,3.68631,1.99224,0.271318,1.43899,1.71031,0.0809529,-0,-0.133524,50.3838,-40.4765,50.3838,
Sun Feb 11 14:26:36 2018,7915676,921.802,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4990,4124,1216,0,8,32,0.694318,-0.153229,-10.3334,0.0042569,0.0500185,-0.019156,25.582,30.1781,46.5938,3.84403,2.2775,0.347591,1.56567,1.91326,0.0800633,-0,-0.134461,50.3838,-40.0317,50.3838,
Sun Feb 11 14:26:36 2018,7925677,921.802,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4990,4124,1216,0,8,32,0.641646,-0.100556,-10.2951,0.0159634,0.0542754,-0.0170276,25.582,30.1781,46.5938,3.56638,2.56276,0.430171,1.67568,2.10585,0.079165,-0,-0.13578,50.3838,-39.5825,50.3838,
Sun Feb 11 14:26:36 2018,7935678,921.802,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5024,4138,1218,0,8,32,0.842759,-0.00957681,-10.3142,0.0127707,0.0564039,-0.0170276,25.582,30.1781,46.5938,4.67118,2.84863,0.518877,1.77059,2.28947,0.0782639,-0,-0.136212,50.3838,-39.1319,50.3838,
