today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:28:12 2018,8730840,0,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5012,4144,1218,0,32,14,0.301669,-0.3304,-10.3956,0.00532112,0.00212845,0.00957802,25.7549,32.0859,47.093,1.66219,0.285869,0.0015687,0.273453,0.275021,0,0,0,50.3838,0,2.5708e+33,
Sun Feb 11 14:28:12 2018,8740841,921.915,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5018,4138,1218,0,8,32,0.229843,-0.244209,-10.4483,0.0042569,0.00106422,0.00744957,25.7549,32.0859,47.093,1.2602,0.572653,0.0073249,0.523509,0.530834,0.0853384,0,2.56015,50.3838,-42.6692,50.3838,
Sun Feb 11 14:28:12 2018,8750843,921.915,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5018,4138,1218,0,8,32,0.301669,-0.292093,-10.4196,0.0042569,0.00319267,0.0106422,25.7549,32.0859,47.093,1.65838,0.858523,0.0180767,0.749464,0.76754,0.0843876,-0,-0.0285244,50.3838,-42.1938,50.3838,
Sun Feb 11 14:28:12 2018,8760844,921.915,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,8,32,0.35913,-0.248997,-10.3669,-0.00319267,0,0.0117065,25.7549,32.0859,47.093,1.98405,1.14592,0.0340386,0.954845,0.988883,0.0833935,-0,-0.0298206,50.3838,-41.6968,50.3838,
Sun Feb 11 14:28:12 2018,8770845,921.915,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,8,32,0.282516,-0.153229,-10.4962,0.0106422,0.00532112,0.00212845,25.7549,32.0859,47.093,1.54181,1.43087,0.0552805,1.13683,1.19212,0.0824449,-0,-0.0284592,50.3838,-41.2224,50.3838,
Sun Feb 11 14:28:12 2018,8780846,921.915,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1216,0,32,14,0.225055,-0.248997,-10.2615,0.00851379,0.0042569,0.00638535,25.7549,32.0859,47.093,1.2564,1.71766,0.0804769,1.30082,1.38129,0.0814978,-0,-0.0284122,50.3838,-40.7489,50.3838,
Sun Feb 11 14:28:12 2018,8790847,921.646,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1216,0,32,14,0.196325,-0.225055,-10.2328,0.00532112,0.00212845,-0,25.7549,32.0859,47.093,1.09913,2.00474,0.108092,1.44624,1.55434,0.0805499,-0,-0.028439,50.3838,-40.2749,50.3838,
Sun Feb 11 14:28:12 2018,8800848,921.646,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4134,1216,0,32,32,0.177171,-0.296881,-10.2185,-0.00106422,0.0042569,0.00319267,25.7549,32.0859,47.093,0.993315,2.29061,0.13715,1.57269,1.70984,0.0796027,-0,-0.0284152,50.3838,-39.8013,50.3838,
Sun Feb 11 14:28:12 2018,8810849,921.646,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4134,1216,0,32,32,0.172383,-0.172383,-10.1801,0.00957802,0.00744957,-0.00106422,25.7549,32.0859,47.093,0.970109,2.57618,0.167049,1.68215,1.8492,0.078653,-0,-0.028491,50.3838,-39.3265,50.3838,
Sun Feb 11 14:28:12 2018,8820850,921.646,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5034,4138,1216,0,8,32,0.253785,-0.3304,-10.2759,0.00957802,0.00957802,0.0042569,25.7549,32.0859,47.093,1.41475,2.86205,0.19788,1.77626,1.97414,0.0777062,-0,-0.0284019,50.3838,-38.8531,50.3838,
Sun Feb 11 14:28:12 2018,8830851,922.715,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5034,4138,1216,0,8,32,0.229843,-0.311246,-10.2328,0,0.00106422,0.00532112,25.7549,32.0859,47.093,1.28673,3.15097,0.230144,1.85858,2.08873,0.0767559,-0,-0.0285118,50.3838,-38.3779,50.3838,
