today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0025, kiei(I)=5e-08, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:47:28 2018,9339164,0,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5016,4138,1214,0,30,14,-0.799663,-0.196325,-10.3908,0.0436332,0.0148991,-0,30.0762,31.5656,43.9313,-4.40073,0.282211,-0.00415321,0.269953,0.2658,6.2717e+30,6.2717e+23,1.50521e+32,0.0704193,0,0,
Sun Feb 11 14:47:28 2018,9349165,921.629,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4986,4130,1216,0,30,14,-0.885855,-0.229843,-10.252,0.0372479,0.0180918,0.00106422,30.0762,31.5656,43.9313,-4.93856,0.567775,-0.020905,0.519153,0.498248,0.118344,-6.2717e+23,-1.50521e+32,0.0704193,-47.2671,0,
Sun Feb 11 14:47:28 2018,9359167,921.629,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4986,4130,1216,0,30,14,-0.905008,-0.220267,-10.4244,0.0255414,0.0287341,0.00212845,30.0762,31.5656,43.9313,-4.9618,0.851206,-0.0543118,0.743175,0.688863,0.117275,-1.06844e-10,-0.0256425,0.0704193,-46.8397,0,
Sun Feb 11 14:47:28 2018,9369168,921.629,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4994,4124,1216,0,32,14,-0.952892,-0.316035,-10.3477,0.00744957,0.0361836,-0.00106422,30.0762,31.5656,43.9313,-5.26136,1.13555,-0.103666,0.946228,0.842561,0.11602,-1.25514e-10,-0.0301234,0.0704193,-46.3377,0,
Sun Feb 11 14:47:28 2018,9379169,921.629,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4994,4124,1216,0,32,14,-0.885855,-0.244209,-10.2041,-0.00744957,0.0478901,-0.00212845,30.0762,31.5656,43.9313,-4.96162,1.41868,-0.167731,1.12729,0.959555,0.114835,-1.18476e-10,-0.0284342,0.0704193,-45.8638,0,
Sun Feb 11 14:47:28 2018,9389170,921.629,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4962,4124,1212,0,32,14,-0.962469,-0.134075,-10.2855,-0.00957802,0.061725,-0.00106422,30.0762,31.5656,43.9313,-5.34591,1.70119,-0.245094,1.28812,1.04302,0.113634,-1.20151e-10,-0.0288361,0.0704193,-45.3832,0,
Sun Feb 11 14:47:28 2018,9399171,921.811,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4962,4124,1212,0,32,14,-0.857124,-0.0766145,-10.3286,-0.0106422,0.0681104,-0,30.0762,31.5656,43.9313,-4.74386,1.98584,-0.334208,1.43246,1.09825,0.112417,-1.21663e-10,-0.0291991,0.0704193,-44.8965,0,
Sun Feb 11 14:47:28 2018,9409172,921.811,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5038,4138,1234,0,30,32,-0.847547,-0.0047884,-10.2759,-0.00851379,0.080881,0.00212845,30.0762,31.5656,43.9313,-4.71503,2.26866,-0.432935,1.55738,1.12445,0.111181,-1.23672e-10,-0.0296814,0.0704193,-44.4018,0,
Sun Feb 11 14:47:28 2018,9419173,921.811,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5038,4138,1234,0,30,32,-0.90022,-0.0670376,-10.2663,-0.0042569,0.0904591,0.0042569,30.0762,31.5656,43.9313,-5.01126,2.5524,-0.539745,1.66668,1.12694,0.109932,-1.24823e-10,-0.0299574,0.0704193,-43.9025,0,
Sun Feb 11 14:47:28 2018,9429174,921.811,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4138,1216,0,30,14,-0.861913,0.0383072,-10.0509,0.0202203,0.0968444,0.0127707,30.0762,31.5656,43.9313,-4.90142,2.83705,-0.653974,1.76127,1.1073,0.108673,-1.25957e-10,-0.0302298,0.0704193,-43.3987,0,
